end_ottoman_domination_title;End Ottoman Domination;;;;;;;;;;;;;
end_ottoman_domination_desc;The Rhomaion people have done what was long believed impossible, and have wholly routed the Ottoman armies. The city of Constantinople laid bare to the rebellion, the center of Ottoman control has been seized, and the twilight of the Turkish occupation of the holy city is at hand.;;;;;;;;;;;;;
end_countryside_war_title;End the Countryside War;;;;;;;;;;;;;
end_countryside_war_desc;In order to bring order back into the countryside of the empire, the army must be substantially expanded in order to ensure the border regions of the empire do not fall into ruin.;;;;;;;;;;;;;
end_klepht_problem_title;Ending the Klepht Domination;;;;;;;;;;;;;
end_klepht_problem_desc;The Klephts remain a powerful force in the Rhomaion military, and utilize their position to extract bribes from the populace while leaving the army a disorganized mess. A substantial investment must be made into the command structure of the military if we wish to undo this corrupt influence.;;;;;;;;;;;;;
purge_phanariote_corruption_title;Reigning in the Phanariotes;;;;;;;;;;;;;
purge_phanariote_corruption_desc;The Phanariote class serves as a large portion of the administration of the state, and plays a major role in the diplomacy of the empire. Competent administrators, their abilities are better put to work serving the state than their own pockets, but it will take a comprehensive investment to make this become a reality.;;;;;;;;;;;;;
end_church_state_within_state_title;The Church and the State;;;;;;;;;;;;;
end_church_state_within_state_desc;The Orthodox Church remains a dominant institution in the Rhomaion state, holding vast amounts of land titles and holding a great degree of influence in the realm of the secular. The tenuous balance of powers created by this institution must be addressed if the realm is to bring its cultural institutions into the modern realm.;;;;;;;;;;;;;
crack_down_rouspheti_tradition_title;Crack Down on the Rouspheti Tradition;;;;;;;;;;;;;
crack_down_rouspheti_tradition_desc;The Rouspheti tradition, the traditional giving of gifts to keep the wheels of state turning, and the dispensing of favors in exchange for political influence, is little more than another word for corruption. To do away with this practice is necessary if the state is to modernize, but investment must be made into the cultural sector of the nation in order to accomplish this.;;;;;;;;;;;;;
reign_kodjabashi_title;Reign the Kodjabashi;;;;;;;;;;;;;
reign_kodjabashi_desc;The kodjabashi as a noble institution date back to the Ottoman domination of the empire, and their influence in the state has rendered the nation as an industrially backwards state. In order to alter this, their power must first be eroded so as to render them subservient to state interests.;;;;;;;;;;;;;
end_commerce_monopoly_title;End the Commerce Monopoly;;;;;;;;;;;;;
end_commerce_monopoly_desc;The Phanariotes hold a monopoly on virtually all overseas commerce, and as such enforcing Rhomaion control over its own foreign trade is effectively impossible, until such time as the infrastructure is in place to abolish or integrate their control.;;;;;;;;;;;;;;
stop_coastal_piracy_title;Put an End to the Pirates;;;;;;;;;;;;;
stop_coastal_piracy_desc;The piracy along the Aegean coastline has cost many lives and much produce from the peoples of the Rhomaion state. Only with a comprehensive growth of the naval apparatus can these pirates finally be hunted down and eliminated.;;;;;;;;;;;;;
reclaim_anatolia_tur_title;Reclaim Anatolia;;;;;;;;;;;;;;
reclaim_anatolia_tur_desc;The Anatolian coastline in recent years has seen the mass deportation of our Turkish brethren, effectively ousting our claims to the coastline, until we can reclaim enough power for ourselves to take it once again by force.;;;;;;;;;;;;;
undo_byzantine_deportation_title;Undo Byzantine Deportation;;;;;;;;;;;;;
undo_byzantine_deportation_desc;If we can manage to break the Byzantine lines in Anatolia and once again secure its coastline for ourselves, we can undo the unjust deportations our people suffered, and once again secure our homeland from the invaders.;;;;;;;;;;;;;
armenian_integration_title;Integrate the Eastern Christians;;;;;;;;;;;;;
armenian_integration_desc;With the initial stability of the empire secured, one matter that can be addressed is that of the eastern christians present in the realm. With no state to call their own, it would be a simple matter to integrate them as part of the administration.;;;;;;;;;;;;;
rebuild_chios_title;Rebuild Chios;;;;;;;;;;;;;
rebuild_chios_desc;The island of Chios, once one of the greatest mercantile centers of the Aegean, was ransacked and destroyed almost in its totality during the war of independence by the Ottoman government. Over two-thirds of the population was massacred, and the region never regained its prominence in the economic sphere again. With substantial investment, however, we can restore this destroyed infrastructure and bring back at least some of its prominence in the Mediterranean trade.;;;;;;;;;;;;;
rebuild_constantinople_title;Rebuild Constantinople;;;;;;;;;;;;;
rebuild_constantinople_desc;Constantinople has been in utter disrepair since the success of the revolution, brought to ruination both by centuries of mismanagement and by the destruction of the revolution. With substantial funding and technological investment, however, the city can be brought back to functioning order.;;;;;;;;;;;;;
protect_thrace_title;Protect Thrace;;;;;;;;;;;;;
protect_thrace_desc;Thrace has been a vulnerable frontier to the city of Constantinople since long before the Ottoman conquest, an open route to the holy city for any balkan power that seeks to destroy the empire. If the Basileia tos Rhomaion is to recover its standing on the world stage, the first and highest priority must be to reclaim this frontier.;;;;;;;;;;;;;
reclaim_bulgaria_title;Reclaim Bulgaria;;;;;;;;;;;;;
reclaim_bulgaria_desc;Bulgaria has long been the thorn in the empire's side, a powerful rival on the Balkan frontier that has never been quite done away with. If the empire is to ever reclaim its glory, the Bulgarians must be stamped out as a rival in the Balkan sphere.;;;;;;;;;;;;;
reclaim_western_balkans_title;Reclaim the Western Balkans;;;;;;;;;;;;;
reclaim_western_balkans_desc;The western Balkans were the stomping grounds of the ancient Roman Empire well into the Middle ages, and historically comprised its sphere of influence until the 4th Crusade. With Bulgarian resistance stamped out, it is finally time to restore this frontier's integrity once and for all.;;;;;;;;;;;;;
reclaim_anatolia_title;Reclaim Anatolia;;;;;;;;;;;;;
reclaim_anatolia_desc;Finally, the time has come to bring the Anatolian countryside under control once and for all, and to bring the full weight of the Basileia tos Rhomaion to bear against the Turkish threat once and for all, and to undo the disaster of Manzikert all those centuries ago.;;;;;;;;;;;;;
renovate_constantinople_title;Renovate Constantinople;;;;;;;;;;;;;
renovate_constantinople_desc;The city of Constantinople has been recovered and repaired from its ruinous state, but much work still remains to be done. The financial institutions of the city need to be restored, and the infrastructure of the city itself is aged and worn. In order to bring the city to modern standards, much will need to be imported from foreign realms, and the cost will be truly enormous.;;;;;;;;;;;;
renovate_trebizond_title;Restore the Jewel of the Black Sea;;;;;;;;;;;;;
renovate_trebizond_desc;Trebizond, the jewel of the Black Sea, has long languished over the slow decline of the Ottoman presence in the black sea. The city, which once served as the greatest settlement along the coastline, and the key to controlling the Black sea, as well as the capital of the short-lived empire of Trebizond, still holds much value that can be restored, should the right investments be made.;;;;;;;;;;
reclaim_armenia_title;Avenge Manzikert;;;;;;;;;;;;;
reclaim_armenia_desc;The legacy of the battle of Manzikert still haunts the Basileia tos Rhomaion, a stain on its otherwise glorious legacy, the wound that slowly bled the empire to death under the yoke of the Turkish invasions. If the empire is to ever proclaim itself as the true hegemon of the Middle East once more, it must reclaim these distant lands and undo the humiliation it suffered so long ago.;;;;;;;;;;;;;
restore_theme_system_title;Restore the Theme System;;;;;;;;;;;;;
restore_theme_system_desc;The Theme system was a system of bureaucracy wherein the provinces of the empire were managed as landed realms handed in trust to the military officer corps, ruled by the state and appointed based on competence on the field. While restoring the exact specifications of the system would be foolhardy, the system could be used as inspiration to greatly increase assimilation across the realm, by selectively appointing those favorable to our empire to positions of power, slowly displacing local populations in favor of more favorable ones.;;;;;;;;;;;;;
renovate_smyrna_title;Renovate Smyrna;;;;;;;;;;;;;
renovate_smyrna_desc;The city of Smyrna has long been the center of Greek civilization along the Anatolian coastline, ever since the days of the ancient Hellenes, long before the days of Rome. While not as prestigious as Constantinople or Trebizond, the city holds a special place in the history of our nation, and deserves similar treatment, especially since it sits in an advantageous position for Mediterranean trade, and has historically been a major regional trade node.;;;;;;;;;;;;;
reclaim_levant_title;Reclaim the Levant;;;;;;;;;;;;;
reclaim_levant_desc;The Levant was long the financial heartland and eastern frontier of the Basileia tos Rhomaion, and its loss devastated the imperial coffers, leaving the remaining provinces severely depleted. Reclaiming the province, while it may not hold the same value it once did, will demonstrate thoroughly the recovery the empire has made in recent decades.;;;;;;;;;;;;;
reclaim_egypt_title;Reclaim Egypt;;;;;;;;;;;;;
reclaim_egypt_desc;The Egyptian breadbasket was once the heartland of Rhomaion agriculture, the breadbasket from which the empire procured the vast majority of its produce from. With the restoration of the empire to the glory it once enjoyed, for the first time in many centuries, this breadbasket sits open to the empire for the taking.;;;;;;;;;;;;;
expand_constantinople_title;Expand Constantinople;;;;;;;;;;;;;
expand_constantinople_desc;The city of Constantinople has been restored and modernized to the specifications of a modern city, on line with Western models. However, this still is not yet far enough. If the empire is to showcase its splendor to a degree never seen before, its cities must reflect that, and reach a level of development that will cause even the great powers of the West to look to in surprise and adoration.;;;;;;;;;;;;;
seize_ionian_islands_title;Seize the Ionian Islands!;;;;;;;;;;;;;
seize_ionian_islands_desc;The Ionian Islands have been occupied by the British empire ever since the end of the Napoleonic Wars, and serve as a weak western flank to the Rhomaion empire. With the continual downturn of relations between us and the British Empire, the possibility of seizing the islands by force becomes an increasingly prevalent idea in military circles. With the aid of locals whom know the terrain, the sparse English positions can easily be overrun.;;;;;;;;;;;;;
schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
schomburgk_line_desc;Following the dissolution of Gran Colombia, its unsettled and remote eastern frontier in Essequibo has been left unorganized and unprotected. Following our acquisition of Guyana from the Dutch, we inherited a territorial dispute over Essequibo with Gran Colombia which disputed the former Spanish treaty. Thus we have legal justification to seize this patch of jungle without conflict. The Royal Geographical Society of London recommends we send Sir Robert Hermann Schomburgk to explore the region and delineate a proper border with Venezuela, as his work on surveying the Virgin Island of Anegada was quite impressive.;;;;;;;;;;;;;
schomburgkexplained;Abusing flimsy claims of inheritance of responsibilites from treaties between Spain and the Dutch, Great Britain has occupied Essequibo. With our recently nascent country barely posessing an army of note, there is nothing we can do to resist the Brits.;;;;;;;;;;;;;
