Dummy_local_title;Dummy_local;;;;;;;;;;;;;x
Dummy_local_desc;If you see this something has gone VERY wrong!;;;;;;;;;;;;;x
CLR_democracy_5th;Los Supremos;;;;;;;;;;;;;
CLR_democracy_5th_ADJ;Los Supremo;;;;;;;;;;;;;
CLR_democracy_6th;Los Conservadores;;;;;;;;;;;;;
CLR_democracy_6th_ADJ;Los Conservadore;;;;;;;;;;;;;
CLR_democracy_7th;Insurgentes Melistas;;;;;;;;;;;;;
CLR_democracy_7th_ADJ;Insurgentes Melista;;;;;;;;;;;;;
CLR_democracy_8th;Las Soberanías;;;;;;;;;;;;;
CLR_democracy_8th_ADJ;Las Soberanía;;;;;;;;;;;;;
CLR_democracy_9th;Los Conservadores;;;;;;;;;;;;;
CLR_democracy_9th_ADJ;Los Conservadore;;;;;;;;;;;;;
CLR_democracy_10th;Los Liberales Radicales;;;;;;;;;;;;;
CLR_democracy_10th_ADJ;Los Liberales Radicale;;;;;;;;;;;;;
CLR_democracy_11th;Los Liberales Radicales;;;;;;;;;;;;;
CLR_democracy_11th_ADJ;Los Liberales Radicale;;;;;;;;;;;;;
CHL_democracy_5th;Rebelión Liberal;;;;;;;;;;;;;
CHL_democracy_5th_ADJ;Rebelión Liberal;;;;;;;;;;;;;
CHL_democracy_6th;Los Congresistas;;;;;;;;;;;;;
CHL_democracy_6th_ADJ;Los Congresistas;;;;;;;;;;;;;
