color = { 204 28 44 }
graphical_culture = PolishGC

party = {
    name = "PLC_conservative"
    start_date = 1800.1.1
    end_date = 9000.1.1

    ideology = conservative

    social_policy = no_position_set
    economic_policy = state_capitalism
    trade_policy = protectionism
    religious_policy = pluralism
    citizenship_policy = residency
    war_policy = pro_military
}

party = {
    name = "PLC_conservative_2"
    start_date = 1800.1.1
    end_date = 9000.1.1

    ideology = conservative

    social_policy = no_position_set
    economic_policy = interventionism
    trade_policy = protectionism
    religious_policy = moralism
    citizenship_policy = full_citizenship
    war_policy = pro_military
}

party = {
    name = "PLC_conservative_3"
    start_date = 1800.1.1
    end_date = 9000.1.1

    ideology = conservative

    social_policy = populist_welfare
    economic_policy = laissez_faire
    trade_policy = protectionism
    religious_policy = pluralism
    citizenship_policy = limited_citizenship
    war_policy = jingoism
}

party = {
    name = "PLC_liberal"
    start_date = 1820.1.1
    end_date = 9000.1.1

    ideology = liberal

    social_policy = populist_welfare
    economic_policy = laissez_faire
    trade_policy = free_trade
    religious_policy = pluralism
    citizenship_policy = full_citizenship
    war_policy = pacifism
}

party = {
    name = "PLC_liberal_2"
    start_date = 1820.1.1
    end_date = 9000.1.1

    ideology = liberal

    social_policy = populist_welfare
    economic_policy = laissez_faire
    trade_policy = protectionism
    religious_policy = secularized
    citizenship_policy = full_citizenship
    war_policy = pro_military
}

party = {
    name = "PLC_reactionary"
    start_date = 1820.1.1
    end_date = 9000.1.1

    ideology = reactionary

    social_policy = no_position_set
    economic_policy = state_capitalism
    trade_policy = protectionism
    religious_policy = moralism
    citizenship_policy = residency
    war_policy = jingoism
}

party = {
    name = "PLC_radical"
    start_date = 1830.1.1
    end_date = 9000.1.1

    ideology = radical

    social_policy = no_state_interference
    economic_policy = laissez_faire
    trade_policy = free_trade
    religious_policy = secularized
    citizenship_policy = limited_citizenship
    war_policy = pro_military
}

party = {
    name = "PLC_socialist"
    start_date = 1848.1.1
    end_date = 9000.1.1

    ideology = socialist

    social_policy = welfare_state
    economic_policy = planned_economy
    trade_policy = protectionism
    religious_policy = secularized
    citizenship_policy = full_citizenship
    war_policy = anti_military
}

party = {
    name = "PLC_communist"
    start_date = 1848.1.1
    end_date = 9000.1.1

    ideology = communist

    social_policy = populist_welfare
    economic_policy = planned_economy
    trade_policy = free_trade
    religious_policy = pro_atheism
    citizenship_policy = full_citizenship
    war_policy = jingoism
}

party = {
    name = "PLC_fascist"
    start_date = 1900.1.1
    end_date = 9000.1.1

    ideology = fascist

    social_policy = populist_welfare
    economic_policy = state_capitalism
    trade_policy = protectionism
    religious_policy = moralism
    citizenship_policy = residency
    war_policy = jingoism
}

unit_names = {
    dreadnought = {
        "Mieszko I" "Boleslaw I Chrobry" "Kazimierz II Wielki" "Wladyslaw II Jagiello" "Henryk Walezy" "Stefan Batory" "Jan III Sobieski" "Stanislaw I Leszczynski" "Stanislaw II Poniatowski"
        Lietuva Mindaugas "Vytautas Didysis" Jogailaitis Zemaitija Kaunas Moletai Vilnius Siauliai Plunge Palanga Silute Taurage Jurbarkas Alytus Trakai Druskininkai Dzkas Slis Skalvis

        "Ostap Dashkevych" Kozaky "Stenka Razin" "Kondraty Bulavin" "Yemelyan Pugachev"
        Ruthenia "Danylo Halytskyi" "Taras Shevchenko" Lviv Peremyshl Kholm Terebovlya "Danylo Halytskyi" Navahrudak
        "Roman Danylovich"
    }
    ironclad = {
         Rzeczpospolita "Krolestwo Polskie" "Wielke Ksiestwo Litewskie" "Jan Zamoyski" "Zlota Wolnosc" Konfedercja "Ksiestwo Warszawskie" "Piotr Wysocki"
