Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
1833_reforms_title;The Reforms of 1833;;;;;;;;;;;;;
1833_reforms_desc;President ValentÃ­n Gomez Farias has proposed several social, political and economic reforms to curb the power of the Catholic Church in Mexico. Liberals compare the clergy to ministers of Huitzilopochtli (who received human sacrifices), accusing them of being being worldly, greedy hypocrites. They see the Bible as full of absurdities and falsehoods from an ignorant era and wish to disempower the pope. Conservatives are furious about the proposals and the disrespect to the church, seeing them as reason to depose Farias.;;;;;;;;;;;;;
EVTNAME183536;Las Siete Leyes;;;;;;;;;;;;;
EVTDESC183536;Our president's government has issued a new constitution called the 'Siete Leyes'. It replaces the constitution of 1824 and establishes the Centralist Republic of Mexico, a unitary state, strengthening the government in Mexico City. The federal system was originally implemented to emulate the success of the US, but evidently, as seen by the political turmoil and civil wars our country has experienced in the last decade, it has not been very effective. Thus, the conservative government, seeking to further its control over the states, has proclaimed the federal system to have been a mistake and brought Mexico into an era of unitarianism. How fruitful this reform will turn out to be remains to be seen, as federalism has many fierce defenders who now plot to overthrow the central authority in Mexico City.;;;;;;;;;;;;;
EVTOPTA183536;Viva México!;;;;;;;;;;;;;
EVTNAME183637;Separatist Movements Arise!;;;;;;;;;;;;;
EVTDESC183637;Using the opportunity granted by the recent political instability and conflict amongst liberals and conservatives, the Texans have declared independence with significant support from the Americans. While the rebels aim to secede, achieve self-determination and escape the government in Mexico City, the desire to preserve the institution of slavery is certainly a significant factor. Though slavery has been illegal in Mexico many years, immigrants from the US who settled in Texas have been practicing it illegally and want to ensure the security of their plantations by forming their own republic that explicitly allows slavery.;;;;;;;;;;;;;
EVTOPTA183637;Fight those rebels! Defend the constitution!;;;;;;;;;;;;;
EVTOPTB183637;This is hopeless. There is nothing we can do.;;;;;;;;;;;;;
EVT44127OPTA;Our military could use the target practice.;;;;;;;;;;;;;
EVT44127OPTB;We shall surrender our claims.;;;;;;;;;;;;;
EVTDESC4207010;The peoples in the south of our Kingdom are mainly Flemings and Walloons, Roman Catholics which are unhappy with how our government treats them, being subjugated by a mostly protestant north. Many liberals are claiming His Majesty King William I as a despotic ruler. Unemployment and industrial unrest in the working classes has also contributed to the turmoil. Riots have erupted in Brussels, shops looted, theatergoers joined the movement right after watching the nationalistic opera La muette de Portici. These rebels soon have started talking about secession and the States-General in Brussels voted in favor of secession and declared independence. It's time to decide what are we going to do about this situation.;;;;;;;;;;;;;
EVTDESC4207011;We have gloriously defeated the Dutch! Our independence has been secured and the Kingdom of Belgium has been born! Now we can appoint Leopold I as King of the Belgians and establish an official government! Glory to Belgium! Glory to Flanders! Glory to Walloonia! Glory to the Kingdom of Belgium!;;;;;;;;;;;;;
EVTDESC4207012;The London Conference of $YEAR$ has been proclaimed. We have been invited to take a seat and discuss about the independence of Belgium. This is mostly a diplomatic settlement, as The Kingdom of Belgium is de facto independent. Nevertheless, we can get something from this, depending on what we choose.;;;;;;;;;;;;;
EVTDESC4207027;The State of Zacatecas has rebelled against the increasingly authoritarian grip of the Mexico City government. Ongoing efforts by the conservatives to abolish federalism and introduce a new unitarian constitution have led Francisco García Salinas, the governor of Zacatecas, to begin a revolt in the hopes of toppling the dictatorship. He has already assembled a small army of about four thousand men and hopes to eventually march on the capital. To suppress the rebellion, General Santa Anna has headed to Zacatecas with an army to handle the situation himself, leaving General Miguel Barragán as president in the meantime. §GIf you win as the revolt, you get good reforms and avoid 2 future revolts. If you white peace as the revolt, you get an inferior version of the aforementioned.§W;;;;;;;;;;;;;
mexican_securalization_law_title;The Secularization Law of $YEAR$;;;;;;;;;;;;;
mexican_securalization_law_desc;The Congress of the Union has proposed an Act to secularize all Californian missions, transferring ownership form the Franciscan Order of the Catholic Church to the Mexican authorities, this is because of potential Spanish influence and power in California because most Spanish missions in California are still loyal to the Roman Catholic Church in Spain.;;;;;;;;;;;;;
california_missions_mex;Spanish Catholic Missions;;;;;;;;;;;;;
AGRESSOR_WAR_CONQUEST_ANY_NAME_MEX_MEE;The Plan of Veracruz;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_MEX_MEE;The Plan of Veracruz;;;;;;;;;;;;;
AGRESSOR_WAR_CONQUEST_ANY_NAME_DAI_CHA;The Last Cham-Vietnamese War;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_DAI_CHA;The Last Cham-Vietnamese War;;;;;;;;;;;;;
AGRESSOR_WAR_CONQUEST_ANY_NAME_CHA_DAI;The Katip Sumat Uprising;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_CHA_DAI;The Katip Sumat Uprising;;;;;;;;;;;;;
GUERREROTRUCE;Following our recent victories in our revolt, we have forced the centralist government of Bustamante to step down and sign an armistice! This is great news for our cause, as we are able to begin implementing reforms and bettering the nation. At the same time, we have not defeated the conservative establishment hostile to our aims, and, as per the terms of the armistice, we must attempt to find middle ground with them in the provisional government to come. Nobody is under any illusions concerning the sustainability of this solution: While the hatchet has been buried for the moment, a resumption of the civil war is a question not of if, but of when. §RAnother civil war will occur in two years time, when the modifiers added by this event expire.§!;;;;;;;;;;;;;
