EVTNAME377903;Collapse of French Rule in Algeria;;;;;;;;;;;;;
EVTDESC377903;\n\nWith the loss of any direct connection to our holdings in the interior of Algeria, our rule in the region has collapsed. A native warlord has taken over the region in the northern Sahara, and the few French colonial administrators in the region have fled. Unless the North African coast can be recovered by our forces, we are unlikely to re-establish a foothold.;;;;;;;;;;;;;
EVT377903OPTA;One day we shall return.;;;;;;;;;;;;;
claim_greater_sapmi_title;Claim Our Ancestral Lands;;;;;;;;;;;;;
claim_greater_sapmi_desc;§RGain 2.5 infamy§! In ancient times, the Sami people once extended further south into Scandinavia. Although we had been pushed back by the Norse, we still remember the lands of our ancestors. Let us reclaim them, for the glory of Sapmi!;;;;;;;;;;;;;
claim_western_karelia_title;Claim Western Karelia;;;;;;;;;;;;;
claim_western_karelia_desc;§RGain 1 infamy§! Part of Karelia lies in Finnish territory. We should lay claim to it, in order to unite Karelia, and with it all Karelians.;;;;;;;;;;;;;
claim_ingria_title;Claim Ingria;;;;;;;;;;;;;
claim_ingria_desc;§RGain 5 infamy§! The Ingrian Finns are our close relatives, but lie under the Russian boot. We should lay claim to Ingria, to free our brothers and  gain control over a strategic economic hub.;;;;;;;;;;;;;
unite_the_ugrian_peoples_title;Unite the Ugrian Peoples;;;;;;;;;;;;;
unite_the_ugrian_peoples_desc;§RGain 5 infamy§! Our ancestral Uralic brethren, the Samoyedic and Eastern Finnic peoples, must be united under our banner!;;;;;;;;;;;;;
ENL_fascist_dictatorship;English State;;;;;;;;;;;;;
ENL_proletarian_dictatorship;English Worker's Republic;;;;;;;;;;;;;
