Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
1830_NAME;The 1830 Startdate;;;;;;;;;;;;;
SIDNEYSTREET;\n\nLondon has recently been terrorized by a Latvian Jewish émigré gang that committed several robberies across the city. They recently gained significant notoriety when a jewelry heist was interrupted by police, leading to a shootout in which two policemen were heavily injured and three died. Today, police surrounded the gang's hideout with over 200 officers. They were, however, outgunned by the longer-range weapons possessed by the gang, and thus had to call in the army. Home secretary Winston Churchill even arrived to personally observe the momentous shootout. Finally, the building caught fire and was allowed to burn down, taking the surviving gang members with it.;;;;;;;;;;;;;
TOTTENHAMOUTRAGE;\n\nA two-hour police chase occurred yesterday in the London district of Tottenham when Paul Helfeld and Jacob Lepidus, Latvian Jewish immigrants with ties to socialist circles, attempted to flee after robbing workers' salaries from the Schnurmann rubber factory. The pursuit began when constables at the nearby Tottenham police station heard shots ring out from the factory and ran after the criminals. An extensive foot-chase ensued, in which the robbers attempted to escape through a marsh. Random passersby, football players and duck hunters joined the police, harrowing the fugitives across the marsh and past two reservoirs. The two then commandeered a tram, but abandoned it when the police closed in using a tram of its own. Next, they took over a horse-drawn milk delivery cart, prompting the police to mount ponies in hot pursuit. When the outlaws were finally cornered, they committed suicide. There were 23 innocent casualties, including 2 deaths.;;;;;;;;;;;;;
SSARCTIC;\n\nNews has reached us about a horrific accident at sea. The SS Arctic, an American paddle steamer of the Collins Line, left Liverpool bound for New York with over 400 passengers and crew on board. In the area of the Grand Banks off the coast of Newfoundland, the SS Arctic collided with the SS Vesta, a small French iron-hulled propeller-driven ferry transporting fishermen from Saint Pierre. The SS Arctic initially seemed undamaged compared to the gravely stricken SS Vesta. However, unlike Vesta, Arctic was not equipped with watertight compartments. Thus the hull began to fill with water from stem to stern. As the SS Arctic began to list, the captain gave the order to abandon ship and panic broke out. The lifeboats didn't have enough capacity, letting only 88 souls, mostly crew members, survive the disaster. Finally, four hours after the fateful collision, the Arctic sank stern-first to the bottom of the sea whilst the Vesta narrowly survived.;;;;;;;;;;;;;
BAGYIDAWDEPOSED;\n\nThe crown prince and brother of king Bagyidaw, Tharrawady Min, has swiftly overthrown the king and assumed the throne. Under Bagyidaw's rule, Burma suffered a humiliating defeat at the hands of the British, causing national shame and greatly weakening his rule. The king, who used to love theater and boat racing, could not come to terms with the loss of the territories. He became increasingly reclusive, afflicted by bouts of depression. The palace power thus devolved to his chief queen Me Nu and her brother Maung O. With Bagyidaw already nearly powerless and deeply unpopular, it was a simple matter to depose him. Bagyidaw will live out the rest of his days under house arrest.;;;;;;;;;;;;;
SYDNEYRIOT;\n\nA riot has occurred at a cricket match between New South Wales and England at the Association Ground in Sydney. The riot was sparked by a controversial umpiring decision, when star Australian batsman Billy Murdoch was given out by George Coulthard, an umpire from the colony of Victoria employed by the Englishmen. The dismissal caused an uproar among the spectators, many of whom surged onto the pitch and assaulted Coulthard and some English players. The incident has caused much press comment in England and Australia, where newspapers have been united in condemning the unrest, viewing the chaos as a national humiliation and a public relations disaster. Some have alleged that policemen sympathetic to the audience's grievances sat idly by as the riot unfolded. Further cricket matches have been called off as a precaution.;;;;;;;;;;;;;
ASSASSQUEENVIC;\n\nQueen Victoria has narrowly survived an assassination attempt! At six in the evening, Prince Albert and Queen Victoria, who is four months pregnant with her first child, left the royal palace in their drosky, an open-topped horse-drawn carriage accompanied by postillions and two outriders. The carriage passed a group of spectators by the gates of the palace and traveled along Constitution Hill, as is usual for the royal couple. The would-be assassin, a disturbed young man by the name of Edward Oxford, had been waiting for two hours with loaded pistols. As the drosky came within a couple of meters of Oxford, he drew out his first pistol and fired. He missed, drew his second pistol and fired once more after the fleeing carriage. Thankfully, nobody was injured and Oxford was quickly apprehended. On trial, he was charged with high treason but has been found not guilty by reason of insanity. He is to be indefinitely interned in a criminal lunatic asylum.;;;;;;;;;;;;;
ASSASSFRANZJOS;\n\nAn assassination attempt has been made on Emperor Franz Joseph! The perpetrator is János Libényi, a member of an underground Hungarian revolutionary movement, who sought revenge for the suppression of the revolution of 1848. Emperor Franz Joseph was taking his usual walk along the Kärtnertor Bastion and leaned out over the parapet of the bastion to observe the soldiers exercising below. Suddenly, Libényi rushed forward and stabbed him in the back of the neck with a kitchen knife. Thankfully, Major Maximilian O'Donnell, an aide-decamp, and Viennese butcher Joseph Ettenreich quickly restrained Libényi, whose knife fortunately hit the hard collar of the emperor's jacket and slipped. Thus, Franz Joseph has escaped with only minor injuries that will heal in due time. Libényi has been swiftly sentenced to death by hanging.;;;;;;;;;;;;;
JERSEYSHARK;\n\nAn unprecedented series of shark attacks has occurred on the shores of New Jersey! Thousands of people had flocked to New Jersey's seaside resorts amidst a heat wave, unwittingly putting themselves in grave danger. A total of four swimmers were savagely killed, while one narrowly escaped with non-fatal injuries. It is unknown whether the fish in question were bull sharks or great white sharks, but both have been tremendously vilified in lieu of such a quick succession of deadly attacks that is utterly unheard of. The second attack already made front-page news in major newspapers nation-wide, and the media frenzy has only escalated with each subsequent attack. Some seaside resorts have now installed metal nets to protect swimmers, whilst others have haphazardly thrown dynamite into the ocean. Elsewhere, bounties of 100 dollars a shark are being offered for every shark killed. The public will certainly never stop being terrified of the shark threat.;;;;;;;;;;;;;
LINDKIDNAP;\n\nIn March 1932, tragedy struck at famed aviator Col. Charles Lindbergh's New Jersey estate: His infant son, Charles Jr., had vanished, a ransom note demanding 50 thousand dollars lay in his crib and a ladder was left by his window. Desperate to save his son, Lindbergh paid the ransom to an unidentified shady figure through an intermediary. Sadly, the baby was found decomposing next to a road near the Lindbergh estate that May, having been murdered by head trauma. The FBI's investigation turned up nothing until last September, when a German immigrant named Bruno Hauptmann was found in possession of many dollar bills bearing serial numbers of the ransom payment. Further evidence soon surfaced: The intermediary's phone number is scrawled on Hauptmann's closet wall, his writing matches the ransom note and the same wood used to build the ladder found at the scene of the crime was found in his attic. Though Hauptmann professes innocence, he has been sentenced to death.;;;;;;;;;;;;;
