 Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;
AUSTINFOUNDING;The Founding of Austin;;;;;;;;;;;;;
AUSTINFOUNDINGDESC;\n\nA small pioneer settlement situated on the Colorado River in central Texas has been chosen as the republic's seventh and final capital. Incorporated under the name Waterloo, the town has been renamed Austin in honor of Stephen F. Austin, the "Father of Texas".;;;;;;;;;;;;;
NINKODEATH;The Death of Emperor Ninko;;;;;;;;;;;;;
NINKODEATH2;\n\nEmperor Ninko, the 120th Emperor of Japan, has passed away. Ninko's reign has spanned from 1817 to 1846, seeing further deterioration of the power of the ruling Shogun. Disasters, including famine, combined with corruption and increasing Western interference, have helped to erode public trust in the bakufu government. It is hard to say what role, if any, the Emperor had in the turmoil which occurred during his reign, as Japan is ruled by the shogun and an emperor's role is primarily ceremonial. He has been enshrined in the Imperial mausoleum, Nochi no Tsukinowa no Higashiyama no misasagi. Prince Osahito, Emperor Ninko's fourth son, has now assumed the throne.;;;;;;;;;;;;;
FRANCISIDEATH;The Death of Francis I;;;;;;;;;;;;;
FRANCISIDEATH2;\n\nBorn in 1777, Francis I, who ascended to the throne in 1825, has passed away today at the age of 53. He pursued a course of conservatism during his reign. He only rarely took part in the government, which he left in the hands of his favorites and police officials. Thus, the king lived with his mistresses, surrounded by soldiers, ever in dread of assassination. During his reign, the only revolutionary movements to erupt were the Cilento Riots of 1828. After a lengthy period of illness, King Francis entered a period of delirium before finally passing away. In his final moments, plagued by hallucinations of a revolution, he hysterically cried out: "What are these voices? The people want a constitution? Give it to them!" He is succeeded by his son to his second wife, Ferdinand II.;;;;;;;;;;;;;
FELIXCHARLESDEATH;The Death of Charles Felix;;;;;;;;;;;;;
FELIXCHARLESDEATH2;\n\nBorn in 1765 and crowned King of Sardinia in 1821, Charles Felix has passed away today at the age of 66. He was the last male-line member of the House of Savoy, leaving the throne to his distant cousin Charles Albert of Savoy-Carignano, regent of Sardinia. His rule began with the abdication of his father, Victor Emmanuel I to Liberal Revolutionaries in 1821. He was regarded as a true reactionary, and was rarely present in Turin as king, having no particular affection for the Turinese due to the prior revolution. He tended to delegate large amounts of power to his ministers, especially Count Roget de Cholex, Minister of the Interior, reserving a supervisory role for himself. His government was characterized by Massimo d'Azeglio, a prominent statesman, as "a despotism full of straight and honest intentions but its representatives and arbiters were four old chamberlains, four old maids of honor, with a hive of friars, priests, monks, and jesuits.";;;;;;;;;;;;;
MEIJIDEATH;The Death of Emperor Mutsuhito;;;;;;;;;;;;;
MEIJIDEATH2;\n\nEmperor Mutsuhito, now known by his posthumous name Meiji, has died today after a period of publicized suffering. With the death of the Mikado of Japan, the Meiji Era closes, -- a period which stands out in the long history of Japan as the most illustrious and most enlightened and represents an evolution and progress unequalled in a similar time in the history of any other nation. It has witnessed the transformation of Japan from a hermit island empire, under provincial feudal rule, to a world power of the first class. It has been an era of glorious victories, and, above all, of unparalleled advancement. The death of His Majesty Mutsuhito, in the 60th year of his life and the 44th year of his reign, will doubtless have a very far reaching effect upon the peoples and politics of Asia if not upon those of the entire world. For it was during his august reign that Japan not only opened her gates to the peoples and commerce of the world, but fairly entered into the comity of nations. The late Mutsuhito will be succeeded to the throne by his son Yoshihito, his Majesty the new Emperor, who was married in 1900 to the Princess Sadako and has a son and heir, the Prince Hirohito.;;;;;;;;;;;;;
ELBEFLOOD1845;\n\nA severe winter hitting the country has caused an ice dam to form on the river Elbe, trapping the water behind it. A sudden thaw, which resulted in heavy snow melting in the German low mountain ranges and the rapid break-up of the frozen Elbe, has triggered the flood. When the dam finally gave way to the mass of water, it took a substantial part of the dike flanking the river with it. The water has now flooded into the valley along the river, destroying many homes and farms from northern Bohemia to Anhalt in the process. The city of Dresden has been hit particularly hard by the flooding.;;;;;;;;;;;;;;;;;;;;;;;;;;
propagandaphi;\n\nA movement has recently sprung up in the Philippines encompassing the activities of a group of Filipinos who call for political reforms in their lands that we control, producing books, leaflets, and newspaper articles to educate others about their goals and supposed issues they are trying to solve. The Propagandists' aims include representation in the parliment, secularization of the clergy, the guarantee of basic civil freedoms, The abolishment of labor services and the forced sale of local products to the government, and legal equality for the native Filipinos.;;;;;;;;;;;;;
move_capital_australia_title;A New Australian Capital;;;;;;;;;;;;;
move_capital_australia_desc;With the Federation of Australia coalescing the six self-governing colonies Queensland, New South Wales, Victoria, Tasmania, South Australia, and Western Australia into one cohesive unit, a decision must be made on where the capital city of this entity is to reside.;;;;;;;;;;;;;
ast_capital_title;The Capital Debate;;;;;;;;;;;;;
