PROV2446;São João D'el-Rey;;;;;;;;;
PROV2449;Victória;;;;;;;;;
PROV2462;Palmas;;;;;;;;;
PROV2457;Curityba;;;;;;;;;
PROV2420;Punta Porá;;;;;;;;;
PROV3556;Litani;;;;;;;;;
PROV3560;Yampa;;;;;;;;;
PROV3567;Rio Negro;;;;;;;;;
PROV3444;Mantiqueira;;;;;;;;;
PROV2402;Barra do Rio Negro;;;;;;;;;
PROV3584;Planalto;;;;;;;;;
PROV2532;Uraricoera;;;;;;;;;
BRZ_federal_republic;Federative Republic of Brazil;;;;;;;;;
RGS;Rio-Grandense Republic;;;;;;;;;
RGS_absolute_monarchy;Reino Rio-grandense;;;;;;;;;
RGS_prussian_constitutionalism;Reino Rio-grandense;;;;;;;;;
RGS_hms_government;Reino Rio-grandense;;;;;;;;;
RGS_absolute_empire;Reino Rio-grandense;;;;;;;;;
RGS_semi_constitutional_empire;Reino Rio-grandense;;;;;;;;;
RGS_constitutional_empire;Reino Rio-grandense;;;;;;;;;
RGS_fascist_dictatorship;Estado Rio-grandense;;;;;;;;;
RGS_prov_gov_liberal_two;Province of Sao Pedro;;;;;;;;;
RGS_prov_gov_liberal;Riograndensische Republik;;;;;;;;;
RGS_ADJ;Rio-grandense;;;;;;;;;
RGS_conservative;Partido Conservador;;;;;;;;;
RGS_liberal;Partido Federalista;;;;;;;;;
RGS_socialist;Partido Socialista Rio-grandense;;;;;;;;;
RGS_communist;Partido Popular;;;;;;;;;
RGS_reactionary;Partido Republicano Rio-grandense;;;;;;;;;
RGS_radical;Partido Libertador;;;;;;;;;
RGS_fascist;Partido dos Pampas;;;;;;;;;
SAC;Santa Catharina;;;;;;;;;
SAC_ADJ;Catharinense;;;;;;;;;
MAR;Maranhao;;;;;;;;;
MAR_ADJ;Maranhense;;;;;;;;;
AMZ;Amazonas;;;;;;;;;
AMZ_ADJ;Amazonense;;;;;;;;;
PAA;Para;;;;;;;;;
PAA_prov_gov_liberal;Cabanos;;;;;;;;;
PAA_democracy;Paraense Republic;;;;;;;;;
PAA_ADJ;Paraense;;;;;;;;;
MGO;Mato Grosso;;;;;;;;;
MGO_ADJ;Mato-Grossense;;;;;;;;;
GOI;Goiaz;;;;;;;;;
GOI_ADJ;Goiano;;;;;;;;;
PIA;Piauí;;;;;;;;;
PIA_ADJ;Piauiense;;;;;;;;;
CEA;Ceara;;;;;;;;;
CEA_ADJ;Cearense;;;;;;;;;
MGR;Minas Geraes;;;;;;;;;
MGR_ADJ;Mineiro;;;;;;;;;
SAP;Sao Paulo;;;;;;;;;
SAP_ADJ;Paulista;;;;;;;;;
BAH_theocracy;Males;;;;;;;;;
BAH_theocracy_ADJ;Male;;;;;;;;;
WSA;Western Sahara;;;;;;;;;
WSA_ADJ;Saharwi;;;;;;;;;
STP;Sao Tome and Principe;;;;;;;;;
STP;Sao-Tomense;;;;;;;;;
FRN;Central African Federation;;;;;;;;;
