OYO_absolute_empire;Empire of Oyo;;;;;;;;;;;;
OYO_absolute_empire_ADJ;Oyo;;;;;;;;;;;;
OYO_semi_constitutional_empire;Empire of Oyo;;;;;;;;;;;;
OYO_semi_constitutional_empire_ADJ;Oyo;;;;;;;;;;;;
OYO_constitutional_empire;Empire of Oyo;;;;;;;;;;;;
OYO_constitutional_empire_ADJ;Oyo;;;;;;;;;;;;
OYO_proletarian_dictatorship;Yoruban People's Republic;;;;;;;;;;;;
OYO_presidential_dictatorship;Yoruban Republic;;;;;;;;;;;;
OYO_colonial_company;Yorubaland;;;;;;;;;;;;
OYO_fascist_dictatorship;Yoruba Proper;;;;;;;;;;;;
OYOCAPITAL;Oyo has been the capital of our kingdom since ancient times but the capture of it by the Fulanis changed that.With Oyo Ile again part of our nation the question of moving the capital there once again is reassonable.;;;;;;;;;;;;;
claim_north_oyo_title;Claim Northern Lands;;;;;;;;;;;;
claim_north_oyo_desc;With the Fulanis support of the Ilorin traitor it is our mission to protect our northern Border so such can never happen again.;;;;;;;;;;;;
reclaim_dahomey_title;Reclaim Dahomey;;;;;;;;;;;;
reclaim_dahomey_desc;Dahomey has been part of our empire a few decades ago.With our other Lands under our controll again, ist our duty to put the Dahomeys in their place.;;;;;;;;;;;;
declare_empire_title;Redeclare the Oyo Empire;;;;;;;;;;;;
declare_empire_desc;With all of our former Lands under our control we shall reinstate the empire.;;;;;;;;;;;;
claim_greater_oyo_title;Claim greater Oyo;;;;;;;;;;;;
claim_greater_oyo_desc;With all of our Lands under our dominion, we shall claim our borderlands in the name of yoruban glory!;;;;;;;;;;;;
arabic_writing_system_title;Use the Arabic writing system;;;;;;;;;;;;
arabic_writing_system_desc;It has been used throughout the country and it isn't insane to think that we ciould use it officially.;;;;;;;;;;;;
accept_volta_niger_title;Volta Niger Hegemon;;;;;;;;;;;;
accept_volta_niger_desc;We dominate the language and the region.The others are so close to us that they could be seen as integral to our nation.;;;;;;;;;;;;
OYO;Oyo;Oyo;Oyo;;Oyo;;;;;;;;;
OYO_ADJ;Yoruban;Oyo;Oyo;;;;;;;;;;;
OYO_conservative;Alaafin's Egbe;Egbe Alaafin;Alaafins Fraktion;;;;;;;;;;;
OYO_liberal;Oyo Mési Egbe;Egbe de àlejò;Verbesserung Fraktion;;;;;;;;;;;
OYO_reactionary;Ibile Egbe;Egbe ibile;Militärische Fraktion;;;;;;;;;;;
OYO_radical;Iyato Egbe;Egbe radicale;Die radikale Fraktion;;;;;;;;;;;
OYO_socialist;Awon Eniyan Egbe;Egbe populaire;Volk Fraktion;;;;;;;;;;;
OYO_communist;Communist Egbe;Egbe communiste;Die kommunistische Fraktion;;;;;;;;;;;
OYO_fascist;Yoruba Egbe;Egbe fasciste;Die faschistische Fraktion;;;;;;;;;;;
PROV1925;Oyo Ile;Oyo Ile;Oyo Ile;;Oyo Ile;;;;;;;;;
PROV1926;Ibadan;Ibadan;Ibadan;;Ibadan;;;;;;;;;
SAA_colonial_company;Saar basin;Sarre;Saargebiet;;;;;;;;;;;
SAA_absolute_monarchy;Saarbrücken;;;;;;;;;;;;;
SAA_prussian_constitutionalism;Saarbrücken;;;;;;;;;;;;;
SAA_hms_government;Saarbrücken;;;;;;;;;;;;;
core_loango_title;Claim Loango;;;;;;;;;;;;
core_loango_desc;Loango has been a nuisance for all of our existance, always helping insurgences in the north and blocking trade with our brothers further north. They don't deserve a country for theirselves, and need to be under us, or will continue to be a pest to the region and the world. Now that it's former territory is ours, it's time to formally proclaim them a state of ours.;;;;;;;;;;;;
core_north_title;Core the North;;;;;;;;;;;;
core_north_desc;Now that Loango is firmly under our empire and we have the European technology needed to do so, it's time to reign over the North. Our brothers and sisters have been unorganized for ages, and will probably be pleased to be under our rule. To the North!;;;;;;;;;;;;
kongowar_portugal_title;Free the Bantu in Angola;;;;;;;;;;;;
kongowar_portugal_desc;Now that we are catching on technologically and militarily to our neighbour Portugal, it's time to free ourselves from their influence and free our cousins to the south from the colonizers that have oppressed them for now centuries. God bless our great Empire! God bless Kongo! To arms! §RSTART A WAR WITH PORTUGAL§W;;;;;;;;;;;;
kongowar_won_title;We have won against Portugal!;;;;;;;;;;;;
kongowar_won_desc;After a bloody war, we have freed our cousins and established our reign over the region. We are now the greatest empire in Africa. God bless our greater Empire! God bless Kongo!;;;;;;;;;;;;
african_ports_rename_title;Rename our African Port;;;;;;;;;;;;;
african_ports_rename_desc;Now that our newly aquired port is under our control, we should name it to its new exonym.;;;;;;;;;;;;;;;;;;;;;;;;;;
