Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV2774;Western Black Sea;;;;;;;;;;;;;
PROV2775;Central Black Sea;;;;;;;;;;;;;
PROV2777;Eastern Black Sea;;;;;;;;;;;;;
PROV2761;Gulf of Venice;;;;;;;;;;;;;
PROV2762;Adriatic Sea;;;;;;;;;;;;;
PROV2763;Strait of Otranto;;;;;;;;;;;;;
PROV2765;Gulf of Sirte;;;;;;;;;;;;;
PROV2766;Central Libyan Sea;;;;;;;;;;;;;
PROV2760;Ionian Sea;;;;;;;;;;;;;
PROV2767;Eastern Libyan Sea;;;;;;;;;;;;;
PROV2768;Western Levantine Sea;;;;;;;;;;;;;
PROV2769;Eastern Levantine Sea;;;;;;;;;;;;;
PROV2770;Cilician Sea;;;;;;;;;;;;;
PROV2753;Straits of Messina;;;;;;;;;;;;;
PROV2759;Western Libyan Sea;;;;;;;;;;;;;
PROV2758;Sea of Sicily;;;;;;;;;;;;;
PROV2757;Tyrrhenian Sea;;;;;;;;;;;;;
PROV2751;Ligurian Sea;;;;;;;;;;;;;
PROV2749;Gulf of Lion;;;;;;;;;;;;;
PROV2750;Sea of Sardinia;;;;;;;;;;;;;
PROV2752;Balearic Sea;;;;;;;;;;;;;
PROV2755;Eastern Algerian Coast;;;;;;;;;;;;;
PROV2754;Central Algerian Sea;;;;;;;;;;;;;
PROV2747;Alboran Sea;;;;;;;;;;;;;
PROV2756;Strait of Bonifacio;;;;;;;;;;;;;
PROV2939;James Bay;;;;;;;;;;;;;
PROV2941;Southern Hudson Bay;;;;;;;;;;;;;
PROV2940;Northern Hudson Bay;;;;;;;;;;;;;
PROV2938;Hudson Srait;;;;;;;;;;;;;
PROV2937;Davis Strait;;;;;;;;;;;;;
PROV2936;Northern Labrador Sea;;;;;;;;;;;;;
PROV2935;Southern Labrador Sea;;;;;;;;;;;;;
PROV3241;Yana Bay;;;;;;;;;;;;;
PROV3574;Gulf of Riga;;;;;;;;;;;;;
PROV3575;Bay of Danzig;;;;;;;;;;;;;
PROV3576;Danish Straits;;;;;;;;;;;;;
PROV3577;White Sea;;;;;;;;;;;;;
PROV3578;Kara Sea;;;;;;;;;;;;;
PROV2735;Shetland Straits;;;;;;;;;;;;;
PROV2929;Moray Firth;;;;;;;;;;;;;
PROV2926;Spitzberg Sea;;;;;;;;;;;;;
PROV2927;Jan Mayen Sea;;;;;;;;;;;;;
PROV2716;Barents Sea;;;;;;;;;;;;;
PROV2705;Bothnian Bay;;;;;;;;;;;;;
PROV2706;Bothnian Sea;;;;;;;;;;;;;
PROV2708;Archipelago Sea;;;;;;;;;;;;;
PROV2709;Eastern Gotland Basin;;;;;;;;;;;;;
PROV2710;Western Gotland Basin;;;;;;;;;;;;;
PROV2832;Bornholm Basin;;;;;;;;;;;;;
PROV2711;Kattegat;;;;;;;;;;;;;
PROV2835;Shelikhov Gulf;;;;;;;;;;;;;
PROV2833;Okhotsk Coast;;;;;;;;;;;;;
PROV2835;Shelikhov Gulf;;;;;;;;;;;;;
PROV2834;Northern Sea of Okhotsk;;;;;;;;;;;;;
PROV2752;Tatar Strait;;;;;;;;;;;;;
PROV2836;Central Sea of Okhotsk;;;;;;;;;;;;;
PROV2839;Southern Sea of Okhotsk;;;;;;;;;;;;;
PROV3579;La Pérouse Strait;;;;;;;;;;;;;
PROV3580;Tatar Strait;;;;;;;;;;;;;
PROV2839;Southern Sea of Okhotsk;;;;;;;;;;;;;
