
famine;Provincial Famine;;;;;;;;;;;;;
cultuurstelsel;Cultuurstelsel;;;;;;;;;;;;;
cultuurstelsel_extended;Cultuurstelsel in Sumatra;;;;;;;;;;;;;
verplichte_levering;Verplichte Levering;;;;;;;;;;;;;
deli_maatschappij;Deli Maatschappij;;;;;;;;;;;;;
landverhuurstelsel_abandoned;Abandoned the Landverhuurstelsel;;;;;;;;;;;;;
landverhuurstelsel;Landverhuurstelsel;;;;;;;;;;;;;
fleeing_cultuurstelsel;Cultuurstelsel Migrations;;;;;;;;;;;;;
cultuurstelsel_abandoned;Abandoned the Cultuurstelsel;;;;;;;;;;;;;
cultuurstelsel_reformed;Reformed Cultuurstelsel;;;;;;;;;;;;;
DIM_cultuurstelsel_title;Institute the Cultuurstelsel;;;;;;;;;;;;;
DIM_cultuurstelsel_desc;Due to the war with Belgium, as well as the recent wars on Java and Sumatra, our treasury has run bone dry. To stave off financial disaster, we should try to increase our revenue from our colonies in the East. A new system called the Cultuurstelsel has been proposed, which will require farmers to grow cash crops for export.;;;;;;;;;;;;;
DIM_agrarische_wet_title;Institute the Agrarische Wet;;;;;;;;;;;;;
DIM_agrarische_wet_desc;§GLose 1 infamy§! While vital for the financial well-being of our nation, the Cultuurstelsel has its opponents. Especially in liberal circles there is a lot of criticism of the system. They view the Cultuurstelsel as an inefficient and inflexible economic system, unable to respond adequately to changing circumstance.\n\nIn their view the East Indies would benefit from opening up to private capital. The treatment of the Inlanders is also a point of contention. They hold the Cultuurstelsel as deeply immoral, as it denies the locals education, Christianity and the blessings of progress. \n\nThe Agrarische Wet seeks to abolish the Cultuurstelsel and its governmental plantations, and open the East Indies up to private investment. Ownership of the land is returned to the Inlanders and western individuals can lease lands from them or the government.;;;;;;;;;;;;;
DIM_ethische_politiek;The Ethische Politiek;;;;;;;;;;;;;
DIM_ethische_politiek_title;Institute the Ethische Politiek;;;;;;;;;;;;;
DIM_ethische_politiek_desc;§GLose 1 infamy§! The Indies have always been a profit center to our nation. While great wealth has flowed to our great nation, the poor inlanders have seen little benefit from our rule. In fact, they have suffered dearly from abuse and exploitation under our rule. Some would say we have incurred a debt of honor towards the inlanders. They are proposing we follow a more Ethical Policy towards the inlanders. We would take ethical responsibility towards our inlander populace, and extend all benefits from being part of our great nation towards them. \n\nThe Ethische Politiek would be the official policy of colonial government of Indonesia in the beginning of the 20th Century. In 1901, the Dutch Queen Wilhelmina announced that the Netherlands accepted an ethical responsibility for the welfare of their colonial subjects. The Ethical Policy would promote efforts to improve the lot of the ordinary people through irrigation programs, the introduction of banking services for the native population, and subsidies for native industries and handicrafts.;;;;;;;;;;;;;
DIM_cultuurstelsel_event_title;The Cultuurstelsel;;;;;;;;;;;;;
