PROV2446;São João D'el-Rey;;;;;;;;;
PROV2449;Victória;;;;;;;;;
PROV2462;Palmas;;;;;;;;;
PROV2457;Curityba;;;;;;;;;
PROV2420;Punta Porá;;;;;;;;;
PROV3556;Litani;;;;;;;;;
RGS;Republica Rio Grandense;;;;;;;;;
RGS_absolute_monarchy;Reino Gaucho;;;;;;;;;
RGS_prussian_constitutionalism;Reino Gaucho;;;;;;;;;;;;;
RGS_hms_government;Reino Gaucho;;;;;;;;;;;;;
RGS_absolute_empire;Reino Gaucho;;;;;;;;;;;;;
RGS_semi_constitutional_empire;Reino Gaucho;;;;;;;;;;;;;
RGS_constitutional_empire;Reino Gaucho;;;;;;;;;;;;;
RGS_fascist_dictatorship;Estado Gaucho;;;;;;;;;;;;;
RGS_ADJ;Gaucho;;;;;;;;;
RGS_conservative;Partido Republicano;;;;;;;;;
RGS_liberal;Partido Federalista;;;;;;;;;
RGS_socialist;Partido Socialista do Sul;;;;;;;;;
RGS_communist;Partido Popular;;;;;;;;;
RGS_reactionary;Partido Gaucho;;;;;;;;;
RGS_radical;Partido Libertador;;;;;;;;;
RGS_fascist;Partido dos Pampas;;;;;;;;;
SAC;Santa Catharina;;;;;;;;;;;;;
SAC_ADJ;Catharinense;;;;;;;;;;;;;
MAR;Maranhao;;;;;;;;;;;;;
MAR_ADJ;Maranhense;;;;;;;;;;;;;
AMZ;Amazonas;;;;;;;;;;;;;
AMZ_ADJ;Amazonense;;;;;;;;;;;;;
PAA;Para;;;;;;;;;;;;;
PAA_ADJ;Paraense;;;;;;;;;;;;;
MGO;Mato Grosso;;;;;;;;;;;;;
MGO_ADJ;Mato-Grossense;;;;;;;;;;;;;
GOI;Goiaz;;;;;;;;;;;;;
GOI_ADJ;Goiano;;;;;;;;;;;;;
PIA;Piauí;;;;;;;;;;;;;
PIA_ADJ;Piauiense;;;;;;;;;;;;;
CEA;Ceara;;;;;;;;;;;;;
CEA_ADJ;Cearense;;;;;;;;;;;;;
MGR;Minas Geraes;;;;;;;;;;;;;
MGR_ADJ;Mineiro;;;;;;;;;;;;;
SAP;Sao Paulo;;;;;;;;;;;;;
SAP_ADJ;Paulista;;;;;;;;;;;;;
WSA;Western Sahara;;;;;;;;;;;;;
WSA_ADJ;Saharwi;;;;;;;;;;;;;
STP;São Tomé and Príncipe;;;;;;;;;;;;;
STP;São-Tomense;;;;;;;;;;;;;
FRN;Central African Federation;;;;;;;;;;;;;
FRN_colonial_company;Federation of Rhodesia and Nyasaland;;;;;;;;;;;;;
FRN_ADJ;Central African;;;;;;;;;;;;;
PNA;Parana;;;;;;;;;;;;;
PNA_ADJ;Paranaense;;;;;;;;;;;;;
patagonian;Patagonian Native;;;;;;;;;;;;;
PTG_viceroyalty;Nouvelle France;;;;;;;;;;;;;
viceroyalty;Viceroyalty;;;;;;;;;;;;;
viceroyalty_ruler;Viceroy;;;;;;;;;;;;;
organize_patagonia_title;Organise Patagonia and Araucania;;;;;;;;;;;;;
organize_patagonia_desc;Now that the regions of Patagonia and Araucania belong to us, we should organise the area into a colonial government.;;;;;;;;;;;;;
reorganize_patagonia_title;Reorganise Patagonia and Araucania;;;;;;;;;;;;;
reorganize_patagonia_desc;Now that the regions of Patagonia and Araucania belong to us, we should organise the area into a colonial government.;;;;;;;;;;;;;
patagonia_araucania_title;The Kingdom of Patagonia and Araucania;;;;;;;;;;;;;
patagonia_araucania_desc;A lawyer by the name of Antoine de Tounens has ventured to the cold araucaria-filled lands of southern South America, known as Araucania, and has declared himself King of Patagonia and Araucania in an effort to stop the occupation and colonization of the region by the local powers.;;;;;;;;;;;;;
france_patagonia_title;The King of Patagonia and Araucania;;;;;;;;;;;;;
france_patagonia_desc;Now that we've secured the lands of Patagonia, it's time to free the Kingdom of Patagonia and Araucania with Orélie-Antoine I as its monarch and protector.;;;;;;;;;;;;;
EVTNAME97067;The Revolution of the Lances;;;;;;
EVTDESC97067;In the 12 of september of 1870, a revolution was started by Timoteo Aparicio, leader of the National Party of Uruguay (the Blancos) and a former army officer,and lasted until 6 of April 1872, the series of events ended with a power-sharing agreement between the Blanco and the Colorado Parties.;;;;;;;;;;;;
EVTOPTA46400;Those damn Blancos!;;;;;;;;;;;;;
itatiaia_desc;For the first time the Pico das Agulhas Negras localised in the Itatiaia massif, part of the Serra da Mantiqueira, has been hiked by Carlos Spierling and Osvaldo Leal. This has been attempted before, most notably in 1878 and 1898, done by Franklin Massena and André Rebouças along side Horácio de Carvalho, respectivelly.;;;;;;;;;;;;;
14-bis_desc;Today, the Brazilian inventor Santos-Dumont, flew his Airplane, known as 14-bis, inside of Bagatelle across a distance of 60 meters in only 7 seconds, with a thousand expectators, including the AéCF. This shall go down in history as an extraordinary event.;;;;;;;;;;;;;
french_guyana_purchase_title;Purchase French Guyana;;;;;;;;;;;;;
french_guyana_purchase_desc;Now that we've recovered our lost lands in the south, we must seek to consolidate our influence in the north, for that we will offer to buy one of the European colonies in the Guyana region;;;;;;;;;;;;;
suriname_purchase_title;Purchase Suriname;;;;;;;;;;;;;
suriname_purchase_desc;Now that we've suceeded in buying one of the European colonies in the Guyanas, we must seek to consolidate our influence in the region even further. To that end we will offer to buy another one of the European colonies in the Guyana region.;;;;;;;;;;;;;
guyana_purchase_title;Purchase Guyana;;;;;;;;;;;;;
guyana_purchase_desc;Now that we've suceeded in buying two of the European colonies in the Guyanas, we must seek to assert our hegemony in the region. To that end, we will offer to buy the last of the European colonies in the Guyana region.;;;;;;;;;;;;;
