Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
claim_oregon_territory_title;Claim the Oregon Country!;;;;;;;;;;;;;
claim_oregon_territory_desc;The Oregon Country territory was first explored by spanish explorers, which later discussed the territoryin the Nutka conventions. This is a solid claim for the Mexican state to take it back.;;;;;;;;;;;;;
claim_luisiana_title;Claim the Luisiana Territory!;;;;;;;;;;;;;
claim_luisiana_desc;On 1764, the formal adquisition of the Louisiana territory was announced by Spain and attached as a spanish gobernance to the general cuban capitany, which was part of the Viceroyalty of New Spain, later Mexico. This lays a solid claim on this vast territory for the mexican people.;;;;;;;;;;;;;
claim_florida_title;Claim the Florida Peninsula!;;;;;;;;;;;;;
claim_florida_desc;The Florida peninsula was the first important european settlement in North America, it formed part of the general cuban capitany, which was part of the Viceroyalty of New Spain just like the Louisiana Territory, this naturally also gives us claim on the territory and it's corridor.;;;;;;;;;;;;;
monterrey_boom_title;La Sultana del Norte;;;;;;;;;;;;;
monterrey_boom_desc;Founded in 1596, Monterrey was a small town often forgot about. After the Mexican-American War the town saw itself closer to the american frontier, serving as a popular meeting point for trade, business and even retirement for americans. The city experienced a colosal growth in population, economy, human development, everything. It even recieved a new nickname "The Sultan of the North".;;;;;;;;;;;;;
global_province_boom;Developing the City;;;;;;;;;;;;;
global_province_boom_desc;This city is experiencing rapid growth and development due to recent events.;;;;;;;;;;;;;
