PAG_conservative;Adats;;;;;;;;;;;;;
PAG_reactionary;Padris;;;;;;;;;;;;;
DIM_flores_offer_title;The Portuguese East Indies;;;;;;;;;;;;;
DIM_flores_offer_desc;The Portuguese still hold sway over a small part of the East Indies: Timor and Flores. Many wars were fought over these territories, and Lisbon's presence there remains a thorn in our side. While these territories had previously been important outposts of Lisbon, by now very impoverished backwaters with little connection with to the motherland. We could approach the Portuguese to see if they are willing to sell their possessions?;;;;;;;;;;;;;
EVTNAME95252;Tensions in Malacca;;;;;;;;;;;;;
EVTDESC95252;Our mutual colonial ambitions in the East Indies are bringing us into increasing conflict with the Dutch. Tensions are particularly high surrounding the Straits of Malacca, a key channel for mercantile navigation in the East. Something must be done to resolve the growing conflict between our merchants.\n\nOur diplomats recommend defining clear "spheres of influence" in the region and exchanging territories: we would control trade and colonies in the Malay Peninsula to the north, while the Dutch would control Sumatra and the islands south of the Straits. Alternatively, if we don't mind throwing our weight around a bit, we could press the Dutch to unilaterally withdraw from the north side of the Strait, though it would damage our relations and they might refuse. What should our course be?;;;;;;;;;;;;;
EVTNAME95253;Malacca Exchange Proposed;;;;;;;;;;;;;
EVTDESC95253;Our mutual colonial ambitions in the East Indies are bringing us into increasing conflict with the British. Tensions are particularly high surrounding the Straits of Malacca, a key channel for mercantile navigation in the East. Something must be done to resolve the growing conflict between our merchants.\n\nNow the British propose to define clear "spheres of influence" in the region and exchange territories: they would control trade and colonies in the Malay Peninsula to the north, while we would control Sumatra and the islands south of the Straits. Should we accept their proposal?;;;;;;;;;;;;;
EVTNAME211202;The Sultanate of Palembang;;;;;;;;;;;;;
EVTDESC211202;Relations with Palembang have always been troublesome, and things have not gotten better since the English left the region. During their brief tenure over the East Indies [1811-1814] they had the opportunity to install a new sultan, one which has proven less than friendly to our interest, but very much so to theirs. However, his rule was not meant to last: Through 'interventions' we've managed to install a sultan more favorable to our interests, but his authority outside of the city of Palembang is limited. Brigands and robbers roam the countryside, and the local Heads appear unable or unwilling to control them. Our commissionaire in the sultanate has expressed his desire to take a more direct role in ruling the state, and has asked us to enter into a new contract with the sultan.;;;;;;;;;;;;;
EVTNAME211203;Unrest in Palembang;;;;;;;;;;;;;
EVTDESC211203;The recent treaty with the sultanate of Palembang installed a sultan more amiable to our wishes, and was intended to provide a solid basis for stable relations. But alas our hopes were in vain: the sultan has proven too weak and extremely unreliable. Due taxes are no longer being paid, and it would seem he is behind the recent assassination of our commissionaire to the sultanate.\n\nBut all this is all rather irrelevant: Our post in Palembang is under siege by inlanders, and it would appear the sultan is behind this! To restore order, and maintain our authority, something has to be done!;;;;;;;;;;;;;
EVTNAME211204;Dutch Military Expedition;;;;;;;;;;;;;
EVTDESC211204;In responds to our recent aggressive moves against them, the Dutch have decided to outfit a military expedition to 'restore [their] order' on our lands. We can hardly defend against the Dutch might, it is time to flee!;;;;;;;;;;;;;
EVTNAME211205;Palembang Sultan flees!;;;;;;;;;;;;;
EVTDESC211205;Fearing our great military might, the Sultan of Palembang has decided to flee his realm, but was captured by one of our patrols and exiled to Bangka. His father has met our forces outside of the Kraton and has surrender himself to our forces. With both possible claimants to the throne under our sway, the Sultanate of Palembang de facto ceases to exist. We can abolish the sultanate and institute direct rule.;;;;;;;;;;;;;
EVTNAME211300;The Future of the Portuguese East Indies;;;;;;;;;;;;;
