Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
the_watchers_on_the_wall;Crises Disabled;;;;;;;;;;;;;
government_of_india_act;Government of India Act;;;;;;;;;;;;;
religious_insurrection;Religious Insurrection;;;;;;;;;;;;;
secessionist_agitation;Secessionist Agitation;;;;;;;;;;;;;
the_sell_of_saint_barthelemy_title;The Fate of West Indies;;;;;;;;;;;;;
the_sell_of_saint_barthelemy_desc;We acquired the island of Saint Barthelemy from the French in 1784 during American Revolutionary War. Grown prosperous due to the production of cotton, sugar and tobacco, as well as its excellent trade harbor. However over time trade routes have shifted and the once busy harbor is now quiet. No longer as prosperous as it once was, perhaps we should ask the French if they would like to reacquire the island?;;;;;;;;;;;;;
the_libyan_desert_demarcation_title;The Libyan Desert Boundary Commission;;;;;;;;;;;;;
the_libyan_desert_demarcation_desc;With the colonization of Africa speeding up one of the last areas still untouched by Western Imperialism are the great deserts of North Africa. Barely habitable and of little colonial interest, it has been suggested we organize a committee to divide the Libyan Desert among the states surrounding at and demarcate the borders.;;;;;;;;;;;;;
monopolising_the_coromandel_coast_title;Consolidating The Coromandel Coast;;;;;;;;;;;;;
monopolising_the_coromandel_coast_desc;European powers settled the Coromandel Coast in the 17th and 18th century in an effort to control the Indian trade. As we've come to dominate the Indian subcontinent -and the Indian trade with it- these posts have become mostly become worthless to the other powers, often even a drain on the treasure. Perhaps we should approach them and offer to take this burden of their hands, and at the same time reduce foreign influence on the Indian subcontinent?;;;;;;;;;;;;;
the_goldsmith_arbitration_title;The Goldsmith Arbitration;;;;;;;;;;;;;
the_goldsmith_arbitration_desc;Over the past few years we've steadily been increasing our influence in the tribal lands of Baluchistan. In doing so we've come into conflict with Persia, who claim the region belongs to them. While Persia is in no position to resist us, it might be best to settle the question of whom Baluchistan belongs to through international arbitration.;;;;;;;;;;;;;
the_northern_arabian_borders_title;Finalize the Northern Borders;;;;;;;;;;;;;
the_northern_arabian_borders_desc;The Al-Nefud and Syrian desert form the natural borders to the north. Barely inhabited, or indeed habitable, for administrative purposes a line has to be drawn through the desert. The question is where?;;;;;;;;;;;;;
the_southern_arabian_borders_title;Finalize the Southern Borders;;;;;;;;;;;;;
the_southern_arabian_borders_desc;The Great Rub'al Khali desert separates us from the Indian Ocean and the states on its coast. Barely inhabited, or indeed habitable, for administrative purposes a border between us and the Indian Ocean States has to be drawn somewhere.;;;;;;;;;;;;;
become_uzbekistan_bukkhara_title;Unify the Uzbek Tribes;;;;;;;;;;;;;
become_uzbekistan_bukkhara_desc;We must unite the Uzbeks into a single state, with sovereignty over all our ancestral land. Under Uzbek leadership, all of Turkestan will one day be united!;;;;;;;;;;;;;
the_kyzylkum_desert_title;The Kyzylkum;;;;;;;;;;;;;
the_kyzylkum_desert_desc;Endless and endless expanses of red sand, only interrupted by the occasional oasis. It has no value but for the caravans crossing it. [requires 50% civilization progress];;;;;;;;;;;;;
the_karakum_desert_title;The Karakum;;;;;;;;;;;;;
the_karakum_desert_desc;The Great Karakum. Completely uninhabitable and completely worthless. Its only use is for caravans to cross. These caravans are however of great value, and he who controls the trading cities, controls the caravans... [requires 50% civilization progress];;;;;;;;;;;;;
EVTNAME2001;Ethnic Flavor;;;;;;;;;;;;;
EVTDESC2001;Foreign immigrants arriving in new countries often find themselves living together concentrated in relatively small areas, living in close proximity to, and seeking mutual support from, their national brethren, often forming little 'ethnic enclaves', such as New York's 'Little Italy'. $PROVINCENAME$ is no exception, as the immigrant community there has formed a just such a thing, complete with all the cultural, linguistic and culinary flavors of the immigrants' homeland;Les immigrants étrangers en provenance de nouveaux pays avaient tendance à se concentrer dans des quartiers relativement restreints et à vivre à proximité les uns des autres pour se soutenir, créant ainsi de petites "enclaves ethniques" comme "Little Italy" à New York. $PROVINCENAME$ n'y fait pas exception et cette communauté d'immigrants y a réinstauré les notes culturelles, linguistiques et culinaire de sa terre natale.;Ausländische Einwanderer finden sich in ihren neuen Ländern häufig stark konzentriert in relativ kleinen Gebieten wieder, wo sie in enger Nachbarschaft zu ihren Landsleuten leben und sich mit diesen gegenseitige Unterstützung bieten. Oftmals bilden sie 'ethnische Enklaven', wie beispielsweise New Yorks 'Little Italy'. $PROVINCENAME$ ist da keine Ausnahme, da die Einwanderergemeinde dort gerade solch eine Enklave mit allen kulturellen, linguistischen und kulinarischen Aspekten ihres Heimatlandes gebildet hat.;;Los inmigrantes extranjeros que llegan a nuevos países suelen encontrarse viviendo en zonas concentradas de una extensión relativamente pequeña. Allí, viven en vecindad con sus paisanos para darse apoyo mutuo, formando 'enclaves étnicos', como la 'Pequeña Italia', en Nueva York. $PROVINCENAME$ no es una excepción, ya que la comunidad de inmigrantes ha organizado algo similar, completada con todos los rasgos culturales, lingüísticos y culinarios de su tierra natal.;;;;;;;;;
