;;;;;;;;;;;;;x
D20;Pagaruyung;;;;;;;;;;;;;x
D20_ADJ;Minangkabau;;;;;;;;;;;;;x
D21;Palembang;;;;;;;;;;;;;x
D21_ADJ;Palembang;;;;;;;;;;;;;x
D22;Sambas;;;;;;;;;;;;;x
D22_ADJ;Sambas;;;;;;;;;;;;;x
D23;Sintang;;;;;;;;;;;;;x
D23_ADJ;Sintang;;;;;;;;;;;;;x
D24;Pontianak;;;;;;;;;;;;;x
D24_ADJ;Pontianak;;;;;;;;;;;;;x
D25;Matam;;;;;;;;;;;;;x
D25_ADJ;Matam;;;;;;;;;;;;;x
D26;Boeloengan;;;;;;;;;;;;;x
D26_ADJ;Boeloengan;;;;;;;;;;;;;x
D27;Goenoeng Taboer;;;;;;;;;;;;;x
D27_ADJ;Goenoeng Taboer;;;;;;;;;;;;;x
D28;Loewoe;;;;;;;;;;;;;x
D28_ADJ;Loewoe;;;;;;;;;;;;;x
D29;Mandar;;;;;;;;;;;;;x
D29_ADJ;Mandar;;;;;;;;;;;;;x
D30;Wadjo;;;;;;;;;;;;;x
D30_ADJ;Wadjo;;;;;;;;;;;;;x
D31;Soppeng;;;;;;;;;;;;;x
D31_ADJ;Soppeng;;;;;;;;;;;;;x
D32;Buton;;;;;;;;;;;;;x
D32_ADJ:Buton;;;;;;;;;;;;;x
D33;Lingga;;;;;;;;;;;;;x
D33_ADJ;Lingga;;;;;;;;;;;;;x
KTI;Koetai;;;;;;;;;;;;;x
YOG;Djokjakarta;;;;;;;;;;;;;x
YOG_ADJ;Djokjakartan;;;;;;;;;;;;;x
SUR;Soerakarta;;;;;;;;;;;;;x
SUR_ADJ;Soerakartan;;;;;;;;;;;;;x
