Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
central_asia_refugees;Helping people escape the desert!;;;;;;;;;;;;;
central_asia_refugees_desc;Don't mind me. I'm here so units stuck in the Karakum and Kyzylkum can go home.;;;;;;;;;;;;;
dar_al_funun;The Dar al-Funun.;Le Dar al Funun.;Der Dar al Funun.;;;;;;;;;;;
new_fancy_palace_modifier;New Palace;;;;;;;;;;;;;
persian_cossacks_modifier;Persian Cossack Brigade;;;;;;;;;;;;;
turkmenchay_treaty;Turkmenchay Treaty;;;;;;;;;;;;;
amir_kabir_attending;Appointed Amir Kabir;;;;;;;;;;;;;
naser_in_europe;The Shah's Tour of Europe;;;;;;;;;;;;;
avadhi;Hindustani;;;;;;;;;;;;;
PROV2336;Te Pito o te Henua;;;;;;;;;;;;;
PROV2309;Cobija;Cobija;Cobija;;Cobija;;;;;;;;;
PROV2330;Concepción;Concepción;Concepción;;Concepción;;;;;;;;;
the_treaty_of_paris_persia_title;The Treaty of Paris;;;;;;;;;;;;;
the_treaty_of_paris_persia_desc;The Treaty of Paris settles the war over Herat. In it Persia abandon all claims to Herat and the other Afghan principalities, recognizing them as independent states outside of their sphere of influence.;;;;;;;;;;;;;
the_sublime_threshold_title;The Sublime Threshold;;;;;;;;;;;;;
the_sublime_threshold_desc;The Holiest cities of Shia Islam are -outside of Mecca and Medina- the shire cities of Iraq: Karbala and Najaf -containing the shires of Hussein and Ali respectively- and to a lesser extend Samarra and Baghdad. These cities are of great spiritual significance to our people, yet they remain subject to foreign domination. It would be a great coup if we could bring them under our total control.;;;;;;;;;;;;;
first_treaty_of_erzurum_title;The Treaty of Erzurum;;;;;;;;;;;;;
first_treaty_of_erzurum_desc;We have managed to inflict a decisive defeat on the Ottomans! If we force them to the negotiating table we might be able to force them to relinquish the holy cities of Iraq: The Sublime Threshold.;;;;;;;;;;;;;
second_treaty_of_erzurum_title;The Second Treaty of Erzurum;;;;;;;;;;;;;
second_treaty_of_erzurum_desc;While various treaties have demarked the Persian-Ottoman border, tension have remained high throughout history. Today is no different, and various border incidents [of variable intensity] are threating to throw our empires into war. The Great Powers are fearful of this prospect and have offered to help us to demark the border and settle all remaining disputes for once and all. [Ottoman Empire looses all cores on all Persian owned provinces, Persia looses all cores on Ottoman owned provinces, should the other side accept.];;;;;;;;;;;;;
per_expedition_to_europe_title;The Shah's Tour of Europe;;;;;;;;;;;;;
per_expedition_to_europe_desc;Our prime minster has steadily been trying reform and modernize Persia, but it has been slow going. He has suggested making a trip to Europe to witness first handed the progress being made there. He hopes that seeing it first handed will allow us to learn from Europe and implement the necessary reforms here in Persia.;;;;;;;;;;;;;
recognize_afghanistan_title;Recognize the Kingdom of Afghanistan;;;;;;;;;;;;;
recognize_afghanistan_desc;The region currently occupied by Afghanistan had long been part of the territory ruled by the Persian dynasties. Only with the emergence of the Durrani dynasty has it become independent. Still conflict lingers surrounding certain territories claimed by both sides. We are being pressured to finally recognize the borders as they exist today.;;;;;;;;;;;;;
build_niavaran_title;Build Niavaran Palace;;;;;;;;;;;;;
build_niavaran_desc;The old imperial palaces of Persia all date to Qajar rule, and are statements to their reign. Both their splendor and their ultimate failures. As a new dynasty we need to disassociate ourselves with the previous dynasty and build our own palaces.;;;;;;;;;;;;;
bombard_the_majles_title;Bombard the Majles;;;;;;;;;;;;;
