Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
east_indies;East Indies;;;;;;;;;;;;;
AUS_628;Sudetenland;;;;;;;;;;;;;
RUS_945;Vitebsk;;;;;;;;;;;;;
RUS_947;Gómel;;;;;;;;;;;;;
RUS_964;Taurida;;;;;;;;;;;;;
RUS_968;Podolia;;;;;;;;;;;;;
RUS_977;Voronezh;;;;;;;;;;;;;
RUS_978;Kharkov;;;;;;;;;;;;;
RUS_979;Don;;;;;;;;;;;;;
RUS_981;Pomorye;;;;;;;;;;;;;
RUS_990;Kostroma;;;;;;;;;;;;;
RUS_1016;Severia;;;;;;;;;;;;;
RUS_1020;Nizhgorod;;;;;;;;;;;;;
RUS_1044;Orenburg;;;;;;;;;;;;;
RUS_1034;Samara;;;;;;;;;;;;;
RUS_1039;Saratov;;;;;;;;;;;;;
RUS_1060;Samara;;;;;;;;;;;;;
ABU_1162;al-Hejer;;;;;;;;;;;;;
YEM_1178;Yemen;;;;;;;;;;;;;
ENG_1304;Madras;;;;;;;;;;;;;
NET_1398;South Sumatra;;;;;;;;;;;;;
NET_1401;East Sumatra;;;;;;;;;;;;;
ATJ_1405;Atjeh;;;;;;;;;;;;;
SAK_1406;North Sumatra;;;;;;;;;;;;;
PAG_1408;West Sumatra;;;;;;;;;;;;;
YEM_1412;Aden;;;;;;;;;;;;;
NET_1415;Central Java;;;;;;;;;;;;;
NET_1416;Princely States;;;;;;;;;;;;;
NET_1422;South Borneo;;;;;;;;;;;;;
BAL_1438;Soenda Islands;;;;;;;;;;;;;
NET_1451;Western New Guinea;;;;;;;;;;;;;
MOR_1694;Tafilalt;;;;;;;;;;;;;
ENG_1721;Coromandel Coast;;;;;;;;;;;;;
EGY_1758;Sahara al-Gharbia;;;;;;;;;;;;;
ENG_1819;Chad;;;;;;;;;;;;;
ENG_1825;Kanem;;;;;;;;;;;;;
FRA_2406;Desolation Islands;;;;;;;;;;;;;
PROV629;Tachau;;;;;;;;;;;;;
