Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NET_regeringsgezinden;Regeringsgezinden;;;;;;;;;;;;;
NET_ultraconservatief;Ultraconservatieven;;;;;;;;;;;;;
NET_oppositionelen;Oppositionelen;;;;;;;;;;;;;
NET_financieel_oppositioneel;Financieel Oppositionelen;;;;;;;;;;;;;
anti_industrial;Luddism;;;;;;;;;;;;;
anti_industrial_desc;The government is opposed to industrial development.;;;;;;;;;;;;;
anti_industrial_l;Luddism;;;;;;;;;;;;;
cheyenne_religion;Toteism;;;;;;;;;;;;;
comanche_religion;Toteism;;;;;;;;;;;;;
dakota_religion;Toteism;;;;;;;;;;;;;
lakota_religion;Toteism;;;;;;;;;;;;;
nakota_religion;Toteism;;;;;;;;;;;;;
BMK_absolute_monarchy;Kaarta;;;;;;;;;;;;;
BMK_prussian_constitutionalism;Kaarta;;;;;;;;;;;;;
BMK_hms_government;Kaarta;;;;;;;;;;;;;
BUK_fascist_dictatorship_ADJ;Uzbek;;;;;;;;;;;;;
BUK_presidential_dictatorship_ADJ;Uzbek;;;;;;;;;;;;;
BUK_proletarian_dictatorship_ADJ;Uzbek;;;;;;;;;;;;;
DJA;Djambi;;;;;;;;;;;;;
DJA_ADJ;Djambi;;;;;;;;;;;;;
CYR_theocracy;Senussi;;;;;;;;;;;;;
CYR_theocracy_ADJ;Sanusiyya;;;;;;;;;;;;;
GLN_ADJ;Gilani;Gilani;Gilani;;;;;;;;;;;
GLN;Gilan;Gilan;Gilan;;;;;;;;;;;
GLN_proletarian_dictatorship;Gilan Soviet Socialist Republic;Gilan Soviet Socialist Republic;Gilan Soviet Socialist Republic;;;;;;;;;;;
GLN_presidential_dictatorship;Republic of Rasht;Republic of Rasht;Republic of Rasht;;;;;;;;;;;
GLN_parliamentary_republic;Republic of Rasht;Republic of Rasht;Republic of Rasht;;;;;;;;;;;
GLN_fascist_dictatorship;Daylam Nationalist Republic;Daylam Nationalist Republic;Daylam Nationalist Republic;;;;;;;;;;;
GLN_absolute_monarchy;Gilan;Gilan;Gilan;;;;;;;;;;;
GLN_prussian_constitutionalism;Gilan;Gilan;Gilan;;;;;;;;;;;
GLN_hms_government;Gilan;Gilan;Gilan;;;;;;;;;;;
GLN_democracy;Gilan;Gilan;Gilan;;;;;;;;;;;
HAI;Haiti;;;;;;;;;;;;;
HAI_ADJ;Haitian;;;;;;;;;;;;;
HRT;Herat;;;;;;;;;;;;;
HRT_ADJ;Herati;;;;;;;;;;;;;
HRT_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
HRT_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
HRT_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
HRT_radical;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
HRT_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
HRT_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
HRT_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
HZJ;Hazarajat;;;;;;;;;;;;;
HZJ_ADJ;Hazara;;;;;;;;;;;;;
HZJ_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
HZJ_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
HZJ_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
HZJ_radical;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
HZJ_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
HZJ_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
HZJ_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
JAL_conservative;Soriya;;;;;;;;;;;;;
JAL_reactionary;Alfaya;;;;;;;;;;;;;
JAV_absolute_monarchy;Yogyakarta Sultanate;;;;;;;;;;;;;
JAV_prussian_constitutionalism;Yogyakarta Sultanate;;;;;;;;;;;;;
JAV_hms_government;Yogyakarta Sultanate;;;;;;;;;;;;;
KAZ_absolute_monarchy;Kazakh Khanate;;;;;;;;;;;;;
KRT;Ka'arta;;;;;;;;;;;;;
KRT_ADJ;Kaartan;;;;;;;;;;;;;
KDH_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
KDH_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KDH_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KDH_radical;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KDH_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KDH_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KDH_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
KAL;Kohistan;;;;;;;;;;;;;
KAL_ADJ;Kohistani;;;;;;;;;;;;;
KHI_parliamentary_republic;Uzbekistan;;;;;;;;;;;;;
KHI_democracy;Uzbekistan;;;;;;;;;;;;;
KHI_fascist_dictatorship;Uzbekistan;;;;;;;;;;;;;
KHI_presidential_dictatorship;Uzbekistan;;;;;;;;;;;;;
KHI_proletarian_dictatorship;Uzbekistan SSR;;;;;;;;;;;;;
KHI_parliamentary_republic_ADJ;Uzbek;;;;;;;;;;;;;
KHI_fascist_dictatorship_ADJ;Uzbek;;;;;;;;;;;;;
KHI_presidential_dictatorship_ADJ;Uzbek;;;;;;;;;;;;;
KHI_proletarian_dictatorship_ADJ;Uzbek;;;;;;;;;;;;;
KHR_ADJ;Khorasani;Khorasani;Khorasani;;;;;;;;;;;
KHR;Khorasan;Khorasan;Khorasan;;;;;;;;;;;
KHR_proletarian_dictatorship;Khorasan Republic;Khorasan Republic;Khorasan Republic;;;;;;;;;;;
KHR_presidential_dictatorship;Khorasan Republic;Khorasan Republic;Khorasan Republic;;;;;;;;;;;
KHR_parliamentary_republic;Khorasan Republic;Khorasan Republic;Khorasan Republic;;;;;;;;;;;
KHR_fascist_dictatorship;Khorasani State;Khorasani State;Khorasani State;;;;;;;;;;;
KHR_absolute_monarchy;Khorasan;Khorasan;Khorasan;;;;;;;;;;;
KHR_prussian_constitutionalism;Khorasan;Khorasan;Khorasan;;;;;;;;;;;
KHR_hms_government;Khorasan;Khorasan;Khorasan;;;;;;;;;;;
KHR_democracy;Khorasan;Khorasan;Khorasan;;;;;;;;;;;
KHZ_ADJ;Arabestani;Arabestani;Arabestani;;;;;;;;;;;
KHZ;Arabestan;Arabestan;Arabestan;;;;;;;;;;;
KHZ_proletarian_dictatorship;Arabestan;Arabestan;Arabestan;;;;;;;;;;;
KHZ_presidential_dictatorship;Arabestan;Arabestan;Arabestan;;;;;;;;;;;
KHZ_parliamentary_republic;Arabestan;Arabestan;Arabestan;;;;;;;;;;;
KHZ_fascist_dictatorship;Arabestan;Arabestan;Arabestan;;;;;;;;;;;
KHZ_democracy;Arabestan;Arabestan;Arabestan;;;;;;;;;;;
KNZ;Kunduz;;;;;;;;;;;;;
KNZ_ADJ;Qataghan;;;;;;;;;;;;;
KNZ_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
KNZ_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KNZ_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KNZ_radical;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KNZ_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KNZ_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KNZ_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
KLM_absolute_monarchy;Bandjar;;;;;;;;;;;;;
KLM_prussian_constitutionalism;Bandjar;;;;;;;;;;;;;
KLM_hms_government;Bandjar;;;;;;;;;;;;;
KLM_absolute_monarchy_ADJ;Bandjarese;;;;;;;;;;;;;
KLM_prussian_constitutionalism_ADJ;Bandjarese;;;;;;;;;;;;;
KLM_HMS_ADJ;Bandjarese;;;;;;;;;;;;;
KOK_parliamentary_republic;Tajikistan;;;;;;;;;;;;;
KOK_democracy;Tajikistan;;;;;;;;;;;;;
KOK_prov_gov_liberal;Kokand Autonomy;;;;;;;;;;;;;
KHI_prov_gov_conservative;Khiva;;;;;;;;;;;;;
KOK_fascist_dictatorship;Tajikistan;;;;;;;;;;;;;
KOK_presidential_dictatorship;Tajikistan;;;;;;;;;;;;;
KOK_proletarian_dictatorship;Tajikistan;;;;;;;;;;;;;
KOK_parliamentary_republic_ADJ;Tajik;;;;;;;;;;;;;
KOK_fascist_dictatorship_ADJ;Tajik;;;;;;;;;;;;;
KOK_democracy_ADJ;Tajik;;;;;;;;;;;;;
KOK_presidential_dictatorship_ADJ;Tajik;;;;;;;;;;;;;
KOK_proletarian_dictatorship_ADJ;Tajik;;;;;;;;;;;;;
MAD_absolute_monarchy;Imerina;;;;;;;;;;;;;
MAD_prussian_constitutionalism;Imerina;;;;;;;;;;;;;
MAD_absolute_monarchy_ADJ;Merina;;;;;;;;;;;;;
MAD_prussian_constitutionalism_ADJ;Merina;;;;;;;;;;;;;
NYE_prussian_constitutionalism;Mutawakkilite Kingdom;;;;;;;;;;;;;
NYE_hms_government;Mutawakkilite Kingdom;;;;;;;;;;;;;
NYE_theocracy_ADJ;Zaydi;;;;;;;;;;;;;
PER_reactionary;The Ulama;;;;;;;;;;;;;
SEG_absolute_monarchy;Segu;;;;;;;;;;;;;
SEG_prussian_constitutionalism;Segu;;;;;;;;;;;;;
SEG_hms_government;Segu;;;;;;;;;;;;;
SLW_absolute_monarchy;Bone;;;;;;;;;;;;;
SLW_prussian_constitutionalism;Bone;;;;;;;;;;;;;
SLW_hms_government;Bone;;;;;;;;;;;;;
SLW_absolute_monarchy_ADJ;Bone;;;;;;;;;;;;;
SLW_prussian_constitutionalism_ADJ;Bone;;;;;;;;;;;;;
SLW_hms_government_ADJ;Bone;;;;;;;;;;;;;
TAJ_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
TAJ_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
TAJ_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
TAJ_radical;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
TAJ_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
TAJ_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
TAJ_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
TKM;Turkmenistan;;;;;;;;;;;;;
TKM_prussian_constitutionalism;Akhal-Tekke;;;;;;;;;;;;;
TKM_ADJ;Turkmen;;;;;;;;;;;;;
TKM_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
TKM_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
TKM_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
TKM_radical;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
TKM_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
TKM_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
TKM_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
WOL;Senegal;;;;;;;;;;;;;
WOL_ADJ;Senegalian;;;;;;;;;;;;;
WOL_absolute_monarchy;Wolof;;;;;;;;;;;;;
WOL_absolute_monarchy_ADJ;Wolof;;;;;;;;;;;;;
WOL_prussian_constitutionalism;Wolof;;;;;;;;;;;;;
WOL_prussian_constitutionalism_ADJ;Wolof;;;;;;;;;;;;;
WOL_hms_government;Wolof;;;;;;;;;;;;;
WOL_hms_government_ADJ;Wolof;;;;;;;;;;;;;
WOL_theocracy;Wolof;;;;;;;;;;;;;
