Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
mining_district;Mining District;;;;Distrito Minero;;;;;;;;;
new_world_semidesert;Semidesert;;;;Semidesierto;;;;;;;;;
new_world_desert;Desert;;;;Desierto;;;;;;;;;
new_world_boreal;Taiga;;;;Taiga;;;;;;;;;
new_world_montane_tundra;Alpine Tundra;;;;Tundra Alpina;;;;;;;;;
new_world_arctic;Tundra;;;;Tundra;;;;;;;;;
new_world_mountain;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
new_world_jungle;Jungle;;;;Selva;;;;;;;;;
new_world_plains;Grassland;;;;Praderas;;;;;;;;;
new_world_small_island;Island;;;;Isla;;;;;;;;;
urban;Urban;;;;Urbano;;;;;;;;;
new_world_plantation_island;Plantation Island;;;;Isla Plantación;;;;;;;;;
dry_mountains;Dry Mountains;;;;Montañas Áridas;;;;;;;;;
himalayan_mountains;Himalayan Mountains;;;;Los Himalayas;;;;;;;;;
desert;Desert;;;;Desierto;;;;;;;;;
semidesert;Semidesert;;;;Semidesierto;;;;;;;;;
small_island;Island;;;;Isla;;;;;;;;;
coral_island;Atoll;;;;Atolón;;;;;;;;;
forest;Forest;;;;Bosque;;;;;;;;;
forest_hills;Forest Hills;;;;Colinas Boscosas;;;;;;;;;
farmlands;Farmlands;Terres arables;Ackerland;;Tierras de Cultivo;;;;;;;;;
steppe;Steppe;Steppe;Steppe;;Estepa;;;;;;;;;
marsh;Marsh;Marais;Sumpf;;Pantano;;;;;;;;;
jungle;Jungle;Jungle;Dschungel;;Jungla;;;;;;;;;
coastal_desert;Coastal Desert;D?ert c?ier;K?tenw?te;;Desierto Costeño;;;;;;;;;
boreal;Taiga;;;;Taiga;;;;;;;;;
arctic;Tundra;;;;Tundra;;;;;;;;;
plains;Grassland;;;;Praderas;;;;;;;;;
hills;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
dryhills;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
mountain;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
montane_tundra;Alpine Tundra;;;;Tundra Alpina;;;;;;;;;
montane_forest;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
savanna;Savanna;;;;Savana;;;;;;;;;
floodplain_farmland;Floodplain Farmlands;;;;Tierras de Cultivo Aluviales;;;;;;;;;
jungle_farmland;Jungle Farmlands;Terres Arables Jungle;Dschungel Ackerland;;Tierras de Cultivo Junglosas;;;;;;;;;
semi_desert_mountains;Semi-Desert Mountains;Semi-Désertiques Montagnes;Halbwüste Berge;;Montañas Semidesérticas;;;;;;;;;
jungle_hills;Jungle Hills;Collines Jungle;Dschungel Hügel;;Colinas Junglosas;;;;;;;;;
jungle_mountains;Jungle Mountains;Montagnes Jungle;Dschungel Berge;;Montañas Junglosas;;;;;;;;;
guatemala;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
san_jose;Jungle;;;;Selva;;;;;;;;;
salvador;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
managua;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
tegucigalpa;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
belize;Jungle;;;;Selva;;;;;;;;;
panama_city;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
bergen;Fjords;;;;Fiordos;;;;;;;;;
stavanger;Fjords;;;;Fiordos;;;;;;;;;
skien;Forest;;;;Bosque;;;;;;;;;
drammen;Forest;;;;Bosque;;;;;;;;;
fredrikstad;Forest;;;;Bosque;;;;;;;;;
lillehammer;Forest;;;;Bosque;;;;;;;;;
hamar;Forest;;;;Bosque;;;;;;;;;
alesund;Fjords;;;;Fiordos;;;;;;;;;
trondheim;Fjords;;;;Fiordos;;;;;;;;;
bodo;Fjords;;;;Fiordos;;;;;;;;;
hammerfest;Fjords;;;;Fiordos;;;;;;;;;
oslo;Forest;;;;Bosque;;;;;;;;;
christiansand;Forest;;;;Bosque;;;;;;;;;
adana;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
ahmedabad;Grassland;;;;Praderas;;;;;;;;;
aleppo;Semidesert;;;;Semidesierto;;;;;;;;;
amman;Semidesert;;;;Semidesierto;;;;;;;;;
andorra;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
antakya;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
aqaba;Semidesert;;;;Semidesierto;;;;;;;;;
arkhangelsk;Taiga;;;;Taiga;;;;;;;;;
ascension;Island;;;;Isla;;;;;;;;;
asuncion;Grassland;;;;Praderas;;;;;;;;;
ava;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
azores;Island;;;;Isla;;;;;;;;;
bahrain;Island;;;;Isla;;;;;;;;;
bandar_abbas;Coastal Desert;;;;Desierto;;;;;;;;;
basra;Marsh;;;;Humedales;;;;;;;;;
batumi;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
beirut;Semidesert;;;;Semidesierto;;;;;;;;;
belgorod;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
bukhara;Semidesert;;;;Semidesierto;;;;;;;;;
bushire;Coastal Desert;;;;Desierto;;;;;;;;;
cetinje;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
chania;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
chisinau;Grassland;;;;Praderas;;;;;;;;;
cluj;Grassland;;;;Praderas;;;;;;;;;
constanta;Marsh;;;;Humedales;;;;;;;;;
chengdu;Floodplain Farmlands;;;;Tierras de Cultivo Aluviales;;;;;;;;;
cordoba;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
cordova;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
cartagenacol;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
curacao;Island;;;;Isla;;;;;;;;;
curitiba;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
cusco;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
derbent;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
dubai;Coastal Desert;;;;Desierto;;;;;;;;;
easter_island;Island;;;;Isla;;;;;;;;;
elba;Island;;;;Isla;;;;;;;;;
falklands;Island;;;;Isla;;;;;;;;;
flagstaff;Semi-Desert Mountains;;;;Montañas Semidesérticas;;;;;;;;;
fort_ross;Forest;;;;Bosque;;;;;;;;;
giza;Floodplain Farmlands;;;;Tierras de Cultivo Aluviales;;;;;;;;;
granada;Dry Mountains;;;;Montañas Áridas;;;;;;;;;
grodno;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
guadalajara;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
halifax;Forest;;;;Bosque;;;;;;;;;
hawaii;Plantation Island;;;;Isla Plantación;;;;;;;;;
iasi;Grassland;;;;Praderas;;;;;;;;;
igdir;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
iraklion;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
isle_of_man;Island;;;;Isla;;;;;;;;;
jamaica;Plantation Island;;;;Isla Plantación;;;;;;;;;
kalat;Semi-Desert Mountains;;;;Montañas Semidesérticas;;;;;;;;;
kashgar;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
kaunas;Forest;;;;Bosque;;;;;;;;;
kermanshah;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
khiva;Steppe;;;;Estepa;;;;;;;;;
kobe;Floodplain Farmlands;;;;Tierras de Cultivo Aluviales;;;;;;;;;
kodiak;Tundra;;;;Tundra;;;;;;;;;
kokand;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
konya;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
kovel;Marsh;;;;Humedales;;;;;;;;;
la_coruna;Forest Hills;;;;Colinas Boscosas;;;;;;;;;
lima;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
madeira;Island;;;;Isla;;;;;;;;;
mendoza;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
merida;Jungle;;;;Selva;;;;;;;;;
minsk;Marsh;;;;Humedales;;;;;;;;;
mogadishu;Savanna;;;;Savana;;;;;;;;;
mombasa;Savanna;;;;Savana;;;;;;;;;
monterrey;Semidesert;;;;Semidesierto;;;;;;;;;
monzo;Savanna;;;;Savana;;;;;;;;;
mosul;Grassland;;;;Praderas;;;;;;;;;
muscat;Semi-Desert Mountains;;;;Montañas Semidesérticas;;;;;;;;;
nagpur;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
nicosia;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
novocherkassk;Steppe;;;;Estepa;;;;;;;;;
oaxaca;Grassland;;;;Praderas;;;;;;;;;
oregon_city;Forest Hills;;;;Colinas Boscosas;;;;;;;;;
ouro_preto;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
podgorica;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
paramaribo;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
poltava;Mining District;;;;Distrito Minero;;;;;;;;;
porto_alegre;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
potosi;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
pretoria;Mining District;;;;Distrito Minero;;;;;;;;;
qom;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
recife;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
riyadh;Semidesert;;;;Semidesierto;;;;;;;;;
rosario;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
sabzevar;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
salonika;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
salvador_de_bahia;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
san_felipe;Forest Hills;;;;Colinas Boscosas;;;;;;;;;
sanaa;Semi-Desert Mountains;;;;Montañas Semidesérticas;;;;;;;;;
santo_domingo;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
simferopol;Grassland;;;;Praderas;;;;;;;;;
simla;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
sinop;Forest Hills;;;;Colinas Boscosas;;;;;;;;;
sitka;Alpine Tundra;;;;Tundra Alpina;;;;;;;;;
skopje;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
smyrna;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
sochi;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
sokoto;Semidesert;;;;Semidesierto;;;;;;;;;
surat;Grassland;;;;Praderas;;;;;;;;;
szombathely;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
taipei;Grassland;;;;Praderas;;;;;;;;;
tampa;Marsh;;;;Humedales;;;;;;;;;
tananarive;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
tenerife;Island;;;;Isla;;;;;;;;;
thimpu;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
tortola;Island;;;;Isla;;;;;;;;;
trabzon;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
tucuman;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
turkestan;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
urga;Dry Grassland Hills;;;;Praderas Escarpadas Áridas;;;;;;;;;
valparaiso;Coastal Desert;;;;Desierto;;;;;;;;;
varna;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
veracruz;Forest;;;;Bosque;;;;;;;;;
victoria;Forest Hills;;;;Colinas Boscosas;;;;;;;;;
villahermosa;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
arequipa;Semi-Desert Mountains;;;;Montañas Semidesérticas;;;;;;;;;
baranquilla;Grassland;;;;Praderas;;;;;;;;;
corrientes;Grassland;;;;Praderas;;;;;;;;;
georgetown;Grassland;;;;Praderas;;;;;;;;;
guayaquil;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
sao_joao_del_rey;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
la_rioja;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
martinique;Plantation Island;;;;Isla Plantación;;;;;;;;;
parana;Grassland;;;;Praderas;;;;;;;;;
port_au_prince;Montane Grassland;;;;Praderas Montañosas;;;;;;;;;
vila_boa;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
vina_del_mar;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
barbados;Plantation Island;;;;Isla Plantación;;;;;;;;;
trujillo;Grassland;;;;Praderas;;;;;;;;;
khartoum;Steppe;;;;Estepa;;;;;;;;;
brunei;Jungle Farmlands;Terres Arables Jungle;Dschungel Ackerland;;Tierras de Cultivo Junglosas;;;;;;;;;
kuwait;Coastal Desert;;;;Desierto;;;;;;;;;
narbonne;Grassland;;;;Praderas;;;;;;;;;
cayenne;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
maracaibo;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
porto;Grassland Hills;;;;Praderas Escarpadas;;;;;;;;;
ankober;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
avignon;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
campinas;Forest;;;;Bosque;;;;;;;;;
clermont_ferrand;Grassland Hills;;;;;;;;;;
freiburg;Forest Hills;;;;Colinas Boscosas;;;;;;;;;
huizhou;Montane Forest;;;;Montañas Boscosas;;;;;;;;;
ingolstadt;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
inkomati;Savanna;;;;Savana;;;;;;;;;
montpellier;Grassland;;;;Praderas;;;;;;;;;
new_bedford;Farmlands;;;;Tierras de Cultivo;;;;;;;;;
