Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
greater_banat_title;Greater Banat;;;;;;;;;;;;;
greater_banat_desc;With German villages and towns in the area now outside German control it would be in everyone's best interest for them to unify with Banat.;;;;;;;;;;;;;
greater_yugo_title;Greater Yugoslavia;;;;;;;;;;;;;
greater_yugo_desc;Yugoslavia is yet to encompass all lands of the southern Slavs, we must seek out and regain these lands for the good of the people.;;;;;;;;;;;;;
persian_border_dispute_title;Persian Border Dispute;;;;;;;;;;;;;
persian_border_dispute_desc;The lands of Khuzestan have been dominated by Persia for too long! It is time for us to assert our rights and take back our own!;;;;;;;;;;;;;
kurdish_diaspora_title;The Kurdish Diaspora;;;;;;;;;;;;;
kurdish_diaspora_desc;Our Kurdish brothers are crying out for freedom, we should bring them into our nation and return them to us.;;;;;;;;;;;;;
claim_bulgarian_lands_title;Reclamation of Bulgarian Lands;;;;;;;;;;;;;
claim_bulgarian_lands_desc;The Great Powers have denied Bulgaria her destiny, that of ruling all Bulgarian peoples. Let us defy them, and forge the greater Bulgaria we deserve!;;;;;;;;;;;;;
claim_greater_bosnia_title;Claim Greater Bosnia;;;;;;;;;;;;;
claim_greater_bosnia_desc;The Great Powers have denied Bosnia her destiny, that of ruling all the Bosniak peoples. Let us defy them, and forge a greater Bosnia by removing the Serbs from the premises!;;;;;;;;;;;;;
claim_slovene_lands_title;Recliaming Slovene Lands;;;;;;;;;;;;;
claim_slovene_lands_desc;The Slovene provinces of Trieste and Klagenfurt have been under foreign rulers for too long, let us reclaim our land!;;;;;;;;;;;;;
claim_kingdom_of_aragon_title;Rebuild the Kingdom of Aragon;;;;;;;;;;;;;
claim_kingdom_of_aragon_desc;The old kingdom of Aragon has to be reconquered for re-incorporation into the state, now we have a chance to reinstate her and return our people to us.;;;;;;;;;;;;;
restore_khmer_empire_title;Restoration of the Khmer Empire;;;;;;;;;;;;;
restore_khmer_empire_desc;The Khmer Empire was once the greatest in Southern Asia, let us reclaim our old lands and forge an empire that will stand against the powers of the West.;;;;;;;;;;;;;
claim_greater_armenia_title;Reincorporation of the Armenian Plateau;;;;;;;;;;;;;
claim_greater_armenia_desc;Armenia has a rightful claim on the lands to the west, we must stake this claim and fight the Turks for it so we can unit with our brothers in Adana.;;;;;;;;;;;;;
tibetan_empire_title;Claim Greater Tibet;;;;;;;;;;;;;
tibetan_empire_desc;The Tibetan Empire once ruled a vast land that was taken away from us by the barbarians. The Tibetan people still live in these lands and the time has come for us the claim whats historically ours.;;;;;;;;;;;;;
claim_greater_pontus_title;Claim Sevastopol;;;;;;;;;;;;;
claim_greater_pontus_desc;Sevastopol is rightful Pontic clay, we must reclaim it from the scum who overran it centuries ago.;;;;;;;;;;;;;
claim_greater_persia_title;Reclaiming the Afsharid Dynasty Lands;;;;;;;;;;;;;
claim_greater_persia_desc;Now that Persia has westernized and become a power in her own right, we can reclaim the lands of our forefathers from the conquerers who have taken them from us.;;;;;;;;;;;;;
claim_greater_brittany_title;Staking our Claim on the Duchy of Anjou;;;;;;;;;;;;;
claim_greater_brittany_desc;Our King has a distant claim on the Duchy of Anjou, and although the time for such royal claims has passed, we still feel that it is a valid enough reason to attempt to reclaim those lands.;;;;;;;;;;;;;
claim_greater_navarra_title;Uniting the Basque Peoples;;;;;;;;;;;;;
claim_greater_navarra_desc;The Basque have remained spread across Northern Spain for centuries, and now that we've gained our independence we should extend our state to all the Basque peoples.;;;;;;;;;;;;;
claim_pashtun_regions_title;Incorporating the Pashtun;;;;;;;;;;;;;
claim_pashtun_regions_desc;Now that we've extended our realm to the Afsharid Dynasty holdings, we can try to incorporate the Pashtun regions in Afghanistan;;;;;;;;;;;;;
claim_croatian_lands_title;Reclaiming Bosnia;;;;;;;;;;;;;
claim_croatian_lands_desc;Bosnia was once an integral part of the Croatian Kingdom, and even today our ethnic legacy carries on throughout Bosnia, now that we have our sovereignty it is time for us to reclaim the region.;;;;;;;;;;;;;
claim_republican_borders_title;Reclaiming Our Historical Holdings;;;;;;;;;;;;;
claim_republican_borders_desc;Since regaining our freedom from the Austrians our people have grown increasingly militaristic and the cries for retaking the provinces we lost to the Treaty of Campo Formio have grown to the point where they can no longer be ignored. It is time to reclaim our prominence in the Mediterranean.;;;;;;;;;;;;;
claim_kingdom_of_leon_title;The Kingdom of Leon;;;;;;;;;;;;;
