Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
rundi;Tutsi;;;;;;;;;;;;;
ruanda;Rwanda-Rundi;;;;;;;;;;;;;
WRS;Warsangali;;;;;;;;;;;;;
WRS_ADJ;Warsangalan;;;;;;;;;;;;;
far_east_asian;Far East Asian;;;;;;;;;;;;;
DOS;Dosso;;;;;;;;;;;;;
DOS_ADJ;Zarman;;;;;;;;;;;;;
SHL;Shilluk;;;;;;;;;;;;;
SHL_ADJ;Shilluk;;;;;;;;;;;;;
TAH;Tahiti;;;;;;;;;;;;;
TAH_ADJ;Tahitian;;;;;;;;;;;;;
maldivian;Maldivian;;;;;;;;;;;;;
BNY;Bunyoro;;;;;;;;;;;;;
BNY_ADJ;Bunyoran;;;;;;;;;;;;;
ANK;Ankole;;;;;;;;;;;;;
ANK_ADJ;Ankolan;;;;;;;;;;;;;
nyoro;Nyoro;;;;;;;;;;;;;
hema;Hema;;;;;;;;;;;;;
PAP_reactionary;College of Cardinals;;;;;;;;;;;;;
USA_reactionary;Federalists;;;;;;;;;;;;;
USA_reactionary2;Southern Democrats;;;;;;;;;;;;;
ITP_reactionary;College of Cardinals;;;;;;;;;;;;;
KMT_fascist_dictatorship;Nationalist China;;;;;;;;;;;;;
KMT_presidential_dictatorship;Republic of China;;;;;;;;;;;;;
KMT_democracy;Republic of China;;;;;;;;;;;;;
FRA_democracy;France;;;;;;;;;;;;;
SAC_democracy;Juliana Republic;;;;;;;;;;;;;
BIA;Biafra;;;;;;;;;;;;;
BIA_ADJ;Biafran;;;;;;;;;;;;;
GEN;Genoa;;;;;;;;;;;;;
GEN_ADJ;Genoese;;;;;;;;;;;;;
GEN_absolute_monarchy;Genoa;;;;;;;;;;;;;
GEN_prussian_constitutionalism;Genoa;;;;;;;;;;;;;
GEN_hms_government;Genoa;;;;;;;;;;;;;
GEN_fascist_dictatorship;Genoa;;;;;;;;;;;;;
GEN_presidential_dictatorship;Ligurian Republic;;;;;;;;;;;;;
GEN_democracy;Genoa;;;;;;;;;;;;;
GEN_proletarian_dictatorship;Genoa;;;;;;;;;;;;;
ITA_absolute_monarchy;Italy;;;;;;;;;;;;;
ITA_absolute_empire;The Kingdom of Italy;;;;;;;;;;;;;
ITA_semi_constitutional_empire;The Kingdom of Italy;;;;;;;;;;;;;
ITA_constitutional_empire;The Kingdom of Italy;;;;;;;;;;;;;
IDO;Indochina;;;;;;;;;;;;;
IDO_ADJ;Indochinese;;;;;;;;;;;;;
IDO_absolute_monarchy;Indochina;;;;;;;;;;;;;
IDO_prussian_constitutionalism;Indochina;;;;;;;;;;;;;
IDO_hms_government;Indochina;;;;;;;;;;;;;
IDO_fascist_dictatorship;United Indochinese States;;;;;;;;;;;;;
IDO_presidential_dictatorship;Indochina;;;;;;;;;;;;;
IDO_democracy;Indochina;;;;;;;;;;;;;
IDO_proletarian_dictatorship;Indochinese Populist Union;;;;;;;;;;;;;
aromanian;Aromanian;;;;;;;;;;;;;
romansh;Romansh;;;;;;;;;;;;;
ITA_fascist_dictatorship;Italian Social Republic;;;;;;;;;;;;;
FRA_proletarian_dictatorship;Commune of France;;;;;;;;;;;;;
CAT_proletarian_dictatorship;Catalan Socialist Republic;;;;;;;;;;;;;
AGN_proletarian_dictatorship;Aragon People's Republic;;;;;;;;;;;;;
tigray;Tigrayan;;;;;;;;;;;;;
sidama;Sidamo;;;;;;;;;;;;;
CHK_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
AGN;Aragon;;;;;;;;;;;;;
