Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
willow_palisade;Willow Palisade;;;;;;;;;;;;;
balkan_assim_program;Balkan Assimilation Program;;;;;;;;;;;;;
balkan_assim_program_desc;The Glorious Balkan Assimilation Program seeks to assimilate the foreign non-accepted cultures in the Balkans in order to properly bring them to Turkishness. Higher militancy and consciousness is to be expected, and the program has bled over into other parts of the nation as well.;;;;;;;;;;;;;
balkan_assim_program_title;Balkan Assimilation Program;;;;;;;;;;;;;
balkan_assimilation;Undergoing the Balkan Assimilation Program;;;;;;;;;;;;;
assimilation_stopped;Ceased Balkan Assimilation Program;;;;;;;;;;;;;
local_balkan_assim;Local Balkan Assimilation;;;;;;;;;;;;;
local_balkan_assim_title;Local Assimilation Program;;;;;;;;;;;;;
local_balkan_assim_desc;This province is undergoing an assimilation program originally started by the Ottoman Turkish government.;;;;;;;;;;;;;
first_riel_rebellion;The First Riel Rebellion Aftermath;;;;;;;;;;;;;
first_riel_rebellion_desc;The First Riel Rebellion ended in blood and exile. The Metis have not forgotten, nor will the government let them.;;;;;;;;;;;;;
first_riel_rebellion_title;The First Riel Rebellion Aftermath;;;;;;;;;;;;;
metis_twilight;The Twilight of the Metis;;;;;;;;;;;;;
metis_twilight_desc; The Second Riel Rebellion has ended in the worst possible way, and the Metis are now a marginalized people in Canada.;;;;;;;;;;;;;
metis_twilight_title; The Twilight of the Metis;;;;;;;;;;;;;
caucasian_war_local;Caucasian War;;;;;;;;;;;;;
caucasian_war_local_desc;The ongoing Caucasian War is causing unrest and lack of productivity in these provinces.;;;;;;;;;;;;;
caucasian_war_local_title;The Caucasian War;;;;;;;;;;;;;
caucasian_truce_local;Caucasian War - Truce;;;;;;;;;;;;;
caucasian_truce_local_desc;The Caucasian War is undergoing a truce, for now. The uneasy tension that the locals have with their Russian occupiers is a welcome break from the previous state of war, but it is an uneasy truce brokered by the blood of both sides.;;;;;;;;;;;;;
caucasian_truce_local_title;The Caucasian War - Truce;;;;;;;;;;;;;
taras_shevchenko_local;Taras Shevchenko;;;;;;;;;;;;;
taras_shevchenko_local_desc;Taras Shevchenko is gaining prominence and is affecting the Ukrainian peoples in their quest for independence and nation-building.;;;;;;;;;;;;;
taras_shevchenko_local_title;Taras Shevchenko;;;;;;;;;;;;;
taras_works_local;Taras Shevchenko;;;;;;;;;;;;;
