Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
unlock_crisis_in_1870_title;Option: Unlock Crisis in 1870;;;;;;;;;;;;;
unlock_crisis_in_1870_desc;Old HPM standard was to unlock crisis as soon as someone researched Revolution & Counterrevolution. This changed in recent versions to wait until 1886 at least, to avoid Great Wars during the scramble for Africa. If you prefer the old rule, this option will change this system back to that.;;;;;;;;;;;;;
pick_AI_personality_title;The $COUNTRY_ADJ$ $MONARCHTITLE$ Personality;;;;;;;;;;;;;
pick_AI_personality_desc;The $COUNTRY_ADJ$ $MONARCHTITLE$ has a strong personality...;;;;;;;;;;;;;
take_eisenstadt_title;Reclaim Eisenstadt;;;;;;;;;;;;;
take_eisenstadt_desc;Eisenstadt is part of Austria proper - and shall be once more.;;;;;;;;;;;;;
south_tirol_compromise_title;Call a Convention on the South Tirol Question;;;;;;;;;;;;;
south_tirol_compromise_desc;South Tirol is traditionally split as majority German in the North and majority Italian in the South, with minorities on both provinces. This has been a great source of attrition with our German neighbors, one that some in $CAPITAL$ are eager to solve. We can invite our neighbors to a convention aimed at finding solutions to this problem - though the convention does not guarantee a result, this is the best chance we have of solving this matter peacefully.;;;;;;;;;;;;;
turn_canada_french_title;French Canada;;;;;;;;;;;;;
turn_canada_french_desc;Canada is under our dominion, and the French Canadians are again part of $COUNTRY$. They should be put in positions of power in Canada, in order to expunge Anglo influence in Canada.;;;;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,, ;
start_propaganda_title;Start a Propaganda Campaign;;;;;;;;;;;;;
start_propaganda_desc;“He who wants to persuade should put his trust not in the right argument, but in the right word. The power of sound has always been greater than the power of sense.”\nA meeting in $CAPITAL$ with senior figures of the $COUNTRY_ADJ$ government proposed a propaganda effort to boost popular support to the $COUNTRY_ADJ$ government's efforts. We can choose to boost our war efforts or strengthen the government. There are no guaranteed results, however, as our marketing might fail and even backfire. Unless, of course, the press is controlled by the state...;;;;;;;;;;;;;
call_allies_cleanup_title;Call Allies Cleanup;;;;;;;;;;;;;
call_allies_cleanup_desc;This removes the flag once peace is achieved. Used to be an event.;;;;;;;;;;;;;
dissolve_the_upper_house_title;Dissolve the Upper House;;;;;;;;;;;;;
dissolve_the_upper_house_desc;§RMay gain 0.5 infamy§! Supreme executive power in the $COUNTRY_ADJ$ state emanates from $CAPITAL$, through the figure of the $COUNTRY_ADJ$ monarch. The absolute monarch is the final authority in all matters of the state, but the bureaucracy and the military are the pillars that sustain the absolutist government. In addition, the landed aristocracy, which often acts as the bureaucracy, expects and receives positions of power in the government, positions appointed by the monarch. This is necessary for the normal function of the $COUNTRY_ADJ$ state - the aristocrats are the governor generals, the privy-councilors, the high-ranking bureaucrats, the ministers, the judges and the executors of the monarch's decisions. For these functions, several government institutions exist and are populated by the landed nobility - the Committee of Ministers of $COUNTRY$, the Governing Senate, the State Council. They help draft and apply laws, manage foreign and internal policy, plan wars and administer the military, advise the $COUNTRY_ADJ$ monarch as well as judge and administer justice. The monarch still can and has the final say in all these matters, and is his royal prerogative to do away the currently appointed aristocrats and pick new ones. By taking this step - effectively dissolving the upper house and appointing new ministers - the $COUNTRY_ADJ$ monarch can surround himself with sycophants and petty nobility that are willing to do whatever he wants them to do - for a time, at least. This break in the unspoken agreement between the monarch and the bureaucrats, the monarch and the aristocracy, will bring consequences - besides exposing internal fractures in the government to the international community, it is sure to anger the nobles and sow confusion throughout the government ranks.;;;;;;;;;;;;;
claim_tsushima_title;Claim Daemado;;;;;;;;;;;;;
claim_tsushima_desc;§RGain 2 infamy§! The island of Daemado, known by the Japanese as Tsushima, has since ancient times been part of Korea, despite the occupation by foreign Japanese forces. It's time we rectify this and claim the island for the glory of Korea!;;;;;;;;;;;;;
integrate_the_metis_title;Integrate the Métis;;;;;;;;;;;;;
integrate_the_metis_desc;While the Métis initially developed as the mixed-race descendants of early unions between First Nations and colonial-era European settlers, within generations (particularly in central and western Canada), a distinct Métis culture developed. Integrating these people close to Canada will allow us to squash national dreams as they become more and more Canadian.;;;;;;;;;;;;;
rename_bourbon_island_title;Rename Bourbon Island;;;;;;;;;;;;;
rename_bourbon_island_desc;The French Indian Ocean Territory is known for several names - Reunion Island, Bourbon Island, Bonaparte Island. But now it is the time to give it a more appropriate name - one more in line with the current French government.;;;;;;;;;;;;;
ionian_lose_accepted_cultures_title;Greek Supremacy in the Ionian Islands;;;;;;;;;;;;;
ionian_lose_accepted_cultures_desc;There has been a shift in the political balance and the Ionian islands now have a policy of Greek supremacy.;;;;;;;;;;;;;
election_start_player_title;AI: Election Start;;;;;;;;;;;;;
election_start_player_desc;AI: Election Start;;;;;;;;;;;;;
election_end_player_title;AI: Election Ends;;;;;;;;;;;;;
election_end_player_desc;AI: Election Ends;;;;;;;;;;;;;
release_galicia_lodomeria_title;The Galician Protectorate;;;;;;;;;;;;;
release_galicia_lodomeria_desc;With the recent enclave in Galicia-Lodomeria formed, we have no option but to grant them greater autonomy to rule themselves.;;;;;;;;;;;;;
integrate_kuwait_title;Integrate Kuwait;;;;;;;;;;;;;
integrate_kuwait_desc;The sheikhs of Kuwait have long come to $CAPITAL$ to pay their respects to the $COUNTRY_ADJ$ Sultan. This suzerainty was, for the most part, informal and de jure. But in recent years the relations between the $COUNTRY_ADJ$ government and Kuwait got closer and that suzerainty became a de facto reality. Now it is the time to take the final step and integrate Kuwait fully in the $COUNTRY_ADJ$ bureaucracy. The sheikhs of Kuwait will continue to live in Kuwait and will hold some small power in local politics, but all decisions and should and will come from $CAPITAL$.;;;;;;;;;;;;;
occupy_syrian_desert_title;Occupy the Syrian Desert;;;;;;;;;;;;;
occupy_syrian_desert_desc;From the Tigris to the Mediterranean, the Syrian desert is a vast landscape of of desert, semidesert and barren wastelands home to nomadic and seminomadic pastoralists. $COUNTRY_ADJ$ government claims authority through much of the area, but our claims are just that - the nomadic population recognizes no authority. Senior figures in $CAPITAL$ have come up with plans to establish several military bases in the areas we claim, thus enforcing an effective occupation of the desert. Such a move, however, will likely be mirrored by any nations with a stake in the Syrian wastelands.;;;;;;;;;;;;;
move_capital_to_belgrade_title;Move Capital to Belgrade;;;;;;;;;;;;;
move_capital_to_belgrade_desc;Belgrade has historically been the capital of Serbia. Now that the Ottoman garrison left the city, it would be auspicious to move our nation's capital to our old historical capital, as a showcase of our newly found independence.;;;;;;;;;;;;;
remove_war_focus_title;Remove War Focus;;;;;;;;;;;;;
remove_war_focus_desc;We are not at war anymore, the focus is useless.;;;;;;;;;;;;;
warn_imperialism_cb_is_available_title;Impending Imperialism;;;;;;;;;;;;;
warn_imperialism_cb_is_available_desc;Will we survive the foreign onslaught?;;;;;;;;;;;;;
haussmanns_renovations_title;Haussmann's Renovations;;;;;;;;;;;;;
haussmanns_renovations_desc;The Haussmann Plan was a project for the modernization and urban renewal of Paris, carried out between 1852 and 1870. The project was initiated after a period of rapid urban growth and development, as the old city center of Paris had proven itself incapable of meeting the infrastructure demands of a growing city. The long, open boulevards championed by Hausmann have remained defining characteristics of Paris' street layout ever since. The reforms are estimated to cost §R50,000¤§W paid now or in installments.;;;;;;;;;;;;;
accept_the_flemish_title;Embrace the Flemish;;;;;;;;;;;;;
accept_the_flemish_desc;The $COUNTRY_ADJ$ made several mistakes when dealing with the Flemish. The Protestant/Catholic divide and political ostracization, among other things, led to the Belgian Revolution. It's time we try and repair our relationship, implement effective freedom of religion and give them equal rights. Bowing down to them will dent our international prestige, but it will allow us to live in peace once again.;;;;;;;;;;;;;
create_vietnamese_protectorate_title;Declare a Protectorate over Vietnam;;;;;;;;;;;;;
create_vietnamese_protectorate_desc;To fulfill the $COUNTRY_ADJ$ ambitions of an Indochinese colony, senior figures in $CAPITAL$ concocted a plan to justify and declare a protectorate over Vietnam. Now, we can put that plan into motion.;;;;;;;;;;;;;
first_annexiation_limburg_title;The Limburg Question;;;;;;;;;;;;;
first_annexiation_limburg_desc;With the end of the Austrian-led customs union known as German Confederation and the rise of a modern, intertwined German state, the duchy of Limburg became an outdated promise - one that was part of the defunct German Confederation. Limburg is internationally recognized as an integral part of the Netherlands but as the Germans set their eyes and ambitions on the complete unification of all German Confederation states, the duchy became a dangerous compromise. Several senior figures in $CAPITAL$ are preparing an order for the $MONARCHTITLE$ to sign, declaring the extinction of the old duchy of Limburg and its full integration in the Netherlands. The Germans, however, might try to protest this move.;;;;;;;;;;;;;
ostend_manifesto_title;Ostend Manifesto;;;;;;;;;;;;;
ostend_manifesto_desc;§RGain 4.5 infamy§! The Ostend Manifesto proposes that the island of Cuba should be annexed to the United States as a slave state, to balance the expected influx of new free-states in the West. By supporting the manifesto, we can calm tension over the slavery issue domestically, but it might reduce our standing with the European Great Powers significantly. The Manifesto also proposes a shift in foreign policy, justifying the use of force to seize Cuba in the name of national security in case its owners are not willing to sell it to us.;;;;;;;;;;;;;
revoke_back_to_africa_act_player_title;Revoke the Back to Africa Act;;;;;;;;;;;;;
revoke_back_to_africa_act_player_desc;We can revoke the 'Back to Africa Act' but dismantling the structure built around it will mean that any efforts to re-instate it will take a while.;;;;;;;;;;;;;
back_to_africa_act_title;Back to Africa Act;;;;;;;;;;;;;
