Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME97084;The Andean War in the Pacific;;;;;;;;;;;;;
EVTDESC97084;\n\nThe Andine nations are in a state of war due to a territorial dispute. As an influential power in the region, we can choose to intervene or remain neutral in this dispute.;;;;;;;;;;;;;
EVT97084OPTA;We shall not interfere.;;;;;;;;;;;;;
EVT97084OPTB;We already picked a side.;;;;;;;;;;;;;
EVTNAME90058;The Schleswig War;;;;;;;;;;;;;
EVTDESC90058;\n\nThe Danish are fighting the Germans in their intervention in Schleswig. Helping our Scandinavian brothers will help strengthen the bound between our countries, while failing to help them might gravely hamper our efforts for an united Scandinavia.;;;;;;;;;;;;;
EVT90058OPTA;We will help.;;;;;;;;;;;;;
EVT90058OPTB;We will not get involved.;;;;;;;;;;;;;
EVTNAME199073;Tea Plantations in $PROVINCENAME$;;;;;;;;;;;;;
EVTDESC199073;\n\nWith his servant Wang walking five paces ahead to announce his arrival, Robert Fortune, dressed in his mandarin garb, entered the gates of a green tea factory. Wang began to supplicate frantically. Would the master of the factory allow an inspection from a visitor, an honored and wise official who had traveled from a far province to see how such glorious tea was made? In 1848, the British East India Company sent Robert Fortune on a trip to China's interior, an area forbidden to foreigners. Fortune's mission was to steal the secrets of tea horticulture and manufacturing. The Scotsman donned a disguise and headed into the Wu Si Shan hills in a bold act of corporate espionage. The results can be seen today in $PROVINCE$, where the first tea plantations are yielding their first harvest.;;;;;;;;;;;;;
EVTOPTA199073;Tea shouldn't be a monopoly.;;;;;;;;;;;;;
EVTOPTA23401;Yes, it is an excellent opportunity to show our nation's progress. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;
EVTOPTA23400;An excellent idea! We accept. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;
EVTNAME44157;The Oregon War;;;;;;;;;;;;;
EVTDESC44157;\n\nHostilities have broken out in the Columbia Region in North America, nominally under the administration of the Hudson's Bay Company, the region will be now be placed under British military control.;;;;;;;;;;;;;
EVT6044157OPTA;The Americans will be defeated!;;;;;;;;;;;;;
EVTNAME11002;The $MONARCHTITLE$'s Speech;;;;;;;;;;;;;
EVTDESC11002;\n\nIn this grave hour, perhaps the most fateful in our history, I send to every household of my peoples, both at home and overseas, this message, spoken with the same depth of feeling for each one of you as if I were able to cross your threshold and speak to you myself. It is for a high purpose that I now call my people at home, and my peoples across the seas, who will make our cause their own. I ask them to stand calm and firm and united in this time of trial.\nThe $COUNTRY_ADJ$ $MONARCHTITLE$ delivered an impassionate speech today in $CAPITAL$, just the start of a campaign to gather support among the population and the government for their goal of...;;;;;;;;;;;;;
EVTOPTA11002;...drum up support for war.;;;;;;;;;;;;;
EVTOPTB11002;...boosting the government's popularity.;;;;;;;;;;;;;
EVTNAME11001;The Dissolution of the $COUNTRY_ADJ$ Upper House;;;;;;;;;;;;;
EVTDESC11001;\n\nMinisters and bureaucrats arrived in $CAPITAL$ today to find a royal decree at the government's doors: the $COUNTRY_ADJ$ monarch has dissolved the $COUNTRY_ADJ$ Upper House, effective immediately, and a new one is to be handpicked by the monarch. The news sent shockwaves through the $COUNTRY_ADJ$ nobility - used to the occasional replacements, but not to such an earthshattering and drastic extent. Dissatisfaction is rampant, with many speculating (behind closed doors) that the monarch is setting up minor nobles, mostly sycophants and toadies, to execute the whims of the crown. A few of the old servants of the crown in the nobility kept their positions in order to train and guide the newcomers, but there's already evidence of lasting disruption in the state's affairs. The new upper house is set to have a majority of...;;;;;;;;;;;;;
EVTOPTA11001;...liberal nobles.;;;;;;;;;;;;;
EVTOPTB11001;...reactionary aristocrats.;;;;;;;;;;;;;
EVTOPTC11001;...socialist-minded nobles.;;;;;;;;;;;;;
EVTNAME169002;Forceful Revocation of Directive No 1;;;;;;;;;;;;;
EVTDESC169002;\n\nSweeping changes took place in $CAPITAL$ that led to the forceful revocation of Directive No 1.;;;;;;;;;;;;;
EVT169002OPTA;New beginnings for the $COUNTRY_ADJ$ people.;;;;;;;;;;;;;
EVTNAME169001;Hundreds of Thousands Killed in $COUNTRY_ADJ$-led Massacre;;;;;;;;;;;;;
EVTDESC169001;\n\nDuring my few days of service in this government I've learned of a few secrets and have come across something interesting. The deportation order was issued through official channels by the minister of the interior and sent to the provinces. Following this order the Central Committee circulated its own ominous order to all parties to allow the gangs to carry out their wretched task. Thus the gangs were in the field, ready for their atrocious slaughter... The 'mission' in the circular was: to attack the convoys and massacre the population... I am ashamed as a $COUNTRY_ADJ$. What a stain on the reputation of $COUNTRY$, these criminal people...\nThe first-hand report of a $COUNTRY_ADJ$ defector made the newspapers headlines of one of the Great Powers. Soon, more evidence started to appear: in $CAPITAL$, senior government officials scramble to contain the damage of the damning report.;;;;;;;;;;;;;
EVT169001OPTA;This does not improve our image.;;;;;;;;;;;;;
EVTNAME169000;Mass Graves Found in $STATENAME$;;;;;;;;;;;;;
EVTDESC169000;\n\nMass graves where found in $PROVINCENAME$, the bloody result of a $COUNTRY_ADJ$ purge against its perceived enemies. Throughout the whole of $STATENAME$, the situation is the same. In $CAPITAL$, $COUNTRY_ADJ$ authorities are denying any knowledge of this while they try to suppress this information leaking outside of $COUNTRY$. They say it would damage the $COUNTRY_ADJ$ reputation and is best to deal with these matters internally. An ongoing government investigation has failed to find any culprits.;;;;;;;;;;;;;
EVT169000OPTA;Who could be responsible for such an abomination?;;;;;;;;;;;;;
constitutional_crisis;Constitutional Crisis;;;;;;;;;;;;;
constitutional_crisis_desc;Constitutional rules were broken, leaving both Houses and the government in a bad position.;;;;;;;;;;;;;
EVTNAME6016818;Constitutional Crisis;;;;;;;;;;;;;
EVTDESC6016818;\n\nCountless have quietly, orderly, soberly, peaceably but firmly asked of their rulers to do justice: and their rulers have turned a deaf ear to that protest. Countless asked permission to detail their wrongs, and enforce their claims for RIGHT, and the 'House' has resolved they should not be heard! Countless of the slave-class have held out the olive branch of peace and sought the principle of EQUALITY BEFORE THE LAW - and the privileged have refused to enter into a treaty! The same class is to be a slave class still. The assumption of inferiority is still to be maintained. The people are not to be free.\nWhen the $COUNTRY_ADJ$ monarch promised the people the right to vote, they were expecting their voices to be heard - instead, the monarch overruled the election results. In $CAPITAL$, a crowd clamors for their rights to be respected. This blatant disregard of the $COUNTRY_ADJ$ constitution is spreading unrest, locking the government and damaging our international reputation.;;;;;;;;;;;;;
EVT6016818OPTA;Ignore the rabble-rousers.;;;;;;;;;;;;;
EVTNAME33045;The $FROMCOUNTRY_ADJ$ Waning Influence;;;;;;;;;;;;;
EVTDESC33045;\n\n$FROMCOUNTRY$ is removing their diplomats from $CAPITAL$ and scaling down their diplomatic operations in $COUNTRY$. The reason seems to be the nascent North German Federation and the $FROMCOUNTRY_ADJ$ desire to maintain good relations with them. It seems like the future of Germany lies at the hands of the North German Federation.;;;;;;;;;;;;;
EVT33045OPTA;What does the future hold?;;;;;;;;;;;;;
EVTNAME33044;The Peace of $CAPITAL$;;;;;;;;;;;;;
EVTDESC33044;\n\nIt seems the creation of a Northern-led German state is inevitable. With the formation of the North German Federation, out position as the main power in Germany is quickly waning. We can accept this change and try to work together with the North German Federation, or we can try and resist this change.;;;;;;;;;;;;;
EVT33044OPTA;It's time we look eastwards and to the Balkans.;;;;;;;;;;;;;
EVT33044OPTB;Never! Germany should be under $COUNTRY_ADJ$ rule.;;;;;;;;;;;;;
EVTNAME85032;Korean Monarchy Flees to Pyongyang;;;;;;;;;;;;;
EVTDESC85032;\n\nOur forces raided Seoul but the Joseon monarchs where nowhere to be found. They fled north to Pyongyang and vowed to fight the $COUNTRY_ADJ$ forces to the end.;;;;;;;;;;;;;
EVT85032OPTA;Crush the Joseon!;;;;;;;;;;;;;
EVTNAME96124;Kuwait Becomes a $FROMCOUNTRY_ADJ$ Protectorate;;;;;;;;;;;;;
EVTDESC96124;\n\nThough Kuwait enjoyed a de facto independence since its birth early in the 18th century, its chiefs acknowledged at different periods the nominal suzerainty of the Ottomans or the Wahhabi Imams of Riyadh. A few years ago, Mohammed bin Sabah succeeded to the chieftainship of the principality. The new ruler was an incompetent person and consequently affairs of the state gradually drifted into the hands of his shrewd brother-in-law, one Yusuf bin Abdullah Al-Ibrahim, which was bent upon a policy of $COUNTRY_ADJ$izing the principality. In Mohammed's half-brother, Mubarak, the patriotic party in Kuwait found a leader of outstanding ability and far-reaching ambitions and soon enough Mubarak assassinated the ruling chief and seized power for himself. Fearing $COUNTRY_ADJ$ intervention in Kuwait, Mubarak entered talks with the $FROMCOUNTRY_ADJ$ Resident in the Gulf who seized this opportunity and convinced Mubarak to become a $FROMCOUNTRY_ADJ$ protectorate.;;;;;;;;;;;;;
EVT961224PTA;Perfidious $FROMCOUNTRY_ADJ$!;;;;;;;;;;;;;
EVTNAME96123;Establishing a Protectorate Over Kuwait;;;;;;;;;;;;;
EVTDESC96123;\n\nThough Kuwait enjoyed a de facto independence since its birth early in the 18th century, its chiefs acknowledged at different periods the nominal suzerainty of the Ottomans or the Wahhabi Imams of Riyadh. A few years ago, Mohammed bin Sabah succeeded to the chieftainship of the principality. The new ruler was incompetent and consequently affairs of the state drifted into the hands of his brother-in-law, one Yusuf bin Abdullah Al-Ibrahim, a Turcophile bent upon a policy of Ottomanization. In Mohammed's half-brother, Mubarak, the patriotic party in Kuwait found a leader of outstanding ability and ambitions and soon enough Mubarak assassinated the ruling chief and seized power. As Russian influence grows in the Levant and possibly on Istanbul, the Resident has started to listen and build $COUNTRY_ADJ$ relations with Mubarak. Finally, the offer has come to $CAPITAL$: Mubarak offers to become a $COUNTRY_ADJ$ protectorate in exchange for protection and some autonomy.;;;;;;;;;;;;;
EVT961223PTA;We will offer our generous protection.;;;;;;;;;;;;;
EVT96123OPTB;We don't want to get involved.;;;;;;;;;;;;;
EVTNAME96122;Encroaching Foreign Influence;;;;;;;;;;;;;
EVTDESC96122;\n\nThe governor of Baghdad pitched his government the idea of closely integrating Kuwait in the central government, which would spell the end of a free Kuwait. While we don't know how their reaction will be, nor if such an integration would be diplomatic or by force, senior figures in $CAPITAL$ proposed that we don't wait any longer and approach the masters of India - their country is much richer than Baghdad and we are sure to prosper under them. If it is to lose our sovereignty, a distant master would allow us more liberty than a close one.;;;;;;;;;;;;;
EVT96122OPTA;Send an envoy to the Great Power.§R(Game Over for player)§W;;;;;;;;;;;;;
EVT96122OPTB;We don't need anyone.;;;;;;;;;;;;;
EVTNAME37244;$FROMCOUNTRY_ADJ$ Ultimatum Over Savoy;;;;;;;;;;;;;
EVTDESC37244;\n\nSavoy, Savoie or Savoia is a region that historically straddled the frontiers between France and Italy. Despite being under $COUNTRY_ADJ$ rule for centuries, $FROMCOUNTRY$ claims that tens of thousands of $FROMCOUNTRY_ADJ$ citizens are living in Savoy and have no voice in $CAPITAL$. They argue that the region would have fairer rulers under $FROMCOUNTRY_ADJ$ administration and demand that we hand over control to them.;;;;;;;;;;;;;
EVT37244OPTA;Savoy is an integral part of $COUNTRY$.;;;;;;;;;;;;;
EVT37244OPTB;We don't want to strain our relations with the $FROMCOUNTRY_ADJ$.;;;;;;;;;;;;;
EVT44330OPTD;No, and don't ask me again.;;;;;;;;;;;;;
EVTOPTA30000;An excellent idea! We accept. §R(Pay or owe 10,000¤)§W;;;;;;;;;;;;;
EVTNAME91170;The Embassy is a Success!;;;;;;;;;;;;;
EVTDESC91170;\n\nThe delegation we sent to Europe was warmly welcomed and treated to an exclusive showcase at the International Exhibition in London. European locals showed keen interest in our nation's culture and society, and government officials accepted our offers of friendly diplomatic relations. Even though it seems clear that Europeans view the Japanese race as inferior on account of not being Western, they are flattered by our attempts at adopting elements of their culture, warfare, and government structure. Hopefully with due time we can prove to them we are their equal.;;;;;;;;;;;;;
EVT91170OPTA;Fabulous!;;;;;;;;;;;;;
EVTNAME91171;The Embassy Fails, Japanese Delegation Shunned;;;;;;;;;;;;;
EVTDESC91171;\n\nDespite being treated to an exclusive showcase at the International Exhibition in London, Europe did not give us a warm welcome. Viewing us as an exotic people from a backwater nation, they treated our attempt at diplomacy with skepticism--and they laughed at our proposal to postpone our trade ports' opening. It seems no non-Western nation can hope to win the European's respect, as it is the Europeans who are supposedly the masters of culture and warfare, destined to rule the world. We must prove them wrong.;;;;;;;;;;;;;
EVT91171OPTA;This is an outrage!;;;;;;;;;;;;;
EVTNAME91172;The Embassy is a Success!;;;;;;;;;;;;;
EVTDESC91172;\n\nDespite overwhelming odds, our diplomatic effort to make Europe respect our wish to remain isolated succeeded. They have realized our people are only so willing to welcome foreigners after centuries of undisturbed isolation. If they chose to take drastic measures to enforce open trade, such as military action, it would end badly. This is unprecedented: a non-Western power negotiating its isolation from Western encroachment, without bloodshed. As a plus, we have also used our time abroad to learn more about the outside world, furthering our ability to modernize quickly.;;;;;;;;;;;;;
EVT91172OPTA;An absolute miracle!;;;;;;;;;;;;;
EVTNAME91173;The Embassy Misses its Mark;;;;;;;;;;;;;
EVTDESC91173;\n\nOur second embassy to Europe yielded bittersweet results. We were able to improve relations with the West, but at their insistence the forced opening of our ports remains inevitable. With this said, our continued interest in adopting the virtues of Western civilization flattered our diplomatic hosts. We therefore cannot say this effort was a complete failure.;;;;;;;;;;;;;
EVT91173OPTA;You win some, you lose some.;;;;;;;;;;;;;
EVTNAME91174;The Embassy to America Succeeds!;;;;;;;;;;;;;
EVTDESC91174;\n\nThe United States welcomed our delegation. American officials guided them through a tour of its major cities, showing us the country's proudest cultural and industrial landmarks. The Americans pride themselves on having a higher purpose in history: a country where essential civil freedoms, whichever those may be, are guaranteed. However, being a Western nation, they clearly asserted their opinion that us non-Westerners are inferior, having not adopted the virtues of their civilization without imposition of them on us. With hard work, Japan will surely prove themselves as the West's equal.;;;;;;;;;;;;;
EVT91174OPTA;Excellent!;;;;;;;;;;;;;
EVTNAME91175;The Embassy to America Fails.;;;;;;;;;;;;;
EVTDESC91175;\n\nThe Americans did not take our diplomacy seriously, having convinced themselves an oriental nation cannot hope to compete among the Western powers. While they did happily show us some of their proudest landmarks in their major cities, their cordiality with our diplomats was insincere. They condescend to us, view us as inferior, simply because we are Japanese.;;;;;;;;;;;;;
EVT91175OPTA;What a load of nonsense!;;;;;;;;;;;;;
EVTNAME91176;The Embassy to Europe Has Been Terminated!;;;;;;;;;;;;;
EVTDESC91176;\n\nOur actions toward the European powers have angered them enough to cut off interaction with the embassy. They will be recalled to Japan. Diplomatic missions to the West will cease until further notice.;;;;;;;;;;;;;
EVT91176OPTA;Figures.;;;;;;;;;;;;;
EVTNAME91177;The Second Embassy to Europe Has Been Terminated!;;;;;;;;;;;;;
EVTDESC91177;\n\nOur actions toward the European powers have angered them enough to cut off interaction with the embassy. They will be recalled to Japan. Diplomatic missions to the West will cease until further notice.;;;;;;;;;;;;;
EVT91177OPTA;Figures.;;;;;;;;;;;;;
EVTNAME91178;The Embassy to America Has Been Terminated!;;;;;;;;;;;;;
EVTDESC91178;\n\nOur actions toward the United States have angered them enough to cut off interaction with the embassy. They will be recalled to Japan. Diplomatic missions to the West will cease until further notice.;;;;;;;;;;;;;
EVT91178OPTA;Figures.;;;;;;;;;;;;;
EVTNAME91179;The Normanton Incident;;;;;;;;;;;;;
EVTDESC91179;\n\nA British vessel called the Normanton was wrecked off the cape of Kashinozaki, running aground and forcing its crewmen and passengers to evacuate. The crew all survived and escaped on lifeboats. The 25 Japanese passengers aboard, however, all perished, supposedly without any chance to secure lifeboats for themselves. The case is currently tried in a court for British subjects in Japan. The locals, meanwhile, are highly skeptical of the case's facts: they do not easily believe that the Japanese passengers had no means of surviving, and they speculate the Normanton's crew simply refused to give the passengers lifeboats. The Normanton's crew was all British, save for 12 Indians and Chinese. It is easily assumed that the British crewmen sacrificed the passengers' lives simply because they were Japanese. But because the case is not being adjudicated by our own court, it will be difficult to know for certain.;;;;;;;;;;;;;
EVT91179OPTA;We'd best tread lightly and get Britain on our good side.;;;;;;;;;;;;;
EVT91179OPTB;Britain will not get away with this.;;;;;;;;;;;;;
EVT91179OPTC;We should request an end to extraterritoriality.;;;;;;;;;;;;;
EVTNAME91180;Japan Opens Diplomacy over Normanton Incident;;;;;;;;;;;;;
EVTDESC91180;\n\nAfter the sinking of the British merchant navy vessel Normanton off Japan's coast, leaving 25 Japanese passengers dead, Japan has experienced a surge of nationalist agitation. They suspect the crew denied the passengers lifeboats because they were Japanese, while saving the lifeboats for themselves so that all the crewmembers would survive. The Japanese government, however, is choosing to act prudently. They will not challenge our subjects' extraterritoriality in Japan and hope to stay on our good side.;;;;;;;;;;;;;
EVT91180OPTA;Smart choice!;;;;;;;;;;;;;
EVTNAME91181;Japan Acts Belligerant after Normanton Incident;;;;;;;;;;;;;
EVTDESC91181;\n\nAfter the sinking of the British merchant navy vessel Normanton off Japan's coast, leaving 25 Japanese passengers dead, Japan has experienced a surge of nationalist agitation. They suspect the crew denied the passengers lifeboats because they were Japanese, while saving the lifeboats for themselves so that all the crewmembers would survive. Japan's government has vowed the British will not get away with this, implying possible military action.;;;;;;;;;;;;;
EVT91181OPTA;They are welcome to try.;;;;;;;;;;;;;
