Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV310;Christiansand;;;;;;;;;;;;;
PROV3469;Flatow;;;;;;;;;;;;;
PROV3470;Kesan;;;;;;;;;;;;;
PROV3471;Diu;;;;;;;;;;;;;
PROV3472;Bayonne;;;;;;;;;;;;;
PROV3473;Aveiro;;;;;;;;;;;;;
PROV3426;Znaim;;;;;;;;;;;;;
PROV3427;Gori;;;;;;;;;;;;;
PROV3428;Pasanauri;;;;;;;;;;;;;
PROV3429;Telavi;;;;;;;;;;;;;
PROV3430;Touila;;;;;;;;;;;;;
PROV3431;Taoudenni;;;;;;;;;;;;;
PROV3432;Cavaillon;;;;;;;;;;;;;
PROV3433;Vielha;;;;;;;;;;;;;
PROV3434;Bardonecchia;;;;;;;;;;;;;
PROV3435;Humaitá;;;;;;;;;;;;;
PROV3436;Yevpatoriya;;;;;;;;;;;;;
PROV3437;Dzhankóy;;;;;;;;;;;;;
PROV3438;Yálta;;;;;;;;;;;;;
PROV3439;Feodosiya;;;;;;;;;;;;;
PROV3440;Yanbian;;;;;;;;;;;;;
PROV3441;Gazli;;;;;;;;;;;;;
PROV3442;Darvaza;;;;;;;;;;;;;
PROV858;Corlu;;;;;;;;;;;;;
PROV3425;Altenburg;;;;;;;;;;;;;
PROV3424;Salismünde;;;;;;;;;;;;;
PROV3423;Kolken;;;;;;;;;;;;;
PROV3422;Frauenbach;;;;;;;;;;;;;
PROV3421;Presova;;;;;;;;;;;;;
PROV3420;Ipek;;;;;;;;;;;;;
PROV3419;Toropets;;;;;;;;;;;;;
PROV3418;Reichenau;;;;;;;;;;;;;
PROV3417;Drossen;;;;;;;;;;;;;
PROV3416;Bautzen;;;;;;;;;;;;;
PROV398;Arlon;;;;;;;;;;;;;
PROV3403;Neybe;;;;;;;;;;;;;
PROV2216;Santiago;;;;;;;;;;;;;
PROV3402;San Antonio;;;;;;;;;;;;;
PROV3401;Fraga;;;;;;;;;;;;;
PROV3400;Bragança;;;;;;;;;;;;;
PROV3399;Versailles;;;;;;;;;;;;;
PROV3398;Benevento;;;;;;;;;;;;;
PROV3397;Pontecorvo;;;;;;;;;;;;;
PROV3396;Elba;;;;;;;;;;;;;
PROV3395;Anai;;;;;;;;;;;;;
PROV3394;Angram;;;;;;;;;;;;;
PROV3393;Bay Islands;;;;;;;;;;;;;
PROV3404;al-Salman;;;;;;;;;;;;;
PROV1756;al-Arish;;;;;;;;;;;;;
PROV3405;Kobajjep;;;;;;;;;;;;;
PROV3406;Artik;;;;;;;;;;;;;
PROV3407;Amara;;;;;;;;;;;;;
PROV3408;Cherbourg;;;;;;;;;;;;;
PROV3409;Thionville;;;;;;;;;;;;;
PROV3410;Mataquescuintla;;;;;;;;;;;;;
PROV2198;Granada;;;;;;;;;;;;;
PROV3411;Navassa Island;;;;;;;;;;;;;
PROV3412;Jan Mayen;;;;;;;;;;;;;
PROV3413;Spratly Islands;;;;;;;;;;;;;
PROV3414;Îles Kerguelen;;;;;;;;;;;;;
PROV3415;Sam Nuea;;;;;;;;;;;;;
PROV3392;Gelendzhik;;;;;;;;;;;;;
PROV3391;Nazran;;;;;;;;;;;;;
PROV3390;Kidero;;;;;;;;;;;;;
PROV3389;Botlikh;;;;;;;;;;;;;
PROV3388;Petrovsk;;;;;;;;;;;;;
PROV1009;Mozhaisk;;;;;;;;;;;;;
PROV3387;Urkarakh;;;;;;;;;;;;;
PROV3386;Qobustan;;;;;;;;;;;;;
PROV3385;Quba;;;;;;;;;;;;;
PROV3384;Kurakh;;;;;;;;;;;;;
PROV3383;Turnhout;;;;;;;;;;;;;
PROV3382;Vista Alegre;;;;;;;;;;;;;
PROV3381;Canutama;;;;;;;;;;;;;
PROV3380;Corumba;;;;;;;;;;;;;
PROV3379;Bitburg;;;;;;;;;;;;;
PROV3378;Cavan;;;;;;;;;;;;;
PROV3377;Bunj;;;;;;;;;;;;;
PROV3376;Potsdam;;;;;;;;;;;;;
PROV3375;Roda;;;;;;;;;;;;;
PROV3374;Šabac;;;;;;;;;;;;;
PROV3373;Filibe;;;;;;;;;;;;;
PROV3372;Sulina;;;;;;;;;;;;;
PROV3371;Mangalia;;;;;;;;;;;;;
PROV3370;Ferlach;;;;;;;;;;;;;
PROV3369;Firjuza;;;;;;;;;;;;;
PROV3368;Ivangorod;;;;;;;;;;;;;
PROV3367;Pechory;;;;;;;;;;;;;
PROV3366;Palanga;;;;;;;;;;;;;
PROV3365;Neustadt;;;;;;;;;;;;;
PROV3364;Sanmenwai;;;;;;;;;;;;;
PROV3363;Tegucigalpa;;;;;;;;;;;;;
PROV2195;Trujillo;;;;;;;;;;;;;
PROV2203;Cartago;;;;;;;;;;;;;
PROV3362;Afrin;;;;;;;;;;;;;
PROV3361;Byblos;;;;;;;;;;;;;
PROV3360;Puerto Carreño;;;;;;;;;;;;;
PROV3359;Tonantins;;;;;;;;;;;;;
PROV3358;Golan;;;;;;;;;;;;;
PROV3357;Beersheba;;;;;;;;;;;;;
PROV3356;Kosan;;;;;;;;;;;;;
PROV3355;Anar Dara;;;;;;;;;;;;;
PROV3354;Sabzevar;;;;;;;;;;;;;
PROV3353;Orumiyeh;;;;;;;;;;;;;
PROV3352;Khurmal;;;;;;;;;;;;;
PROV3351;Mahshahr;;;;;;;;;;;;;
PROV3350;Ganaveh;;;;;;;;;;;;;
PROV3349;Izeh;;;;;;;;;;;;;
PROV3348;Mousiyan;;;;;;;;;;;;;
PROV3347;Jagodina;;;;;;;;;;;;;
PROV3346;Ürgüp;;;;;;;;;;;;;
PROV3345;Mersin;;;;;;;;;;;;;
PROV3344;Terneuzen;;;;;;;;;;;;;
PROV3343;Leuven;;;;;;;;;;;;;
PROV3342;Kilkis;;;;;;;;;;;;;
PROV3341;Augustow;;;;;;;;;;;;;
PROV3340;Krepost Ross;;;;;;;;;;;;;
PROV3339;Rovaniemi;;;;;;;;;;;;;
PROV3338;Kiruna;;;;;;;;;;;;;
PROV3337;Bunzlau;;;;;;;;;;;;;
PROV3336;Lüben;;;;;;;;;;;;;
PROV3335;Zlin;;;;;;;;;;;;;
PROV3334;Kuttenberg;;;;;;;;;;;;;
PROV3333;Freiberg;;;;;;;;;;;;;
PROV625;Kladen;;;;;;;;;;;;;
PROV3332;Bergsaß;;;;;;;;;;;;;
PROV3329;Allenstein;;;;;;;;;;;;;
PROV3328;Elbing;;;;;;;;;;;;;
PROV3327;Ortelsburg;;;;;;;;;;;;;
PROV3326;Rio Branco;;;;;;;;;;;;;
PROV2278;La Esmeralda;;;;;;;;;;;;;
PROV696;Santa Bárbara;;;;;;;;;;;;;
PROV693;Bouvet Island;;;;;;;;;;;;;
PROV3325;Tiraspol;;;;;;;;;;;;;
PROV3324;Rzeszow;;;;;;;;;;;;;
PROV3323;Kefelong;;;;;;;;;;;;;
PROV3322;Lopner;;;;;;;;;;;;;
PROV3321;Tomurlik;;;;;;;;;;;;;
PROV3320;Jérémie;;;;;;;;;;;;;
PROV3319;Jacmel;;;;;;;;;;;;;
PROV3318;Arwa;;;;;;;;;;;;;
PROV3317;Fort Walbach;;;;;;;;;;;;;
PROV3316;Zakatata;;;;;;;;;;;;;
PROV3315;Sochi;;;;;;;;;;;;;
PROV3314;Boulogne;;;;;;;;;;;;;
PROV3313;Gap;;;;;;;;;;;;;
PROV3312;Lons;;;;;;;;;;;;;
PROV3311;Tupelo;;;;;;;;;;;;;
PROV3310;Huntsville;;;;;;;;;;;;;
PROV3309;Hinche;;;;;;;;;;;;;
PROV3308;Piskopoya;;;;;;;;;;;;;
PROV3307;Görice;;;;;;;;;;;;;
PROV3306;Miçova;;;;;;;;;;;;;
PROV3305;Christmas Island;;;;;;;;;;;;;
PROV3304;Gümülcine;;;;;;;;;;;;;
PROV3303;Tsarevo;;;;;;;;;;;;;
PROV3302;Kirklareli;;;;;;;;;;;;;
PROV3301;Mudanya;;;;;;;;;;;;;
PROV1352;Chumphon;;;;;;;;;;;;;
PROV1807;Menaka;;;;;;;;;;;;;
PROV867;Megri;;;;;;;;;;;;;
PROV3300;Dayr al-Zour;;;;;;;;;;;;;
PROV3299;Aksai Chin;;;;;;;;;;;;;
RUS_2700;Vologda;;;;;;;;;;;;;
PROV2689;Vorkuta;;;;;;;;;;;;;
NEJ_1164;Hassa;;;;;;;;;;;;;
PROV3298;Ayteke Bi;;;;;;;;;;;;;
PROV3297;Old Shanghai;;;;;;;;;;;;;
PROV3296;Lubumbashi;;;;;;;;;;;;;
PROV3295;Pematang Siantar;;;;;;;;;;;;;
PROV1235;Shimla;;;;;;;;;;;;;
DEN_251;Island & Grønland;;;;;;;;;;;;;
TUR_887;Erzurum;;;;;;;;;;;;;
TAJ_1208;Tadzhikistan;;;;;;;;;;;;;
PROV308;Ålesund;;;;;;;;;;;;;
PROV306;Bodø;;;;;;;;;;;;;
PROV305;Trondhjem;;;;;;;;;;;;;
PROV12;Liwa;;;;;;;;;;;;;
AFG_1212;Herat;;;;;;;;;;;;;
PROV2519;Maymana;;;;;;;;;;;;;
PROV837;Mesolóngi;;;;;;;;;;;;;
PROV836;Lamía;;;;;;;;;;;;;
PROV839;Spárti;;;;;;;;;;;;;
PROV840;Náfplio;;;;;;;;;;;;;
PROV841;Kalamáta;;;;;;;;;;;;;
PROV845;Kykládes;;;;;;;;;;;;;
PROV846;Dodekanez;;;;;;;;;;;;;
PROV844;Midilli;;;;;;;;;;;;;
