Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
benefactor_ai;Benevolent Ruler;;;;;;;;;;;;;
desc_benefactor_ai;The ruler of this country is benevolent and non bellicose.;;;;;;;;;;;;;
malevolent_ai;Malevolent Ruler;;;;;;;;;;;;;
desc_malevolent_ai;The ruler of this country is malicious and bellicose.;;;;;;;;;;;;;
picking_personality;Ruler Personality;;;;;;;;;;;;;
desc_picking_personality;This country's ruler personality was chosen.;;;;;;;;;;;;;
government_busy_with_something;Busy Government;;;;;;;;;;;;;
evidence_of_massacre2;Evidence of Massacres Leaks;;;;;;;;;;;;;
evidence_of_massacre2_desc;Damning evidence of massacres happening in our country are proving to be a stain in our reputation.;;;;;;;;;;;;;
evidence_of_massacre;Evidence of Massacres Leaks;;;;;;;;;;;;;
evidence_of_massacre_desc;Damning evidence of massacres happening in our country are proving to be a stain in our reputation.;;;;;;;;;;;;;
local_tractors;Tractors and Trawlers;;;;;;;;;;;;;
desc_local_tractors;Mechanized farming and fishing has arrived in this province in the form of tractors and fishing trawlers, increasing the efficiency, and reducing the labor intensity of local farming.;;;;;;;;;;;;;
interment_camps;Directive No. 1;;;;;;;;;;;;;
interment_camps_desc;Directive No. 1 is the name given to a series of measures our country is currently undertaking to quell internal dissent. ;;;;;;;;;;;;;
war_propaganda;War Propaganda;;;;;;;;;;;;;
war_propaganda_desc;Our country is currently undertaking a massive propaganda campaign, pushing the people to support our war policies.;;;;;;;;;;;;;
government_propaganda;Government Propaganda;;;;;;;;;;;;;
government_propaganda_desc;Our country is currently undertaking a massive propaganda campaign, pushing the people to support our government policies.;;;;;;;;;;;;;
war_focus;War Focused;;;;;;;;;;;;;
war_focus_desc;This war is for one objective and one only.;;;;;;;;;;;;;
loyal_vassal;Loyal Vassal;;;;;;;;;;;;;
loyal_vassal_desc;We will stand by our protectors.;;;;;;;;;;;;;
substate_nation_player;Substate;;;;;;;;;;;;;
in_disrepair;Disrepair;;;;;;;;;;;;;
in_disrepair_desc;Buildings in this province were neglected for so long they are falling apart.;;;;;;;;;;;;;
nationalization_in_progress;Nationalization in Progress;;;;;;;;;;;;;
nationalization_in_progress_desc;Our government is currently undertaking a nationalization effort. No longer will foreigners hold a sway in our sovereign industry. ;;;;;;;;;;;;;
factories_nationalized;Nationalized Factories;;;;;;;;;;;;;
factories_nationalized_desc;Our factories in another country were nationalized. This is a blow to the prestige of our country.;;;;;;;;;;;;;
santa_ana_rule;Antonio López de Santa Anna;;;;;;;;;;;;;
santa_ana_rule_desc;Antonio de Padua María Severino López de Santa Anna y Pérez de Lebrón - also known as Santa Anna - is the current ruler of Mexico. A hero of the war of independence, his shifting political views and actions have made him an enigmatic figure.;;;;;;;;;;;;;
santa_ana_in_exile;Santa Anna in Exile;;;;;;;;;;;;;
santa_ana_in_exile_desc;Antonio López de Santa Anna has fled the country to escape being judged for his crimes and failures. While he is currently unwelcome for obvious reasons, it would still be naive to think that this is the last we will see of him. He spends his days brooding ways to return to power, not letting his Cuban exile confine his ambitions.;;;;;;;;;;;;;
resistance_to_new_regime;Resistance to the New Regime;;;;;;;;;;;;;
resistance_to_new_regime_desc;The Japanese people are stuck in a mindset of the past, accustomed to a disunited government and not thinking of themselves as people of a single country. They are voicing unrest at this sudden change in our national politics.;;;;;;;;;;;;;
zaibatsu_dominance;Zaibatsu Dominance;;;;;;;;;;;;;
