Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
return_core_on_title;Enable 'Return Cores' decisions;;;;;;;;;;;;;
return_core_on_desc;The Return Cores decisions allow you to return cores of vassals and spherelings, as long as you don't have a core in the province, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;;
return_core_off_title;Disable 'Return Cores' decisions;;;;;;;;;;;;;
return_core_off_desc;Your decision list will now be uncluttered.;;;;;;;;;;;;;
return_core_disabled_title;Deactivate 'Return Cores' decisions;;;;;;;;;;;;;
return_core_disabled_desc;The 'Return Cores' decisions will disappear from this game session and won't reappear again. You won't be able to use these decisions again for this game.;;;;;;;;;;;;;
return_cores_MNP_title;Return cores to Manipur;;;;;;;;;;;;;
return_cores_MNP_desc;We hold provinces that Manipur has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_BDK_title;Return cores to Badakhshan;;;;;;;;;;;;;
return_cores_BDK_desc;We hold provinces that Badakhshan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_PGG_title;Return cores to Pingnan Guo;;;;;;;;;;;;;
return_cores_PGG_desc;We hold provinces that Pingnan Guo has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_SGM_title;Return cores to Sigmaringen;;;;;;;;;;;;;
return_cores_SGM_desc;We hold provinces that Sigmaringen has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_NMB_title;Return cores to Namibia;;;;;;;;;;;;;
return_cores_NMB_desc;We hold provinces that Namibia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_TMR_title;Return cores to Timor;;;;;;;;;;;;;
return_cores_TMR_desc;We hold provinces that Timor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_SLG_title;Return cores to Selangor;;;;;;;;;;;;;
return_cores_SLG_desc;We hold provinces that Selangor has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_PRK_title;Return cores to Perak;;;;;;;;;;;;;
return_cores_PRK_desc;We hold provinces that Perak has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;;
return_cores_PHG_title;Return cores to Pahang;;;;;;;;;;;;;
