Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME98410;The Jewish Homeland;;;;;;;;;;;;;
EVTNAME98418;The Jewish Homeland;;;;;;;;;;;;;
EVTNAME98426;The Jewish Homeland;;;;;;;;;;;;;
EVTNAME98430;The Jewish Homeland;;;;;;;;;;;;;
EVTNAME98435;The Jewish Homeland;;;;;;;;;;;;;
EVTDESC98435;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Uganda. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;;
EVTNAME98442;The Jewish Homeland;;;;;;;;;;;;;
EVTDESC98442;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Hokkaido. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;;
EVTNAME98449;The Jewish Homeland;;;;;;;;;;;;;
EVTDESC98449;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Cyrenaica. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;;
EVTNAME98455;The Jewish Homeland;;;;;;;;;;;;;
EVTDESC98455;Jewish families in $PROVINCENAME$, having originally arrived in $COUNTRY$ as a result of the diaspora, are reportedly planning on emigrating to Israel-- the newly-established Jewish homeland in Angola. We could encourage them to remain, but that might not be a simple matter.;;;;;;;;;;;;;
