Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
assyrian;Assyrian;;;;;;;;;;;;;
xhosa;Xhosa;;;;;;;;;;;;;
arabic;Arabic;;;;;;;;;;;;;
breton;Breton;Breton;Bretonisch;;;;;;;;;;;
pan_albanian;Albanian;;;;;;;;;;;;;
occitan;Occitan;Occitain;Occitanisch;;;;;;;;;;;
picard;Picard;;;;;;;;;;;;;
western_slavic;Western Slavic;;;;;;;;;;;;;
anglo_african;Anglo African;;;;;;;;;;;;;
jewish_cultures;Jewish Cultures;;;;;;;;;;;;;
itsekari;Ijaw;;;;;;;;;;;;;
kuba;Bashong;;;;;;;;;;;;;
harari;Harari;;;;;;;;;;;;;
kefficho;Kefficho;;;;;;;;;;;;;
mormon;Mormon;;;;;;;;;;;;;
