Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
IS_IN_REGION; is in the region ;Est dans la région;Ist in der Region ;;Está en la región;;;;;;;;;
kobu_gattai_title;Kobu Gattai;;;;;;;;;;;;;
fukoku_kyohei;Fukoku Kyohei;;;;;;;;;;;;;
PROV2745;Gulf of Cádiz;Golfe de Cadix;Golf von Cadiz;;Golfo de Cádiz;;;;;;;;;
EVTNAME10223;Louis-Napoleon's Coup d'Etat;;;;;;;;;;;;;
EVTDESC10223;Facing the prospect of losing the presidential election, the popular Louis-Napoleon has launched a coup d'etat and overthrown the French government. Loyal members of the army have locked down strategic locations in Paris, and the Assemblée Nationale has been dissolved, leaving Louis-Napoleon as the undisputed ruler of the country. He has been christened Napoléon III, regaining his uncle's throne as the Emperor of France.;;;;;;;;;;;;;
EVTNAME10224;Emperor Napoleon Deposed;;;;;;;;;;;;;
EVTDESC10224;Angered by the inability of France to prevent the formation of Germany, as well as the humiliating loss of Alsace-Lorraine, the government has deposed Emperor Napoleon. We must choose what form our new government is to take.;;;;;;;;;;;;;
EVTNAME11108;Slavic Unification;;;;;;;;;;;;;
EVTDESC11108;The call has gone out for the Slavic nations of the Balkans to finally unite under a common banner, to resist the encroachment of the Austrians and Turks as well as other European powers. Yugoslavia, it is said, will be a power to rival even its most powerful neighbors. Whether this new nation would succeed in holding together a people divided by centuries of bitter warfare is best left for speculation.;;;;;;;;;;;;;
EVTOPTA13000;We will allow the westerners into $COUNTRY$, so long as they cause no trouble.;;;;;;;;;;;;;
EVTOPTB13000;They bring dangerous ideas. $COUNTRY$ will refuse them all access.;;;;;;;;;;;;;
EVTNAME13010;Shipwrecked Sailors;Les naufragés;Schiffsbrüchige Matrosen;;Marineros naufragados;;;;;;;;;
EVTDESC13010;\n\nAn old pond\nA frog jumps in\nThe sound of water.\n-- Matsuo Basho\n\nOne of our coastal provinces is bustling with rumors about the strange people who were found along its shorelines earlier this morning. The more precise origin of these shipwrecked sailors is as of yet uncertain, but, wherever they are from, they are definitely not from our country. The difficulty now lies in deciding what to do with them: if we send them home, we are effectively changing our policy of non-interaction with the westerners. Ignoring them and allowing them to stay, however, means permitting a western presence despite all our efforts.;;;;;;;;;;;;;
EVTOPTA13010;Send them home.;Les laisser rentrer chez eux.;Lasst sie heimkehren.;;Dejadles regresar a casa.;;;;;;;;;
EVTOPTB13010;Allow them to stay.;Les obliger à rester.;Zwingt sie, zu bleiben.;;Obligadles a quedarse.;;;;;;;;;
EVTNAME13015;Foreign Smugglers;Contrebandiers étrangers;Ausländische Schmuggler;;Contrabandistas extranjeros;;;;;;;;;
