Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME96000;War is Upon Us;La Guerre c'est Ici;Der Krieg Kommt;;;;;;;;;;;
EVTDESC96000;\n\n$COUNTRY$ is in a state of total war with one of the Great Powers of the world. In a modern age where warfare has the capability of killing millions, the very future of our nation could be at stake. The call has gone out to the $COUNTRY_ADJ$ people: put aside your petty differences," your day-to-day lives and your personal ambitions. $COUNTRY$ must pull together in this, our hour of need!;;;;;;;;;;;;x",,;
EVTOPTA96000;We shall be victorious!;Nous serons victorieux!;Wir sind siegreich!;;;;;;;;;;;
EVTNAME96010;The Treaty of $CAPITAL$;Le Traité de $CAPITAL$;Der Vertrag von $CAPITAL$;;;;;;;;;;;
EVTDESC96010;\n\nWe have lost the war, and like vultures the victors have descended upon us. We have been forced to the bargaining table to accept humiliating terms regarding the breakup of our empire, with many of our lands simply given away, and we shall be permitted no overseas holdings whatsoever. This is a moment that shall be remembered in $COUNTRY$ for years to come.;;;;;;;;;;;;;
EVTNAME96004;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;
EVTDESC96004;\n\nThe constant state of war $COUNTRY$ is under has taken its toll on our people. Shortages of basic goods and the failure to deliver swift victory have worn down the enthusiasm with which the $COUNTRY_ADJ$ people initially greeted the war effort. If things don't turn around soon, we could face growing weariness and unrest within our own borders.;;;;;;;;;;;;;
EVTOPTA96004;We will win this war!;Nous gagnerons la guerre!;Wir gewinnen den Krieg!;;;;;;;;;;;
EVTNAME96005;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;
EVTDESC96005;\n\nGrowing demonstrations in $CAPITAL$ demonstrate the prevailing attitude of the $COUNTRY_ADJ$ people: get us out of the war, and soon. Too many have been lost, too many sacrifices made, and all for what? The people wish to go back to their regular lives, without the constant specter of war hanging over their heads.;;;;;;;;;;;;;
EVTOPTA96005;Do not lose hope!;Ne perdez pas l'espoir!;Verlieren Sie nicht Hoffnung!;;;;;;;;;;;
EVTNAME96006;Total Collapse;Effondrement Total;Gesamteinsturz;;;;;;;;;;;
EVTDESC96006;\n\nThe war effort is not going well, to put it lightly. Advisors are saying that $COUNTRY$ should sue for peace, do whatever it takes to end this war before something even more terrible happens. The people are on the brink of revolt. We must act!;;;;;;;;;;;;;
EVTOPTA96006;Disaster!;Désastre!;Unfall!;;;;;;;;;;;
EVTOPTA96010;We welcome peace;La paix est bienvenue;Frieden ist willkommen;;;;;;;;;;;
EVTNAME96013;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;
EVTDESC96013;\n\n$FROMCOUNTRY$ has been forced to concede defeat in its war, and we have been invited to the negotiating table to discuss the potential breakup of their empire. This could potentially mean we see $COUNTRY_ADJ$ lands returned to us, though if we forego our claims it could mean salvaging a relationship with $FROMCOUNTRY$.;;;;;;;;;;;;;
EVTOPTA96013;We will attend the talks;Nous joindrons les entretiens;Wir gehen zu den Gesprächen;;;;;;;;;;;
EVTOPTB96013;We will not attend;Nous n'irons pas;Wir gehen nicht;;;;;;;;;;;
EVTNAME96014;The Breakup of $FROMCOUNTRY$;La Dissolution de $FROMCOUNTRY$;Das Auseinanderbrechen von $FROMCOUNTRY$;;;;;;;;;;;
EVTDESC96014;\n\n$FROMCOUNTRY$ has been forced to concede defeat in its war, and now treaty talks have begun to discuss the breakup of their empire. As an enemy of $FROMCOUNTRY$, our place at the table is assured. At the very least, any $COUNTRY_ADJ$ lands currently in $FROMCOUNTRY_ADJ$ possession should be returned.;;;;;;;;;;;;;
EVTOPTA96014;We simply wish our lands back;Nous voulons nos terres;Wir wünschen unsere Länder;;;;;;;;;;;
EVTNAME96015;$COUNTRY_ADJ$ Freedom;Liberté $COUNTRY_ADJ$;$COUNTRY_ADJ$ Freiheit;;;;;;;;;;;
EVTDESC96015;\n\nThe defeat of $FROMCOUNTRY$ in their war has forced them to the negotiating table, and one of the terms for the breakup of their empire is our release from their direct rule. This would mean casting out $FROMCOUNTRY_ADJ$ officials and potentially turning them into an enemy. We could maintain our close ties with $FROMCOUNTRY$ even with our freedom, though this would mean passing up a chance for freedom and goodwill from $FROMCOUNTRY$'s enemies.;;;;;;;;;;;;;
EVTOPTA96015;$COUNTRY$ shall be free;$COUNTRY$ sera libre;$COUNTRY$ ist frei;;;;;;;;;;;
EVTOPTB96015;$FROMCOUNTRY$ is our ally;$FROMCOUNTRY$ est notre allié;$FROMCOUNTRY$ ist unser Verbündetes;;;;;;;;;;;
EVTNAME96016;The $FROMCOUNTRY_ADJ$ Colonies;Les Colonies $FROMCOUNTRY_ADJ$;Das $FROMCOUNTRY_ADJ$ Kolonien;;;;;;;;;;;
EVTDESC96016;\n\nOne of the matters discussed at the treaty talks is what to do with $FROMCOUNTRY$'s colonial holdings. They should not be allowed to keep these lands, but determinining how they should be disposed of is no simple matter. For now, agreement has been reached determining some of the territory, and any remaining will have to be negotiated over in the coming year.;;;;;;;;;;;;;
EVTOPTA96016;We will take what we can. §RGain 2 infamy§W;Nous voulons autant que possible;Wir wünschen so viel wie möglich;;;;;;;;;;;
EVTOPTB96016;Our only interest is limiting $FROMCOUNTRY_ADJ$ power. §RGain 1 infamy§W;Nous voulons seulement;Wir wünschen nur wenig;;;;;;;;;;;
EVTOPTC96016;We have no interest in their colonies. §GLose 2 infamy§W;Nous ne voulons pas les colonies;Wir wünschen nicht die Kolonien;;;;;;;;;;;
EVTDESC96017;\n\nOne of the matters discussed at the treaty talks is what to do with $FROMCOUNTRY$'s colonial holdings. We are not a great power, and it's possible that even if pursue some of their colonies for our own we'll end up with nothing... but if we do not try, we'll end up with nothing for sure. Even so, making the attempt could be seen as aggressive.;;;;;;;;;;;;;
EVTNAME96020;The War is Over;La Guerre c'est Finie;Der Krieg ist Fertig;;;;;;;;;;;
EVTDESC96020;\n\nWith the war finished, the $COUNTRY_ADJ$ people have taken to the streets of $CAPITAL$ in celebration. The toll of the war has been heavy, but today $COUNTRY$ is simply happy to be at peace.;;;;;;;;;;;;;
EVTOPTA96020;Long live $COUNTRY$!;Vive $COUNTRY$!;Lieben lang $COUNTRY$!;;;;;;;;;;;
EVTDESC96022;\n\n$FROMCOUNTRY$ has been created from the ether, but the powers-that-be have determined at least some of their lands rightfully belong to $COUNTRY$ and should be returned to us. The $COUNTRY_ADJ$ people have rejoiced at this news.;;;;;;;;;;;;;
EVTNAME96025;Enemy of my Enemy;Ennemi de mon Ennemi;Feind meines Feindes;;;;;;;;;;;
