Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
gtfo_on_title;Enable 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_on_desc;The Release Vassal decisions allow you to release vassals, and are otherwise kept hidden from view to avoid having them clutter up your decision list.;;;;;;;;;;;;;
gtfo_off_title;Disable 'Release Vassal' decisions;;;;;;;;;;;;;
gtfo_off_desc;Your decision list will now be uncluttered!;;;;;;;;;;;;;
gtfo_on_switch_title;Play as released vassal;;;;;;;;;;;;;
gtfo_on_switch_desc;Enable this to play as the vassal you release. This is useful in multiplayer where you can't use the Play As button.;;;;;;;;;;;;;
gtfo_off_switch_title;Don't play as released vassal;;;;;;;;;;;;;
gtfo_off_switch_desc;Disable playing as vassals you release.;;;;;;;;;;;;;
gtfo_CHP_title;Grant Chiapas Independence;;;;;;;;;;;;;
gtfo_CHP_desc;We've had a good run, but it's time to end our rulership of Chiapas: if you love something, let it go!;;;;;;;;;;;;;
gtfo_CHP_switch_title;Grant Chiapas Independence;;;;;;;;;;;;;
gtfo_CHP_switch_desc;We've had a good run, but it's time to end our rulership of Chiapas: if you love something, let it go!;;;;;;;;;;;;;
gtfo_CEQ_title;Grant Equador Confederation Independence;;;;;;;;;;;;;
gtfo_CEQ_desc;We've had a good run, but it's time to end our rulership of Equador Confederation: if you love something, let it go!;;;;;;;;;;;;;
gtfo_CEQ_switch_title;Grant Equador Confederation Independence;;;;;;;;;;;;;
gtfo_CEQ_switch_desc;We've had a good run, but it's time to end our rulership of Equador Confederation: if you love something, let it go!;;;;;;;;;;;;;
gtfo_ENT_title;Grant Entre Rios Independence;;;;;;;;;;;;;
gtfo_ENT_desc;We've had a good run, but it's time to end our rulership of Entre Rios: if you love something, let it go!;;;;;;;;;;;;;
gtfo_ENT_switch_title;Grant Entre Rios Independence;;;;;;;;;;;;;
gtfo_ENT_switch_desc;We've had a good run, but it's time to end our rulership of Entre Rios: if you love something, let it go!;;;;;;;;;;;;;
gtfo_GCO_title;Grant Gran Colombia Independence;;;;;;;;;;;;;
gtfo_GCO_desc;We've had a good run, but it's time to end our rulership of Gran Colombia: if you love something, let it go!;;;;;;;;;;;;;
gtfo_GCO_switch_title;Grant Gran Colombia Independence;;;;;;;;;;;;;
gtfo_GCO_switch_desc;We've had a good run, but it's time to end our rulership of Gran Colombia: if you love something, let it go!;;;;;;;;;;;;;
gtfo_GUY_title;Grant Guyana Independence;;;;;;;;;;;;;
