Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ANY_ALL;Any province;;;;;;;;;;;;;
HAS_NOT_GOODS;produces ;;;;;;;;;;;;;
TRIGMOD_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;$head_of_government$ donosi, ze;$head_of_government$ informa de;$head_of_government$ rifersce che;$head_of_government$ arról számol be;;;;;;;
TRIGMODLOST_HEADER;The $MONARCHTITLE$ reports that;$head_of_government$ rapporte que;$head_of_government$ berichtet, dass;$head_of_government$ donosi, ze;$head_of_government$ informa de;$head_of_government$ rifersce che;$head_of_government$ arról számol be;;;;;;;
TRIGGER_CIV_PROGRESS_LESS;Civilization progress: §Y50§W%;;;;;;;;;;;;;
had_liberal_revolution;Liberal Revolution has ended;;;;;;;;;;;;;
liberal_revolution_in_progress;Ongoing Liberal Revolution;;;;;;;;;;;;;
indian_call_to_union;Indian Nationalism Has Begun;;;;;;;;;;;;;
attending_berlin_congress;Attending the Congress;;;;;;;;;;;;;
oriental_crisis_support_OE;Supports the Ottomans;;;;;;;;;;;;;
oriental_crisis_support_Egypt;Supports the Egyptians;;;;;;;;;;;;;
crimean_surrender;the Ottomans have surrendered;;;;;;;;;;;;;
colonial_chaos;Colonial Chaos;;;;;;;;;;;;;
colonial_chaos_desc;Our colony is in chaos, and we are in danger of losing it utterly if order is not restored soon!;;;;;;;;;;;;;
loss_of_control;Loss of Control;;;;;;;;;;;;;
loss_of_control_desc;We have lost control over the colony.;;;;;;;;;;;;;
nationalist_agitation;Nationalist Agitation;;;;;;;;;;;;;
nationalist_agitation_desc;Nationalists are active in the province, stirring up trouble with random acts of violence. If left unchecked, they may rise in rebellion against us.;;;;;;;;;;;;;
patriot_uprising;Patriot Uprising;;;;;;;;;;;;;
patriot_uprising_desc;Foreign patriots have taken control of the province.;;;;;;;;;;;;;
the_ikhwan;The Ikhwan;;;;;;;;;;;;;
the_ikhwan_desc;An alliance has been made with the Bedouin Wahhabists. Islam shall remain pure in our nation, in exchange for their military support.;;;;;;;;;;;;;
holy_city;The Holy City;;;;;;;;;;;;;
holy_city_desc;Mecca is the center of all Islam. To hold it is to stand above all others, and prove to them that the fate of all Islam lies in our hands.;;;;;;;;;;;;;
self_strengthening_movement;Self-Strengthening Movement;;;;;;;;;;;;;
drive_to_reunify;Reunification Drive;;;;;;;;;;;;;
drive_to_reunify_desc;We must reunite the country, at any cost!;;;;;;;;;;;;;
taiping_draft;Emergency Draft;;;;;;;;;;;;;
taiping_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;;
the_female_shortage;The Female Shortage;;;;;;;;;;;;;
christian_pamphlets;Christian Pamphlets;;;;;;;;;;;;;
flooding_modifier;Floods;;;;;;;;;;;;;
small_country_draft;Emergency Draft;;;;;;;;;;;;;
small_country_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;;
daimyo_draft;Emergency Draft;;;;;;;;;;;;;
daimyo_draft_desc;We must recruit all able-bodied men to fight!;;;;;;;;;;;;;
sons_of_liberty;Sons of Liberty;;;;;;;;;;;;;
sons_of_liberty_desc;A militia of pro-democracy liberals, determined to either see the United States returned to its democratic tradition or secede their state from the union.;;;;;;;;;;;;;
peasant_revolt;Open Revolt;;;;;;;;;;;;;
peasant_revolt_desc;There is increased agitation within the province, including riots and random violence which the local government has had difficulty putting down.;;;;;;;;;;;;;
shastar_vidya;Shastar Vidiya;;;;;;;;;;;;;
shastar_vidya_desc;The renowned Sikh fighting style, it is a martial art involving sword play ...and has made the Sikhs into fearsome combatants.;;;;;;;;;;;;;
gateway_to_harbor;Gateway to a New Land;;;;;;;;;;;;;
gateway_to_harbor_desc;Many immigrants from around the world will pass through our great harbor, and a great number of them will remain in the city.;;;;;;;;;;;;;
force_publique;Force Publique;;;;;;;;;;;;;
force_publique_title;Form the Force Publique;;;;;;;;;;;;;
force_publique_desc;The Force Publique was the official armed force of the Belgian-controlled Congo Free State. Though ostensibly formed to combat Arab Slavers, the soldiers were often used to enforce economic quotas with brutal punishment.;;;;;;;;;;;;;
rcmp;R.C.M.P.;;;;;;;;;;;;;
rcmp_desc;The Royal Canadian Mounted Police was formed to patrol the newly-acquired North-West Territories, eventually uniting with the Dominion Police to keep order throughout all Canadian provinces.;;;;;;;;;;;;;
national_instability;National Instability;;;;;;;;;;;;;
national_instability_desc;The country is in a state of turmoil, and is in danger of rebellions.;;;;;;;;;;;;;
home_of_the_mormons;Home of the Mormons;;;;;;;;;;;;;
home_of_the_mormons_desc;the Mormons believe in polygamy, the taking of many wives, and encourage their followers to have large families.;;;;;;;;;;;;;
gateway_to_america;Gateway to America;;;;;;;;;;;;;
gateway_to_america_desc;Many immigrants from Europe will pass through the gates of Ellis Island, and a great number of them will remain in New York City.;;;;;;;;;;;;;
carlist_sympathies;Carlist Sympathies;;;;;;;;;;;;;
carlist_sympathies_desc;A Carlist cell is at work in the province, and is quickly gaining sympathy for the rebels that wish to topple the Spanish government.;;;;;;;;;;;;;
christino_sympathies;Christino Sympathies;;;;;;;;;;;;;
christino_sympathies_desc;A Christino cell is at work in the province, and is quickly gaining sympathy for the rebels that wish to topple the Spanish government.;;;;;;;;;;;;;
war_torn;War Torn;;;;;;;;;;;;;
war_torn_desc;This province has been devastated by the rebellion.;;;;;;;;;;;;;
boxer_rebellion;Boxer Rebellion;;;;;;;;;;;;;
boxer_rebellion_desc;The province is currently held by the Boxer rebels, and is in great disarray.;;;;;;;;;;;;;
new_country;Newly-Established Country;;;;;;;;;;;;;
new_country_desc;This country has just been established, and its citizens are willing to work harder to keep it running - for the time being.;;;;;;;;;;;;;
jewish_diaspora;Jewish Diaspora;;;;;;;;;;;;;
jewish_diaspora_desc;The Jewish community is organizing in reaction to the creation of Israel.;;;;;;;;;;;;;
declaration_of_the_rights_of_man;Declaration of the Rights of Man;;;;;;;;;;;;;
declaration_of_the_rights_of_man_desc;The Declaration of the Rights of Man and of the Citizen, a fundamental document of the French Revolution, defined the individual and collective rights of all the estates of the realm as universal.;;;;;;;;;;;;;
caste_privileges;Caste Privilege;;;;;;;;;;;;;
