Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME203771_NEWS_TITLE;Loss of Liberty!;;;;;;;;;;;;;
EVTDESC203771_NEWS_LONG;European terrorist organizations have taken it upon themselves to destroy the symbol of American Liberty and have succeeded, today the statue of Liberty lies fallen and the world weeps.;;;;;;;;;;;;;
EVTDESC203771_NEWS_MEDIUM;The Statue of Liberty has been destroyed by terrorists, leaving the whole world shocked and in fear.;;;;;;;;;;;;;
EVTDESC203771_NEWS_SHORT;The Statue of Liberty has been destroyed by terrorists, leaving the whole world shocked and in fear.;;;;;;;;;;;;;
EVTDESC20002_NEWS_LONG;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage. The $COUNTRY_ADJ$ army stood by, waiting for the orders to attack the crowds, but some in $COUNTRY$ are considering whether it might be better to accede to the public's demands.;;;;;;;;;;;;;
EVTDESC20002_NEWS_MEDIUM;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage.;;;;;;;;;;;;;
EVTDESC20002_NEWS_SHORT;Thousands of people flooded into $CAPITAL$'s central square, demanding an end to the $COUNTRY_ADJ$ dictatorship with a democratic constitution and universal suffrage.;;;;;;;;;;;;;
EVTNAME20006_NEWS_TITLE;$COUNTRY_ADJ$ Dictator Assassinated!;;;;;;;;;;;;;
EVTDESC20006_NEWS_LONG;Today is a grim day for $COUNTRY$. The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radical liberals. The country has been thrown into mourning, though even now there is word that factions are maneuvering to either find a successor to take the president's place - or overthrow the $COUNTRY_ADJ$ dictatorship once and for all.;;;;;;;;;;;;;
EVTDESC20006_NEWS_MEDIUM;Today is a grim day for $COUNTRY$. The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radicals. The country has been thrown into mourning, though even now factions are maneuvering to find a successor to take the president's place.;;;;;;;;;;;;;
EVTDESC20006_NEWS_SHORT;The $COUNTRY_ADJ$ president has been shot dead in $CAPITAL$, the victim of an ambush plotted by radicals. Even now factions are maneuvering to find a successor to take the president's place.;;;;;;;;;;;;;
EVTNAME97205_NEWS_TITLE;Kiel Canal' Now Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
EVTDESC97205_NEWS_LONG;The recent military and administrative takeover of the province of Kiel by $COUNTRY$ has caused hefty discussions among the international trading companies, as this small North German territory homes the 'Kiel Canal'. Since its opening the canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;;
EVTDESC97205_NEWS_MEDIUM;The recent takeover of the 'Kiel Canal' by $COUNTRY$ has caused hefty discussions among the international trading companies. The canal is already considered an important sea traffic route, considerably shortening the traffic distances between the North and the Baltic Sea.;;;;;;;;;;;;;
EVTDESC97205_NEWS_SHORT;The recent takeover of the 'Kiel Canal' by $COUNTRY$ has caused hefty discussions among the international trading companies. The canal is already considered an important sea traffic route.;;;;;;;;;;;;;
EVTNAME97210_NEWS_TITLE;$COUNTRY_ADJ$ Plans For 'Kiel Canal' Revealed;;;;;;;;;;;;;
EVTDESC97210_NEWS_LONG;Local shipowner and businessmen from the province of Kiel presented to the $COUNTRY_ADJ$ government a concept for construction of the 'Kiel Canal',a waterway across the Cimbrian peninsula to shorten the traffic distances between the North and the Baltic Sea. Though the finalization of this canal would likely take some time it would also mark another historic point in the industrial and commercial development of $COUNTRY$. Neither the government nor the businessmen would comment on an exact starting date for the construction though.;;;;;;;;;;;;;
EVTDESC97210_NEWS_MEDIUM;Local shipowner and businessmen from the province of Kiel presented to the $COUNTRY_ADJ$ government a concept for construction of the 'Kiel Canal',a waterway across the Cimbrian peninsula to shorten the traffic distances between the North and the Baltic Sea.;;;;;;;;;;;;;
EVTDESC97210_NEWS_SHORT;Businessmen from Kiel presented to the $COUNTRY_ADJ$ government a concept for construction of the 'Kiel Canal',a waterway to shorten the traffic distances between the North and Baltic Sea.;;;;;;;;;;;;;
EVTNAME97225_NEWS_TITLE;$COUNTRY$ Completes Kiel Canal;;;;;;;;;;;;;
EVTDESC97225_NEWS_LONG;From the 16th century onwards there were repeated plans to dig a waterway across the Cimbrian peninsula, to shorten the traffic distances between the major harbors in the North and the Baltic Sea. With the 'Kiel Canal' finally complete and the Hamburg-American freighter, Palatia, being the first ship to pass through the construction of this canal has greatly increased the international prestige of $COUNTRY$. The $COUNTRY_ADJ$ Board of Trade has not commented on possible annual revenues so far but is expected to do so in the near future.;;;;;;;;;;;;;
EVTDESC97225_NEWS_MEDIUM;With the 'Kiel Canal' finally complete, the construction of this waterway to shorten the traffic distances between the North and the Baltic Sea has greatly increased the international prestige of $COUNTRY$. The National Board of Trade has not commented on annual revenues so far.;;;;;;;;;;;;;
EVTDESC97225_NEWS_SHORT;With the 'Kiel Canal' complete, its construction to shorten the traffic distances between the North and Baltic Sea has greatly increased the international prestige of $COUNTRY$.;;;;;;;;;;;;;
EVTNAME97255_NEWS_TITLE;Suez Canal Under $COUNTRY_ADJ$ Control;;;;;;;;;;;;;
EVTDESC97255_NEWS_LONG;The recent military and administrative takeover of the region around Suez by $COUNTRY$ has caused a major turmoil among the international trading companies, as this territory homes the 'Suez Canal'. Since its opening the canal is already considered the most important sea traffic route in the world, substantially shortening the traffic distances between European and Asian harbors. All major trading companies have already applied to the $COUNTRY_ADJ$ Board of Trade for formal rights of passage through the canal.;;;;;;;;;;;;;
EVTDESC97255_NEWS_MEDIUM;The recent takeover of the 'Suez Canal' by $COUNTRY$ has caused a turmoil among the international trading companies. The canal is already considered the most important sea traffic route, substantially shortening the traffic distances between Europe and Asia.;;;;;;;;;;;;;
EVTDESC97255_NEWS_SHORT;The takeover of the 'Suez Canal' by $COUNTRY$ has caused a turmoil among the international trading companies. The canal is already considered the most important sea traffic route.;;;;;;;;;;;;;
EVTNAME97265_NEWS_TITLE;$COUNTRY$ Reveals Plans For 'Suez Canal';;;;;;;;;;;;;
EVTDESC97265_NEWS_LONG;$COUNTRY_ADJ$ engineers have officially presented to the regional Egyptian government a concept for construction of a waterway directly linking the Mediterranean to the Red Sea - calling it the 'Suez Canal'. According to the engineering lead team 'the construction of this canal can be done within a few years - provided that problems of any other than a technical kind will not arise'. Local officials have not commented on an exact starting date for the construction but denied repeating rumors that the $COUNTRY_ADJ$ government itself would be behind the project.;;;;;;;;;;;;;
EVTDESC97265_NEWS_MEDIUM;$COUNTRY_ADJ$ engineers have presented to the regional Egyptian government a concept for construction of a waterway directly linking the Mediterranean to the Red Sea - calling it the 'Suez Canal'. Officials have not commented on an exact starting date for the construction.;;;;;;;;;;;;;
