;;;;;;;;;;;;;x,,
separatist_rebels_title;Patriot;;;;;;;;;;;;x,,
separatist_rebels_name;$CULTURE$ Patriots;;;;;;;;;;;;x,,
separatist_rebels_desc;Patriot rebels dream of unification with their cultural kin under a free banner, and any province they gain control of will eventually defect to a neighboring country of their culture.;;;;;;;;;;;;x,
separatist_rebels_army;$CULTURE$ Patriots;;;;;;;;;;;;x,,
indian_nationalists_title;Indian Nationalist;Pan-nationalistes;Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
indian_nationalists_name;Indian Nationalists;$UNION_ADJ$ - Pan-nationalistes;$UNION_ADJ$ Pan-Nationalisten;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
indian_nationalists_desc;Indian nationalists seek to unify the sub-continent into a free and independent nation-state, by any means necessary. This includes breaking free from foreign oppressors and uniting with their cultural kin.;;;;;;;;;;;;x,
indian_nationalists_army;Indian Nationalists;$UNION$ - Jeunes brigades;Junge $UNION$ Brigaden;;;;;;;;;;;;x;;;;;;;;;;;;;;,,
socialist_rebels_title;Militant Socialist;;;;;;;;;;;;x,,
socialist_rebels_name;Militant Socialists;;;;;;;;;;;;x,,
socialist_rebels_desc;In a democracy, militant conservatives will seek to enforce a socialist government. In any other country, they will seek to establish a democracy with a socialist government.;;;;;;;;;;;;x
socialist_rebels_army;Militant Socialists;;;;;;;;;;;;x,,
christino_rebels_title;Christino;;;;;;;;;;;;x,,
christino_rebels_name;Christinos;;;;;;;;;;;;x,,
christino_rebels_desc;These rebels support the royal line of Ferdinand VII, and consider the current king to be a pretender. They intend to reinstall the rightful queen, and restore the liberal reforms enacted by the previous royal line.;;;;;;;;;;;;x
christino_rebels_army;Christinos;;;;;;;;;;;;x,,
independence_rebels_title;Independence;;;;;;;;;;;;x,,
independence_rebels_name;Independence Rebels;;;;;;;;;;;;x,,
independence_rebels_desc;These rebels seek to free the country from its vassal status.;;;;;;;;;;;;x,,
independence_rebels_army;Independence Rebels;;;;;;;;;;;;x,,
turkish_nationalist_rebels_title;Turkish Nationalist;;;;;;;;;;;;x,,
turkish_nationalist_rebels_name;Turkish Nationalists;;;;;;;;;;;;x,,
turkish_nationalist_rebels_desc;Turkish Nationalists seek to topple the Ottoman monarchy, replacing it with a liberal republic.;;;;;;;;;;;;x,
turkish_nationalist_rebels_army;Turkish Nationalists;;;;;;;;;;;;x,,
native_rebels_title;Anti-Colonial;;;;;;;;;;;;x,,
native_rebels_name;Anti-Colonial Rebels;;;;;;;;;;;;x,,
native_rebels_desc;These rebels seek to restore rulership of the country to its proper native culture.;;;;;;;;;;;;x,,
native_rebels_army;Anti-Colonial Rebels;;;;;;;;;;;;x,,
liberal_rebels_desc;In an absolute monarchy, Jacobins will seek to impose a constitutional monarchy. Otherwise, Jacobins will strive to create a democratic government with a liberal ideology and a focus on political reform.;;;;;;;;;;;;;x
