Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NORMAL_WAR_LIBERATE_BALKANS_NAME;$ORDER$$FIRST$-$SECOND$ War of the Balkans;;;;;;;;;;;;;
AGRESSION_WAR_LIBERATE_BALKANS_NAME;$ORDER$$FIRST$-$SECOND$ War of the Balkans;;;;;;;;;;;;;
substate_acquire_state;Acquire State for Substate;;;;;;;;;;;;;
substate_acquire_state_desc;Acquire an enemy ßYstateßW for our substate, vassal or spherling.;;;;;;;;;;;;;
substate_acquire_state_short;$THIRD$ acquires $STATE$;;;;;;;;;;;;;
substate_acquire_state_setup;Give $STATE$ to $THIRD$ from $RECIPIENT$;;;;;;;;;;;;;
imperial_reconquest;Imperial Reconquest;;;;;;;;;;;;;
imperial_reconquest_desc;Acquire an enemy ßYstateßW where our Empire has ßYtraditionally ruledßW;;;;;;;;;;;;;
imperial_reconquest_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
imperial_reconquest_setup;Acquire core $STATE$ from $RECIPIENT$;Prendre …tat clÅE$STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
reparations;Pay Reparations;;;;;;;;;;;;;
reparations_short;Enforce payment of reparations from $RECIPIENT$;;;;;;;;;;;;;
reparations_setup;Enforce payment of reparations from $RECIPIENT$;;;;;;;;;;;;;
reparations_desc;Enforce a ßYcountryßW to pay reparations;;;;;;;;;;;;;
demand_african_port_casus_belli;Demand African Port;;;;;;;;;;;;;
demand_african_port_casus_belli_short;Demand a port from $RECIPIENT$;;;;;;;;;;;;;
demand_african_port_casus_belli_setup;Demand $RECIPIENT$ to give us a port province and put them within our control.;;;;;;;;;;;;;
demand_african_port_casus_belli_desc;Force an African ßYuncivilized countryßW to give us a port province and put them within our control.;;;;;;;;;;;;;
liberate_balkans;Liberate Balkans;Peuple libre;Freies Volk;;;;;;;;;;;
liberate_balkans_desc;Liberate the ßYentire BalkansßW from its oppressor;LibÈrer un ßYpaysßW de ses oppresseurs;Befreien Sie ein ßYLandßW von seinen UnterdrÅEkern.;;;;;;;;;;;
liberate_balkans_short;Liberate Balkans;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;;;;;;;;;;
liberate_balkans_setup;Free the Balkans from control of $RECIPIENT$;Prendre $STATE$ ÅE$RECIPIENT$ pour le rendre ÅE$THIRD$;Geben Sie $STATE$ an $THIRD$ von $RECIPIENT$ zurÅEk;;;;;;;;;;;
WEGAINCB_3;$CASUS$' Casus Belli;Casus belli "$CASUS$";Kriegsgrund '$CASUS$';;Casus belli '$CASUS$';;;;;;;;;
WEGAINCB_LOG;We gained the '$CASUS$' Casus Belli against $ENEMY$.;Nous avons obtenu un casus belli "$CASUS$" contre $ENEMY$.;Wir erhielten den Kriegsgrund '$CASUS$' gegen $ENEMY$.;;Tenemos un Casus belli '$CASUS$' contra $ENEMY$.;;;;;;;;;
AGRESSION_WAR_NAME_TUR_BUL;$ORDER$ Balkan War;;;;;;;;;;;;;
AGRESSION_WAR_NAME_TUR_SER;$ORDER$ Balkan War;;;;;;;;;;;;;
AGRESSION_WAR_NAME_TUR_GRE;$ORDER$ Balkan War;;;;;;;;;;;;;
AGRESSION_WAR_NAME_TUR_MON;$ORDER$ Balkan War;;;;;;;;;;;;;
NORMAL_WAR_NATURAL_BORDERS_NAME;$ORDER$$FIRST$-$SECOND$ War of French Restoration;;;;;;;;;;;;;
AGRESSION_WAR_NATURAL_BORDERS_NAME;$ORDER$$FIRST$-$SECOND$ War of French Restoration;;;;;;;;;;;;;
restore_natural_borders;Restore Natural Borders;Prendre territoire clÈ;Kernprovinz erwerben;;;;;;;;;;;
restore_natural_borders_desc;Acquire an enemy ßYstateßW where France has ßYtraditionally ruledßW;Prendre un ßY…tatßW ennemi o˘ nous avons des ßYprovinces principalesßW;Erobern Sie einen feindlichen ßYStaatßW, in dem wir ßYKernprovinzenßW haben.;;;;;;;;;;;
restore_natural_borders_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
restore_natural_borders_setup;Acquire core $STATE$ from $RECIPIENT$;Prendre …tat clÈ $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
liberate_puppet;Liberate and Puppet Country;;Befreit das Land;;;;;;;;;;;
liberate_puppet_desc;Liberate and puppet an ßYentire countryßW from its oppressors\n\nßYNOTE: ßRDo not use it with normal Free people or Liberate Country CBs for other non existent countries.ßW;;Befreit ein ßYganzes LandßW von seinen Unterdr¸ckern;;;;;;;;;;;
liberate_puppet_short;$THIRD$ acquires $STATE$ and becomes a puppet;$THIRD$ prend $STATE$;$THIRD$ erwirbt $STATE$;;$THIRD$ adquiere $STATE$;;;;;;;;;
liberate_puppet_setup;Puppet and return $STATE$ to $THIRD$ from $RECIPIENT$;Prendre $STATE$ ‡ $RECIPIENT$ pour le rendre ‡ $THIRD$;Gebt $STATE$ an $THIRD$ von $RECIPIENT$ zur¸ck;;Arrebatar el estado de $STATE$ de manos de $RECIPIENT$ y devolvÈrselo a $THIRD$;;;;;;;;;
dismantle_factories_desc;Dismantle factories and cancel all constructions and recruitments.\n\nßYNOTE: ßRBecause of coding limitations this CB only works with one country at a time, if you are going to add it for more than one country then make sure to peace out separately.ßW;;Reiﬂt Forts und Marinest¸tzpunkte ab.;;;;;;;;;;;
dismantle_factories;Dismantle Industry;;Reiﬂt Forts ab;;;;;;;;;;;
dismantle_factories_short;Dismantle industry in $STATE$;;Reiﬂt Bauten in $STATE$ ab;;;;;;;;;;;
dismantle_factories_setup;Dismantle factories and cancel all constructions and recruitments in $STATE$;;Reiﬂt Forts und Marinest¸tzpunkte in $STATE$ ab;;;;;;;;;;;
take_colony;Take Colony;Une place au soleil;Ein Platz an der Sonne;;Un lugar bajo el sol;;;;;;;;;
take_colony_short;Acquire $THIRD$; Prendre l'Â∞íat de $STATE$;Kolonie $STATE$ erobern;;Adquirir $STATE$;;;;;;;;;
take_colony_setup;Acquire the colony of $THIRD$ from $RECIPIENT$;Prendre colonie $STATE$ ?$RECIPIENT$;Kolonie $STATE$ von $RECIPIENT$ erobern.;;Adquirir la colonia de $STATE$ de manos de $RECIPIENT$;;;;;;;;;
