Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
TAG_social_liberal;Social Liberal Party;;;;;;;;;;;;;
disable_state_election_events_title;Disable State Election Events;;;;;;;;;;;;;
disable_state_election_events_desc;Tired of the event spree during an election? Click here to toggle them off! (Note: Country-wide election events will remain active);;;;;;;;;;;;;
enable_state_election_events_title;Enable State Election Events;;;;;;;;;;;;;
enable_state_election_events_desc;Want the usual state-wide election events back? Click here to toggle them on!;;;;;;;;;;;;;
disable_rgo_change_events_title;Disable RGO Change Events;;;;;;;;;;;;;
disable_rgo_change_events_desc;Tired of your farmers asking you for the 42nd time to intensify farming procedures? You don't want to change your grain provinces into wool? (Note: Colonial Farming events will remain active);;;;;;;;;;;;;
enable_rgo_change_events_title;Enable RGO Change Events;;;;;;;;;;;;;
enable_rgo_change_events_desc;Want to have the chance to change your RGO goods again? Click here to toggle the events on!;;;;;;;;;;;;;
growth_focus;Encourage Population Growth (GLOBAL EFFECT!);;;;;;;;;;;;;
progress_focus;Encourage Progress;;;;;;;;;;;;;
order_focus;Encourage Order;;;;;;;;;;;;;
education_focus;Encourage Education (GLOBAL EFFECT!);;;;;;;;;;;;;
the_metro;The Metro (+);;;;;;;;;;;;;
the_metro_desc;Rapid transit began with the opening in 1863 of the Metropolitan Railway, now part of the London Underground. Rapid transit evolved from steam railways during the late 19th century. In 1890 the City & South London Railway in London was the first electric rapid transit railway. The electric railway eventually was merged into London Underground. The technology swiftly spread to other cities in Europe, as in Budapest, Hungary in 1896, and then to the United States. A number of elevated systems were built, starting with the 1893 100% designed electric Liverpool Overhead Railway, which also had a small underground section complete with station. The elevated railways in Chicago and New York were converted to electric from steam propulsion.;;;;;;;;;;;;;
skyscrapers;Skyscraper Architecture;;;;;;;;;;;;;
skyscrapers_desc;Modern skyscrapers are built with steel or reinforced concrete frameworks and curtain walls of glass or polished stone. They utilize mechanical equipment such as water pumps and elevators. Until the 19th century, buildings of over six storeys were rare, as having great numbers of stairs to climb was impractical for inhabitants, and water pressure was usually insufficient to supply running water above 50 m (164 ft). Most early skyscrapers emerged in the land-strapped areas of Chicago, London, and New York toward the end of the 19th century. A land boom in Melbourne, Australia between 1888-1891 spurred the creation of a significant number of early skyscrapers, though none of these were steel reinforced and few remain today.;;;;;;;;;;;;;
social_engineering;Social Engineering (!);;;;;;;;;;;;;
social_engineering_desc;Social engineering is a discipline in social science that refers to efforts to influence popular attitudes and social behaviors on a large scale, whether by governments or private groups. In the political arena, the counterpart of social engineering is political engineering. Virtually all law and governance has the effect of seeking to change behavior and could be considered ''social engineering'' to some extent. Governments also influence behavior more subtly through incentives and disincentives built into economic policy and tax policy, for instance, and have done so for centuries.;;;;;;;;;;;;;
technocracy;Technocracy (!);;;;;;;;;;;;;
