Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
AIN_radical;Radical Faction;;;;;;;;;;;;;
ARB;Arabia;;;;;;;;;;;;;
ARB_ADJ;Arabian;;;;;;;;;;;;;
ARB_democracy;Arab Republic;;;;;;;;;;;;;
ARB_proletarian_dictatorship;Arab Republic;;;;;;;;;;;;;
ARB_parliamentary_republic;Arab Republic;;;;;;;;;;;;;
ARB_fascist_dictatorship;Free Arab State;;;;;;;;;;;;;
ARB_reactionary;Al Sa'ud;;;;;;;;;;;;;
ARB_reactionary2;Al Rashid;;;;;;;;;;;;;
ARB_conservative;Al Muhafidh;;;;;;;;;;;;;
ARB_liberal;Al Mutaharir;;;;;;;;;;;;;
ARB_radical;Al Anarkiliberali;;;;;;;;;;;;;
ARB_socialist;Al Ishtiraki;;;;;;;;;;;;;
ARB_communist;Al Shiu'i;;;;;;;;;;;;;
ARB_fascist;Al Fashi;;;;;;;;;;;;;
BYE;Belarus;;;;;;;;;;;;;
BYE_ADJ;Belarusian;;;;;;;;;;;;;
BYE_conservative;Slavophile;Slavophile;Slawophile;;;;;;;;;;;
BYE_liberal;Westerniser;Westerniser;Westler;;;;;;;;;;;
BYE_communist;Social Democratic;Social-démocrate;Social Democratic;;;;;;;;;;;
BYE_communist_2;Bolshevik;Bolshevik;Bolschewiki;;;;;;;;;;;
BYE_socialist;Menshevik;Menshevik;Menschewiki;;;;;;;;;;;
BYE_reactionary;Panslavic;Panslavic;Panslawisten;;;;;;;;;;;
BYE_liberal_2;Kadets;Kadets;Kadetten;;;;;;;;;;;
BYE_conservative_2;Octobrists;Octobristes;Octobristen;;;;;;;;;;;
BYE_socialist_2;Populists;Populistes;Populisten;;;;;;;;;;;
BYE_socialist_3;Socialist Revolutionary;Révolutionnaire socialiste;Sozialrevolutionäre;;;;;;;;;;;
BYE_radical;Radicals;Radicaux;Radikale;;;;;;;;;;;
BYE_fascist;Fascists;Fascistes;Faschisten;;;;;;;;;;;
CEQ_radical;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
CNG_ADJ;Zairean;;;;;;;;;;;;;
GXI;Guangxi;Clique de Guangxi;Guangxi-Clique;;;;;;;;;;;
KMT_reactionary_2;Kuomintang Yang;;;;;;;;;;;;;
KUK_democracy;Austria-Hungary;;;;;;;;;;;;;
KUK_democracy_ADJ;Austro-Hungarian;;;;;;;;;;;;;
PLC_conservative;Narodowa-Demokracja;National-démocratique;Narodowa-Demokracja;;Narodowa-Demokracja;;;;;;;;;
PLC_radical;Stronnictwo Radykalne;Parti radical;Stronnictwo Radykalne;;Stronnictwo Radykalne;;;;;;;;;
PLC_communist;Partia Komunistyczna;Parti communiste;Partia Komunistyczna;;Partia Komunistyczna;;;;;;;;;
SPA_reactionary;Comunión Apostólicos;Comunión Apostólicos;Comunión Apostólicos;;;;;;;;;;;
SYL;Transylvania;;;;;;;;;;;;;
SYL_ADJ;Transylvanian;;;;;;;;;;;;;
TRZ_absolute_monarchy;Trarza;;;;;;;;;;;;;
TRZ_absolute_monarchy_ADJ;Maures;;;;;;;;;;;;;
TUR_parliamentary_republic_ADJ;Turkish;;;;;;;;;;;;;
YNN;Yunnan;Clique de Yunnan;Yunnan-Clique;;;;;;;;;;;
XIN;Xinjiang;Clique de Xinjiang;Xinjiang-Clique;;;;;;;;;;;
BUG_prussian_constitutionalism;Buganda;;;;;;;;;;;;;
BUG_absolute_monarchy_ADJ;Baganda;;;;;;;;;;;;;
BUG_prussian_constitutionalism_ADJ;Baganda;;;;;;;;;;;;;
