Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
immigration_policy;Migration Policy;Immigration Policy;Immigration Policy;;Immigration Policy;;;;;;;;;
nobody_gets_out;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;
nobody_gets_out_l;Nobody Gets Out;Charcutage électoral;Wahlkreisschiebungen;;División fraudulenta de distritos;;;;;;;;;
nobody_gets_out_desc;Nobody gets out of here alive. Not legally, anyway.;Les circonscriptions électorales sont délibérément modifiées à des fins électorales, ce qui signifie que les voix pour le parti dirigeant comptent davantage. Le parti dirigeant peut recourir au charcutage électoral pour que la population vote pour lui.;Wahlkreise oder -bezirke werden für Wahlen nach Belieben modifiziert. Als Resultat daraus zählen die Stimmen für die Regierungspartei mehr. Die Regierungspartei kann Wahlkreisschiebungen einsetzen, um die Bevölkerung dazu zu bewegen, für sie zu stimmen.;;Se modifican de manera deliberada los distritos o las fronteras electorales con fines interesados, lo que significa que los votos para el partido gobernante tienen más valor. El partido gobernante puede utilizar esta práctica para conseguir que la gente lo vote.;;;;;;;;;
culture_immigration;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;
culture_immigration_l;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;
culture_immigration_desc;The government only encourages immigrants from accepted and primary cultures.;Le vote des électeurs n'est pas confidentiel. Le parti dirigeant sait pour qui vote la population et peut faire pression pour l'inciter à voter pour lui.;Die Entscheidungen der Wähler sind nicht vertraulich. Die Regierungspartei weiß, wen die Bevölkerung wählt und kann so Druck auf die Bevölkerung ausüben, für sie zu stimmen.;;El voto no es secreto. El partido gobernante sabe a quién vota la gente y puede presionar a la población con fines electorales.;;;;;;;;;
wealth_immigration;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;
wealth_immigration_l;Wealth Immigration Policy;Bulletins non secrets;Öffentliche Wahlgänge;;Voto no secreto;;;;;;;;;
wealth_immigration_desc;Immigration is pay-your-way, allowing only wealthy individuals into the country.;Le vote des électeurs n'est pas confidentiel. Le parti dirigeant sait pour qui vote la population et peut faire pression pour l'inciter à voter pour lui.;Die Entscheidungen der Wähler sind nicht vertraulich. Die Regierungspartei weiß, wen die Bevölkerung wählt und kann so Druck auf die Bevölkerung ausüben, für sie zu stimmen.;;El voto no es secreto. El partido gobernante sabe a quién vota la gente y puede presionar a la población con fines electorales.;;;;;;;;;
open_immigration;Open Immigration;Bulletins secrets;Nicht-öffentliche Wahlgänge;;Voto secreto;;;;;;;;;
open_immigration_l;Open Immigration;Bulletins secrets;Nicht-öffentliche Wahlgänge;;Voto secreto;;;;;;;;;
open_immigration_desc;Our country accepts all comers with open arms.;Le vote des électeurs est confidentiel pour ne pas qu'ils soient influencés (corruption ou intimidation). Le parti dirigeant ne peut pas affecter le vote des électeurs.;Die Entscheidungen der Wähler werden vertraulich behandelt, um Bestechungen oder Einschüchterungen zu verhindern. Die Regierungspartei kann die Stimmabgaben der Bevölkerung nicht beeinflussen.;;La decisión de los votantes es confidencial, para impedir que alguien intimide o soborne a los votantes. El partido gobernante no puede influir en los votos de la gente.;;;;;;;;;
implement_fpp_title;Implement First Past The Post;Implement First Past The Post;;Implement First Past The Post;;;;;;;;;;
implement_fpp_desc;The candidate with the most votes wins.;Le candidat qui obtient le plus de voix l'emporte.;Der Kandidat mit den meisten Stimmen gewinnt.;;Gana el candidato con más votos.;;;;;;;;;
implement_jm_title;Implement Jefferson Method;Implement Jefferson Method;;Implement Jefferson Method;;;;;;;;;;
implement_jm_desc;The Jefferson Method is a highest averages method for allocating seats.;La méthode de Jefferson correspond à la méthode des moyennes les plus hautes pour attribuer des sièges.;Die Jefferson-Methode ist eine Methode der höchsten Querschnittswerte zur Zuteilung der Sitze.;;El método Jefferson es un método de asignación de escaños basado en medias superiores.;;;;;;;;;
implement_pr_title;Implement Proportional Representation;Implement Proportional Representation;;Implement Proportional Representation;;;;;;;;;;
implement_pr_desc;The percentage of votes that groups of candidates obtain in elections equals the percentage of seats they receive;Le pourcentage de voix que les groupes de candidats obtiennent lors des élections correspondent au pourcentage de sièges qu'ils reçoivent.;Der Prozentsatz an Stimmen, den Kandidatengruppen bei Wahlen erzielen, ist gleich dem Prozentsatz an Sitzen, den sie erhalten.;;El porcentaje de votos obtenido por los grupos en las elecciones equivale al de escaños que reciben.;;;;;;;;;
oppression;Oppression;Oppression;Oppression;;Oppression;;;;;;;;;
oppression_l;Oppression;Oppression;Oppression;;Oppression;;;;;;;;;
oppression_desc;Racism is the norm and minorities are constrained by blatant legal requirements, relegating them to second-class status.;Oppression;Oppression;;Oppression;;;;;;;;;
jim_crow_l;Jim Crow;Jim Crow;Jim Crow;;Jim Crow;;;;;;;;;
de_facto;De Facto;De Facto;De Facto;;De Facto;;;;;;;;;
de_facto_l;De Facto;De Facto;De Facto;;De Facto;;;;;;;;;
de_facto_desc;Legislation targeting minorities is theoretically illegal," but de facto racism and segregation exist in many facets of society under so-called ""separate but equal"" doctrine.;De Facto;De Facto;;De Facto;;;;;;;;;
