Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#State Localisations - Africa;;;;;;;;;;;;;;
#############################################;;;;;;;;;;;;;;
ITA_1848;Eritrea;;;;;;;;;;;;;
ETH_1864;Galla;;;;;;;;;;;;;
ETH_1855;Amhara;;;;;;;;;;;;;
FRA_1875;Jibuti;;;;;;;;;;;;;
ENG_1873;Adal;;;;;;;;;;;;;
ITA_1868;Jubaland;;;;;;;;;;;;;
ITA_1872;Somaliland;;;;;;;;;;;;;
ENG_1846;Equatoria;;;;;;;;;;;;;
GER_2029;North Swahili Coast;;;;;;;;;;;;;
GER_2039;South Swahili Coast;;;;;;;;;;;;;
GER_2034;Ruanda-Burundi;;;;;;;;;;;;;
GER_2044;Usambara;;;;;;;;;;;;;
GER_2043;Tanganyika;;;;;;;;;;;;;
GER_2041;South Tanganyika;;;;;;;;;;;;;
ENG_2012;Barotseland;;;;;;;;;;;;;
POR_2064;Mocambique-Niassa;;;;;;;;;;;;;
POR_2059;Zambezia-Sofala;;;;;;;;;;;;;
FRA_2123;Comoros-Mayotte;;;;;;;;;;;;;
GER_2078;Hereroland;;;;;;;;;;;;;
SAF_2083;Walvis Bay;;;;;;;;;;;;;
GER_2084;Namaqualand;;;;;;;;;;;;;
POR_2000;Cabinda;;;;;;;;;;;;;
GER_1956;Coastal Cameroons;;;;;;;;;;;;;
GER_1958;South Cameroons;;;;;;;;;;;;;
GER_1960;North Cameroons;;;;;;;;;;;;;
FRA_1962;East Cameroons;;;;;;;;;;;;;
FRA_1965;Ubangi-Shari;;;;;;;;;;;;;
FRA_1824;Chad;;;;;;;;;;;;;
FRA_1818;Wadai;;;;;;;;;;;;;
FRA_1812;Air;;;;;;;;;;;;;
FRA_1815;Damergu;;;;;;;;;;;;;
ENG_1923;Yoruba States;;;;;;;;;;;;;
ENG_1931;Niger Delta;;;;;;;;;;;;;
ENG_1934;Igboland;;;;;;;;;;;;;
ENG_1928;Benin;;;;;;;;;;;;;
ENG_1944;Gombe;;;;;;;;;;;;;
ENG_1950;Adamawa;;;;;;;;;;;;;
ENG_1816;Bornu;;;;;;;;;;;;;
SOK_1948;Hausaland;;;;;;;;;;;;;
SOK_1939;Eastern Hausaland;;;;;;;;;;;;;
SOK_1808;Niger;;;;;;;;;;;;;
GER_1914;East Togoland;;;;;;;;;;;;;
GER_1916;West Togoland;;;;;;;;;;;;;
ENG_1907;Gold Coast;;;;;;;;;;;;;
ENG_1910;Ashanti;;;;;;;;;;;;;
ENG_1912;Wa;;;;;;;;;;;;;
FRA_1905;Lower Volta;;;;;;;;;;;;;
FRA_1894;East Ivory Coast;;;;;;;;;;;;;
FRA_1895;West Ivory Coast;;;;;;;;;;;;;
FRA_1805;Gao;;;;;;;;;;;;;
FRA_1803;Timbuktu;;;;;;;;;;;;;
FRA_1804;Eastern Mali;;;;;;;;;;;;;
FRA_1800;Western Mali;;;;;;;;;;;;;
FRA_1796;Upper Senegal;;;;;;;;;;;;;
FRA_1792;Casamance;;;;;;;;;;;;;
FRA_1783;Senegal;;;;;;;;;;;;;
POR_1877;Guiné-Bissau;;;;;;;;;;;;;
ENG_1785;Gambia;;;;;;;;;;;;;
LIB_1887;Liberia;;;;;;;;;;;;;
ENG_1884;Sierra Leone;;;;;;;;;;;;;
ALD_1705;Oran;;;;;;;;;;;;;
ALD_1700;Algiers;;;;;;;;;;;;;
TRI_1734;Cyrenaica;;;;;;;;;;;;;
TRI_1738;Libya;;;;;;;;;;;;;
EGY_1752;Western Desert;;;;;;;;;;;;;
EGY_1756;Sinai;;;;;;;;;;;;;
EGY_1765;Middle Egypt;;;;;;;;;;;;;
EGY_1770;Red Sea Coast;;;;;;;;;;;;;
EGY_1767;Upper Egypt;;;;;;;;;;;;;
EGY_1835;Dongola;;;;;;;;;;;;;
EGY_1827;Sudan;;;;;;;;;;;;;
MAD_2115;Merina;;;;;;;;;;;;;
MAD_2119;Betsimisaraka;;;;;;;;;;;;;
MAD_2122;Sakalava;;;;;;;;;;;;;
#State Localisations - Ottoman Empire and Middle East;;;;;;;;;;;;;;
TUR_873;Adana;;;;;;;;;;;;;
TUR_889;Diyarbakir;;;;;;;;;;;;;
TUR_913;Levantine Coast;;;;;;;;;;;;;
TUR_902;Syria;;;;;;;;;;;;;
EGY_1757;Suez;;;;;;;;;;;;;
#State Localisations - Arabia;;;;;;;;;;;;;;
YEM_1173;Hadramaut;;;;;;;;;;;;;
NEJ_1160;Jabal Shammar;;;;;;;;;;;;;
NEJ_1157;Nejd;;;;;;;;;;;;;
#State Localisations - Pacific;;;;;;;;;;;;;;
HAW_658;Hawaiian Islands;;;;;;;;;;;;;
NET_1454;Western New Guinea;;;;;;;;;;;;;
USA_2623;Midway;;;;;;;;;;;;;
USA_2524;Wake Island;;;;;;;;;;;;;
SPA_2518;Marianas Islands;;;;;;;;;;;;;
GER_2519;Caroline Islands;;;;;;;;;;;;;
ENG_2522;Marshall and Gilbert Islands;;;;;;;;;;;;;
GER_2537;Bismarck Archipelago;;;;;;;;;;;;;
ENG_2534;Solomon Islands;;;;;;;;;;;;;
ENG_2454;Fiji;;;;;;;;;;;;;
ENG_2540;Tonga;;;;;;;;;;;;;
ENG_2541;Western Polynesia;;;;;;;;;;;;;
ENG_2545;Central Polynesia;;;;;;;;;;;;;
ENG_2552;Pitcairn Island;;;;;;;;;;;;;
#State Localisations - East Indies;;;;;;;;;;;;;;
NET_1399;Palembang;;;;;;;;;;;;;
NET_1414;West Java;;;;;;;;;;;;;
NET_1417;East Java;;;;;;;;;;;;;
NET_1430;Sulawesi;;;;;;;;;;;;;
POR_1446;Timor;;;;;;;;;;;;;
#State Localisations - Europe;;;;;;;;;;;;;;
ENG_854;Malta;;;;;;;;;;;;;
ENG_264;Leinster;;;;;;;;;;;;;
ENG_301;Kent;;;;;;;;;;;;;
ENG_517;Gibraltar;;;;;;;;;;;;;
BEL_395;East Wallonie;;;;;;;;;;;;;
NET_386;Utrecht;;;;;;;;;;;;;
BEL_390;Brabant;;;;;;;;;;;;;
