Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
opened_frontiers;Opened Frontiers;;;;;;;;;;;;;
opened_frontiers_desc;Our recent declaration of dominion over southern Africa has prompted more settlers to come to our lands!;;;;;;;;;;;;;
mineral_revolution;Mineral Revolution;;;;;;;;;;;;;
EVTNAME6000;The Frontier is Lost;;;;;;;;;;;;;
EVTDESC6000;\n\nAs we have lost our sparsely populated frontierlands and stature on the world stage, we will not longer be receiving immigrants in nearly the numbers we once did when ours was a land of opportunity.;;;;;;;;;;;;;
EVT6000OPTA;Turn back the boat people.;;;;;;;;;;;;;
EVTNAME6001;Rename the Mozambican Provinces;;;;;;;;;;;;;
EVTDESC6001;Mozambique is no longer Portuguese, and as such should no longer bear a Portuguese name.;;;;;;;;;;;;;
EVT6001OPTA;Much better!;;;;;;;;;;;;;
EVT6001OPTB;A bit of local flavor never hurt.;;;;;;;;;;;;;
EVTNAME6002;Restoration of the Cape;;;;;;;;;;;;;
EVTDESC6002;We have retaken the Cape colony from the perfidious British. It is time to restore the proper names of these provinces.;;;;;;;;;;;;;
EVT6002OPTA;An auspicious day for the Afrikaner people.;;;;;;;;;;;;;
EVTNAME6003;Settle Namibia?;;;;;;;;;;;;;
EVTDESC6003;\n\nWe have established ourselves as a formidable regional power. Should we take the strategic Walvis bay in Namibia to prevent any European powers from challenging us?;;;;;;;;;;;;;
EVT6003OPTA;Inform the natives of their new overlords at once.;;;;;;;;;;;;;
EVT6003OPTB;Let them have it if they wish, we've no use for that pathetic desert.;;;;;;;;;;;;;
EVTNAME6004;The British Question;;;;;;;;;;;;;
EVTDESC6004;\n\nWith our party's aggressively racialist and pro-Boer stance, the British population of our country has become apprehensive about what their status in the new order shall be.;;;;;;;;;;;;;
EVT6004OPTA;The time of retribution has come. §RGain 3 infamy§W;;;;;;;;;;;;;
EVT6004OPTB;Strip them of their rights as first-class citizens.;;;;;;;;;;;;;
EVT6004OPTC;We can forget the transgressions of the past.;;;;;;;;;;;;;
EVTNAME6041;The Proposed Union Between ZAR and Oranje;;;;;;;;;;;;;
EVTDESC6041;\n\nIn $YEAR$ Marthinus Pretorius and Paul Kruger, two of $COUNTRY$ most esteemed statement, have put forth the motion to the Volksraad that we propose a confederation between ourselves and the Oranje-Vrijstaat, so we may present a united front against all those who would threaten the sovereignty of Die Boere.;;;;;;;;;;;;;
EVT6041OPTA;Ja! Only when we Voortrekkers stand united can we be strong!;;;;;;;;;;;;;
EVT6041OPTB;Nee! We do not need them, we are stronger on our own!;;;;;;;;;;;;;
EVTNAME6005;The ZAR Proposes a Union;;;;;;;;;;;;;
EVTDESC6005;\n\nOur government has long been reluctant to join with the Zuid-Afrikaanische Republiek into a greater Voortrekker state, but given their prosperity, it may be best for our people to accept.;;;;;;;;;;;;;
EVT6005OPTA;The Voortrekkers will stand united.;;;;;;;;;;;;;
EVT6005OPTB;It is the Orange 'Free' State for a reason. Decline their offer.;;;;;;;;;;;;;
EVTNAME6006;The Orange Free State Declines!;;;;;;;;;;;;;
EVTDESC6006;\n\nOur counterparts in Oranje have declined to join the Zuid-Afrikaanische Republiek. Some in the Volksraad propose we forcefully incorporate the Oranje-Vrijstaat into the Republic for the greater good, others argue that such forceful action goes against the very freedoms we claim to uphold and will vigorously oppose such action. In either case the decision is sure to be controversial.;;;;;;;;;;;;;
EVT6006OPTA;The Union will proceed, whether the Oranje-Vrijstaat wants it or not. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT6006OPTB;In the name of freedom and self-determination, we should respect their decision.;;;;;;;;;;;;;
EVTNAME6007;South Africa United;;;;;;;;;;;;;
EVTDESC6007;\n\nWe now control all the rightful lands of South Africa. All must now recognize our indisputable dominion over the region.;;;;;;;;;;;;;
EVT6007OPTA;Wonderful.;;;;;;;;;;;;;
EVTNAME6008;The Mineral Revolution;;;;;;;;;;;;;
EVTDESC6008;\n\nWith the recent boom of the mining industry in our country, our economy has expanded greatly. While this has brought us prosperity, it has also fostered yet more division in our country. The difference between urban and rural has become more pronounced, and the natives resent being even further marginalized.;;;;;;;;;;;;;
EVT6008OPTA;The winds of modernity sweep through our lands.;;;;;;;;;;;;;
EVTNAME6009;Solve the British Problem;;;;;;;;;;;;;
EVTDESC6009;\n\nThe British have long been the enemies of our nation. The time has come to remove them.;;;;;;;;;;;;;
EVT6009OPTA;Extermination is our only option. §RGain 5 infamy§W;;;;;;;;;;;;;
EVT6009OPTB;Perhaps we should reconsider.;;;;;;;;;;;;;
EVTNAME6010;Rename Zululand-Natal;;;;;;;;;;;;;
EVTDESC6010;Natal is now in Afrikaner hands, it is time to give the provinces more fitting names.;;;;;;;;;;;;;
EVT6010OPTA;An auspicious day for the Afrikaner people.;;;;;;;;;;;;;
EVTNAME6011;The Pioneer Column;;;;;;;;;;;;;
EVTDESC6011;\n\nThe Pioneer Column was a force raised by General Jacobus Herculaas de la Rey and several prominent burghers in Pretoriain $YEAR$ and used in his efforts to annex the territory of Mashonaland. De la Rey was anxious to secure Matabeleland and Mashonaland before the Germans, Portuguese or British did. His first step was to persuade the Matabele King Lobengula to sign a treaty giving him rights to mining and administration (but not settlement as such) in the area of Mashonaland which was ruled by the King by use of coercion and murderous raids involved tribute-taking and abduction of young men and women. Using his Concession between De la Rey's Suid-Afrika Kolonial Company and Lobengula, he then sought and obtained a charter from the South African government allowing him to act. The column crossed the river Tuli into Matabeleland and halted at a naturally flat and marshy meadow bounded by a steep rocky hill, raising the Boer union flag.;;;;;;;;;;;;;
EVT6011OPTA;An auspicious day.;;;;;;;;;;;;;
EVT6011OPTB;Frankly, we don't want it.;;;;;;;;;;;;;
EVTNAME6012;Naming the Zambezi Land;;;;;;;;;;;;;
EVTDESC6012;Now that we have conquered the lands around the Zambezi river, we need a proper name for the territory.;;;;;;;;;;;;;
EVT6012OPTA;After the Zambezi river, of course.;;;;;;;;;;;;;
EVT6012OPTB;After that Englishman who helped us settle it.;;;;;;;;;;;;;
EVT6012OPTC;After De la Rey, who conquered it!;;;;;;;;;;;;;
EVTNAME6013;Choosing our Capital;;;;;;;;;;;;;
