Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#New Unciv Reform Localizations;;;;;;;;;;;;;;
land_reform_two;Title and Deed system;;;;;;;;;;;;;
land_reform_two_desc;The state guarantees private property and land development rights;;;;;;;;;;;;;
admin_reform_two;Foreign-Trained Civil Service;;;;;;;;;;;;;
admin_reform_two_desc;The national administration is now run by western-educated bureaucrats;;;;;;;;;;;;;
education_reform_two;Universities;;;;;;;;;;;;;
education_reform_two_desc;Western-style schools of higher learning are established;;;;;;;;;;;;;
transport_improv_two;Advanced railroads;;;;;;;;;;;;;
transport_improv_two_desc;Our transportation system can move people and goods as never before!;;;;;;;;;;;;;
no_western_science;Traditional learning;;;;;;;;;;;;;
no_western_science_desc;We rely on the old ideas;;;;;;;;;;;;;
yes_western_science;Basic Western learning;;;;;;;;;;;;;
yes_western_science_desc;We send our students to learn foreign ideas in science from the West;;;;;;;;;;;;;
western_science_two;Scientific Research;;;;;;;;;;;;;
western_science_two_desc;We promote research into scientific and economic theories in our schools;;;;;;;;;;;;;
foreign_training_two;Foreign Tactics;;;;;;;;;;;;;
foreign_training_two_desc;Our troops learn western military tactics before going into battle;;;;;;;;;;;;;
foreign_weapons_two;Advanced foreign weapons;;;;;;;;;;;;;
foreign_weapons_two_desc;Our BOOMSTICKS are better!;;;;;;;;;;;;;
military_constructions_two;Modern Constructions;;;;;;;;;;;;;
military_constructions_two_desc;Our forts are modern and more defensible ;;;;;;;;;;;;;
foreign_officers_two;Domestic officer training;;;;;;;;;;;;;
foreign_officers_two_desc;Our own officers will now lead our troops!;;;;;;;;;;;;;
army_schools_two;Military academies;;;;;;;;;;;;;
army_schools_two_desc;Our officers are instructed in advanced military tactics before leading men into battle;;;;;;;;;;;;;
foreign_naval_officers_two;Domestic naval officers;;;;;;;;;;;;;
foreign_naval_officers_two_desc;Our captains lead without foreign advisors;;;;;;;;;;;;;
naval_schools_two;Naval academies;;;;;;;;;;;;;
naval_schools_two_desc;Our captains are instructed in advanced naval tactics before leading men into battle;;;;;;;;;;;;;
foreign_navies_two;Advanced warships;;;;;;;;;;;;;
foreign_navies_two_desc;We can construct our own modern warships;;;;;;;;;;;;;
#New Triggered Modifiers;;;;;;;;;;;;;;
desperate_nation;Desperate Nation;Nation microscopique;Mikroskopische Nation;;Nación microscópica;;;;;;;;;
microscopic_nation;Microscopic Nation;Nation microscopique;Mikroskopische Nation;;Nación microscópica;;;;;;;;;
average_nation;Average Nation;Nation régulière;Durchschnittsgröße Nation;;País promedio;;;;;;;;;
medium_empire;Medium Empire;Moyen Empire;Mittleres Reich;;Imperio medio;;;;;;;;;
large_empire; Large Empire;Grand Empire;Große Reich;;Gran imperio;;;;;;;;;
insane_empire; Insane Empire;L'Empire de fou;Das wahnsinnig Reich;;El Imperio loco;;;;;;;;;
insane_empire2; Insane Empire;L'Empire de fou;Das wahnsinnig Reich;;El Imperio loco;;;;;;;;;
ai_boost;AI Boost;AI Boost;AI Boost;;AI Boost;;;;;;;;;
gorkha_kingdom;Gorkha Kingdom;Royaume de Gorkha;Gorkha Königreich;;Reino de Gorkha;;;;;;;;;
fairer_taxation;Taxation Relief;Allégement de la fiscalité;Besteuerung Relief;;Alivio de impuestos;;;;;;;;;
policestate_modifier;The Police State;;;;;;;;;;;;;
one_party_state_modifier;The One Party State;;;;;;;;;;;;;
totalitarianism_modifier;Totalitarianism;;;;;;;;;;;;;
leadership_principle_modifier;The Leadership Principle;;;;;;;;;;;;;
ultranationalism_modifier;Ultranationalism and the Volk;;;;;;;;;;;;;
collectivisation_modifier;Collectivization;;;;;;;;;;;;;
classless_society_modifier;A Classless Society;;;;;;;;;;;;;
#Agriculture Inventions;;;;;;;;;;;;;;
cattle_trucks;Cattle Trucks;;;;;;;;;;;;;
cattle_trucks_desc;The introduction of automobiles has also had one ancillary benefit: the development of cattle trucks, large enough to hold multiple cattle at once and speed up the process of delivering livestock for slaughter.;;;;;;;;;;;;;
cattle_breeding_program;Cattle Breeding Program;;;;;;;;;;;;;
cattle_breeding_program_desc;New methods of breeding livestock have led to a boom in cattle and horse populations, and permitted the average rancher far more control over the quality of his stock.;;;;;;;;;;;;;
accelerated_vulcanization;Accelerated Vulcanization;;;;;;;;;;;;;
accelerated_vulcanization_desc;It was discovered in the early Twentieth Century that the addition of the organic compound aniline produced an accelerating effect. The active zinc salts in the aniline react strongly with the zinc oxide present in sulfur-vulcanized rubber to decrease the cure time necessary. Other compounds were later used that provided even faster cure times.;;;;;;;;;;;;;
silk_waste_spinning;Silk Waste Spinning;;;;;;;;;;;;;
silk_waste_spinning_desc;This was a cumulative set of processes developed throughout the 19th century to process previously unusable silk. Sources of waste silk included the gummy silk fibers left over the predominant Silk Throwing Process and from the cocoons of the mulberry worms themselves. Previously this 'waste silk' had accounted for nearly 50% of raw silk production, and now it could be utilized too.;;;;;;;;;;;;;
inclosure;Inclosure;;;;;;;;;;;;;
inclosure_desc;Inclosure is the process which was used in order to end some traditional rights, such as mowing meadows for hay, or grazing livestock on land which is owned by another person. Under inclosure, such land is fenced and deeded or entitled to one or more owners. By the 19th century, unenclosed commons had become largely restricted to rough pasture in mountainous areas and in relatively small parts of the lowlands.;;;;;;;;;;;;;
regenerative_forestry;Regenerative Forestry;;;;;;;;;;;;;
regenerative_forestry_desc;New methods of harvesting our nation's forests must be undertaken, in order to ensure that these resources remain sustainable as techniques for harvesting lumber become more advanced.;;;;;;;;;;;;;
spinning_jenny;Spinning Jenny;;;;;;;;;;;;;
spinning_jenny_desc;The spinning jenny is a multi-tool spinning frame. The device reduced the amount of work needed to produce yarn, with a worker able to work eight or more spools at once. It advanced the efficiency of the textile industry a great deal, and was one of the driving forces behind the Industrial Revolution in many textile-based countries.;;;;;;;;;;;;;
seafood_packing;Seafood Packing;;;;;;;;;;;;;
seafood_packing_desc;The ability to preserve seafood was the first step in permitting such food to reach parts of the country that did not live by the coast, thereby assisting in the growth of large urban centers.;;;;;;;;;;;;;
mechanized_farming_equipment;Mechanized Farming Equipment;;;;;;;;;;;;;
mechanized_farming_equipment_desc;Traditional methods of harvest are slowly being discarded as new, mechanical inventions are being produced. These will greatly speed up a farm's harvest, and allow the individual farm to cover much greater area than ever before.;;;;;;;;;;;;;
mechanised_plantations;Mechanized Plantations;;;;;;;;;;;;;
mechanised_plantations_desc;The introduction of mechanization to plantations allowed for harvesting to occur more rapidly, and for far more land to be manageable by the individual farmer. This freed up a great deal of labor, and led to the growth of urban centers.;;;;;;;;;;;;;
traction_engines;Traction Engines;;;;;;;;;;;;;
traction_engines_desc;The traction engine is a self-propelled steam engine. Developed in the mid-nineteenth century, they were slow, heavy, and not very maneuverable. However, they provided a clear revolution in road haulage of agricultural and forest products, replacing draught animals as the primary movers. Traction engines also could be used to provide a localized power source, and smaller versions were later produced that could plough fields without sinking into the soil.;;;;;;;;;;;;;
industrial_farming;Industrial Farming;;;;;;;;;;;;;
industrial_farming_desc;The notion of a farm being the province of a single family or landowner is slowly becoming a thing of the past. The production of food is an industry, and the cost of farm machinery simply beyond the means of many. Large businesses are stepping in, creating industrial farms that are more akin to factories than anything else.;;;;;;;;;;;;;
industrial_livestock_husbandry;Industrial Livestock Husbandry;;;;;;;;;;;;;
industrial_livestock_husbandry_desc;The old ways of ranching and livestock raising have become inadequate to supply the growing population. Large businesses are stepping in, creating large-scale operations that are more akin to factories than anything else.;;;;;;;;;;;;;
tree_plantations;Tree Plantations;;;;;;;;;;;;;
tree_plantations_desc;The development of plantations specifically created for tree harvesting reduced the reliance on naturally-occurring forests for exploitation.;;;;;;;;;;;;;
mechanized_wells;Mechanized Oil Wells;;;;;;;;;;;;;
mechanized_wells_desc;The ability to pump oil from the ground through automated machinery has greatly increased the capacity of the individual well. Already production has begun to skyrocket.;;;;;;;;;;;;;
advanced_drilling_techniques;Advanced Drilling Techniques;;;;;;;;;;;;;
advanced_drilling_techniques_desc;New methods of pumping oil from the ground are becoming available, meaning that oil can be harvested in a far more efficient manner.;;;;;;;;;;;;;
brixham_trawlers;Brixham Trawlers;;;;;;;;;;;;;
brixham_trawlers_desc;Named for the British town where they were developed and built, Brixham Trawlers represented a giant leap forward in the design of fishing vessels. A wooden sailing ship made for deep-sea fishing, its sleek design and tall rigging gave it great speed. Brixham fishermen could travel to the fishing grounds and back in record time. This allowed them to make a bigger catch and bring it to market faster. The design was copied all over the world.;;;;;;;;;;;;;
coal_powered_fishing_trawlers;Coal Powered Fishing Trawlers;;;;;;;;;;;;;
coal_powered_fishing_trawlers_desc;As coal became the engine of industrialization, its use became more and more predominant at sea as well.;;;;;;;;;;;;;
turbine_driven_trawlers;Turbine Driven Trawlers;;;;;;;;;;;;;
turbine_driven_trawlers_desc;With new turbines added to trawlers across the country, who needs actual fishermen?;;;;;;;;;;;;;
oil_powered_fishing_trawlers;Oil Powered Fishing Trawlers;;;;;;;;;;;;;
oil_powered_fishing_trawlers_desc;Blue Water fishing fleets followed the merchant marines and navies of the world in transitioning from coal to oil for fueling.;;;;;;;;;;;;;
zacherlin;Zacherlin;;;;;;;;;;;;;
zacherlin_desc;Zacherlin is an industrial pesticide first mass-produced in Austria by Johann Zacherl around 1855. Its formula was based on a centuries-old process from the Middle East for extracting a natural insecticide from the dried head of the flower Chrysanthenum cinerariifolum.;;;;;;;;;;;;;
rotenone;Rotenone;;;;;;;;;;;;;
rotenone_desc;Rotenone is an odorless chemical which is naturally derived from several species of tropical and subtropical plants. It was first isolated in 1895 by the French Botanist Emmanuel Geoffroy. It became a key component in many industrial insecticides and pesticides.;;;;;;;;;;;;;
ddt;DDT;;;;;;;;;;;;;
ddt_desc;Short-form for dichlorodiphenyltrichloroethane, DDT was first synthesized in the early 1870s. Its insecticidal and pesticidal properties were realized in the first half of the twentieth century, when their industrial production and use skyrocketed.;;;;;;;;;;;;;
#Industrial Inventions;;;;;;;;;;;;;;
alite;Alite;;;;;;;;;;;;;
alite_desc;Alite is a name for tricalcium silicate. It is the major, and characteristic, mineral phases in Portland cement.;;;;;;;;;;;;;
mechanized_sawmills;Mechanized Sawmills;;;;;;;;;;;;;
mechanized_sawmills_desc;The introduction of steam power to the operations of sawmills allowed for a greater level of mechanization. Mills could be located far from water with the addition of rail connections. Mechanized Sawmills saw greater efficiency as the scrap waste from lumber production could be used to fuel the boilers. Increased factory costs came with the gains in efficiency however.;;;;;;;;;;;;;
diode;Diodes;;;;;;;;;;;;;
diode_desc;In electronics, a diode is a two-terminal electronic component with asymmetric transfer characteristic, with low (ideally zero) resistance to current flow in one direction, and high (ideally infinite) resistance in the other. Diodes were the first semiconductor electronic devices.;;;;;;;;;;;;;
triode_desc;A triode is an electronic amplification device having three active electrodes. The term most commonly applies to a vacuum tube (or valve in British English) with three elements: the filament or cathode, the grid, and the plate or anode. The triode vacuum tube was the first electronic amplification device, which propelled the electronics age forward, by enabling amplified radio technology and long-distance telephony.;;;;;;;;;;;;;
tetrode_desc;A tetrode is an electronic device having four active electrodes. The term most commonly applies to a two-grid vacuum tube. It has the three electrodes of a triode and an additional screen grid which significantly changes its behavior.;;;;;;;;;;;;;
