Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3448;Santa Clara;;;;;;;;;;;;;
PROV3449;Fresno;;;;;;;;;;;;;
PROV3450;Santa Barbara;;;;;;;;;;;;;
PROV3451;Southern Mojave;;;;;;;;;;;;;
PROV3452;Mariposa;;;;;;;;;;;;;
PROV3453;Redding;;;;;;;;;;;;;
PROV3454;Klamath;;;;;;;;;;;;;
PROV3455;Eureka;;;;;;;;;;;;;
MEX_85_1;Northern California;;;;;;;;;;;;;
MEX_85_2;Southern California;;;;;;;;;;;;;
PROV3456;Puerto Peñasco;;;;;;;;;;;;;
PROV3457;Reno;;;;;;;;;;;;;
PROV3458;Shanty Town;;;;;;;;;;;;;
PROV3459;Aragonite;;;;;;;;;;;;;
PROV3460;Navajo;;;;;;;;;;;;;
PROV3461;Warm Springs;;;;;;;;;;;;;
PROV3462;Siuslaw;;;;;;;;;;;;;
PROV3463;Princeton;;;;;;;;;;;;;
PROV3464;Yakima;;;;;;;;;;;;;
PROV3465;North Cascades;;;;;;;;;;;;;
PROV3466;Spokane;;;;;;;;;;;;;
PROV3467;Dillon;;;;;;;;;;;;;
PROV3468;Riverton;;;;;;;;;;;;;
greatest_california_title;Claim the West Coast;;;;;;;;;;;;;
greatest_california_desc;To fulfill our manifest destiny we shall lay claim to the entire West Coast of North America!;;;;;;;;;;;;;
proclaim_pacific_states_title;Proclaim the Pacific States;;;;;;;;;;;;;
proclaim_pacific_states_desc;With our claims along the coast firmly in our hands, we can now proclaim the Pacific States;;;;;;;;;;;;;
PAC;Pacifica;;;;;;;;;;;;;
PAC_ADJ;Pacifican;;;;;;;;;;;;;
PAC_proletarian_dictatorship;The People's Republic of the Pacific;;;;;;;;;;;;;
PAC_fascist_dictatorship;The Greater Pacific State;;;;;;;;;;;;;
PAC_absolute_monarchy;The Kingdom of Pacifica;;;;;;;;;;;;;
PAC_prussian_constitutionalism;The Kingdom of Pacifica;;;;;;;;;;;;;
PAC_hms_government;The Kingdom of Pacifica;;;;;;;;;;;;;
PAC_absolute_empire;The Empire of Pacifica;;;;;;;;;;;;;
PAC_semi_constitutional_empire;The Empire of Pacifica;;;;;;;;;;;;;
PAC_constitutional_empire;The Empire of Pacifica;;;;;;;;;;;;;
PAC_democracy;The Pacific States;;;;;;;;;;;;;
pacifican;Pacifican;;;;;;;;;;;;;
