Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTDESC90005;\n\nAlthough we only want to help $CB_TARGET_NAME$ by adding them to our sphere of influence they have gotten very worked up about it. While unseemly to all involved, their behavior has rather turned international opinion against forcefully requesting they join us in our prosperity.;;;;;;;;;;;;;
EVTNAME4661019;The Status Quo;;;;;;;;;;;;;
EVTDESC4661019;The latest war ended in status quo and Entre-Rios is free. Nothing stands in the way of Buenos Aires to dominate the Argentine Confederation.;;;;;;;;;;;;;
EVTOPT4661019A;Porteno supremacy begins.;;;;;;;;;;;;;
EVTNAME600074;Uruguay Is Defeated;;;;;;;;;;;;;
EVTDESC600074;\n\nPresident Rivera lost the war he started and we are now in a position to install Oribe, the true President, in the government of Uruguay.;;;;;;;;;;;;;
EVTOPT600074A;Install Oribe as President but interfere no more.;;;;;;;;;;;;;
EVTOPT600074B;Install Oribe as President and make sure he stays there.;;;;;;;;;;;;;
EVTOPT600074C;Install Oribe as President and take steps to control Uruguay. §RGain 3 infamy§W;;;;;;;;;;;;;
EVTOPT600074D;Don't interfere in Uruguay. §GLose 1 infamy§W;;;;;;;;;;;;;
EVTNAME600075;Rosas Is Defeated;;;;;;;;;;;;;
EVTDESC600075;\n\nRosas is defeated and fled Argentina to the United Kingdom. Oribe lost all claims on the presidency and also fled the country, but that will not stop trouble with the Blanco party.;;;;;;;;;;;;;
EVTOPT600075A;Help the unitarians organize Argentina.;;;;;;;;;;;;;
EVTOPT600075B;Don't interfere anymore.;;;;;;;;;;;;;
EVTNAME600076;The Armistice of $YEAR$;;;;;;;;;;;;;
EVTDESC600076;\n\nUruguay and Argentina agreed to an armistice and peace talks led to the maintenance of the status quo. Our war to oust Rosas wasn't successful.;;;;;;;;;;;;;
EVTOPT600076A;Damn.;;;;;;;;;;;;;
EVTNAME600050;Polish Insurrection;;;;;;;;;;;;;
EVTDESC600050;\n\nWhen a Polish insurrection broke out in Galicia (Austrian Poland) and Krakow early in 1846 many Austrians held that Krakow's independent status provided the stimulus as well as a forum for the planning of Polish revolts. However, we are still bound by the Treaty of Vienna and our administration of Krakow with Prussia and Russia.;;;;;;;;;;;;;
EVT600050OPTA;Dispatch diplomats to begin the talks.;;;;;;;;;;;;;
EVT600050OPTB;We don't care about Prussia and Russia consent on this matter, we must act now. §RGain 10 infamy§W;;;;;;;;;;;;;
EVT600050OPTC;Ignore the rebellion. They are harmless.;;;;;;;;;;;;;
