Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CPL_absolute_monarchy;Poland;;;;;;;;;;;;;
CPL_prussian_constitutionalism;Poland;;;;;;;;;;;;;
CPL_hms_government;Poland;;;;;;;;;;;;;
CPL_colonial_government;Congress Poland;;;;;;;;;;;;;
CPL_dominion;Congress Poland;;;;;;;;;;;;;
ISL_parliamentary_republic;Islamic Republic;;;;;;;;;;;;;
ISL_radicals;Anarchist Faction;Anarchist Faction;Anarchist Faction;;Anarchist Faction;;;;;;;;;
PAP_ADJ__parliamentary_republic;Roman;;;;;;;;;;;;;
SYC;Sicily;;;;;;;;;;;;;
SYC_ADJ;Sicilian;;;;;;;;;;;;;
