;;;;;;;;;;;;;x,,,,
EVTNAME96000;War is Upon Us;La Guerre c'est Ici;Der Krieg Kommt;;;;;;;;;;;x,,,,
EVTDESC96000;$COUNTRY$ is in a state of total war with one of the Great Powers of the world. In a modern age where warfare has the capability of killing millions, the very future of our nation could be at stake. The call has gone out to the $COUNTRY_ADJ$ people: put aside your petty differences," your day-to-day lives and your personal ambitions. $COUNTRY$ must pull together in this, our hour of need!;;;;;;;;;;;;x",,
EVTOPTA96000;We shall be victorious!;Nous serons victorieux!;Wir sind siegreich!;;;;;;;;;;;x,,,,
EVTNAME96010;The Treaty of $CAPITAL$;Le Traité de $CAPITAL$;Der Vertrag von $CAPITAL$;;;;;;;;;;;x,,,,
EVTDESC96010;We have lost the war, and like vultures the victors have descended upon us. We have been forced to the bargaining table to accept humiliating terms regarding the breakup of our empire, with many of our lands simply given away, and we shall be permitted no overseas holdings whatsoever. This is a moment that shall be remembered in $COUNTRY$ for years to come.;;;;;;;;;;;;;x,
EVTNAME96004;The Demands of War;Les Demandes de la Guerre;Die Nachfragen des Krieges;;;;;;;;;;;x,,,,
EVTDESC96004;The constant state of war $COUNTRY$ is under has taken its toll on our people. Shortages of basic goods and the failure to deliver swift victory have worn down the enthusiasm with which the $COUNTRY_ADJ$ people initially greeted the war effort. If things don't turn around soon, we could face growing weariness and unrest within our own borders.;;;;;;;;;;;;;x,,,
EVTOPTA96004;We will win this war!;Nous gagnerons la guerre!;Wir gewinnen den Krieg!;;;;;;;;;;;x,,,,
EVTNAME96005;Is It All For Nothing?;Est-il Tout Pour Rien?;Ist Alles Für Nichts?;;;;;;;;;;;x,,,,
EVTDESC96005;Growing demonstrations in $CAPITAL$ demonstrate the prevailing attitude of the $COUNTRY_ADJ$ people: get us out of the war, and soon. Too many have been lost, too many sacrifices made, and all for what? The people wish to go back to their regular lives, without the constant spectre of war hanging over their heads.;;;;;;;;;;;;;x
EVTOPTA96005;Do not lose hope!;Ne perdez pas l'espoir!;Verlieren Sie nicht Hoffnung!;;;;;;;;;;;x,,,,
EVTNAME96006;Total Collapse;Effondrement Total;Gesamteinsturz;;;;;;;;;;;x,,,,
EVTDESC96006;The war effort is not going well, to put it lightly. Advisors are saying that $COUNTRY$ should sue for peace, do whatever it takes to end this war before something even more terrible happens. The people are on the brink of revolt. We must act!;;;;;;;;;;;;;x,,
EVTOPTA96006;Disaster!;Désastre!;Unfall!;;;;;;;;;;;x,,,,
