Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NORMAL_WAR_REMOVE_WMDS_NAME;$ORDER$War to Prevent $SECOND_COUNTRY$'s Crime Against Humanity;;;;;;;;;;;;;
NORMAL_TOTAL_WAR_CONQUEST_NAME;$FIRST_COUNTRY$'s Total War against $SECOND_COUNTRY$;Grande Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Großer Krieg;Baza;Base;Base;Alap;Velká válka;;;;;;;
NORMAL_TOTAL_WAR_TAKE_NAME;$FIRST_COUNTRY$'s Total War against $SECOND_COUNTRY$;Grande Guerre $ORDER$$FIRST$-$SECOND$;$ORDER$$FIRST$-$SECOND$ Großer Krieg;Baza;Base;Base;Alap;Velká válka;;;;;;;
total_war_conquest;Total War of Conquest;;;;;;;;;;;;;
total_war_conquest_short;The time has come to wipe the very idea of $RECIPIENT$ from the annals of history;;;;;;;;;;;;;
total_war_conquest_desc;Annex the entirety of an enemy country's colony for 0 infamy.;;;;;;;;;;;;;
total_war_conquest_setup;The peoples of $RECIPIENT$ stand in the way of a better world.;;;;;;;;;;;;;
total_war_state;Total War Acquire State;;;;;;;;;;;;;
total_war_state_short;The time has come to wipe the very idea of $RECIPIENT$ from the annals of history;;;;;;;;;;;;;
total_war_state_desc;Acquire an enemy country's state or colony for 0 warscore & 0 infamy.;;;;;;;;;;;;;
total_war_state_setup;The peoples of $RECIPIENT$ stand in the way of a better world.;;;;;;;;;;;;;
minor_conquest;Minor Conquest;;;;;;;;;;;;;
acquire_core_state;Acquire core;Prendre territoire clé;Kernprovinz erwerben;;;;;;;;;;;
acquire_core_state_native;Acquire core;Prendre territoire clé;Kernprovinz erwerben;;;;;;;;;;;
acquire_core_state_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
acquire_core_state_native_short;Acquire $STATE$;Prendre $STATE$;$STATE$ erwerben;;;;;;;;;;;
acquire_core_state_desc;Acquire an enemy §Ystate§W where we have §Ycore provinces§W;Prendre un §YÉtat§W ennemi où nous avons des §Yprovinces principales§W;Erobern Sie einen feindlichen §YStaat§W, in dem wir §YKernprovinzen§W haben.;;;;;;;;;;;
acquire_core_state_native_desc;Acquire an enemy §Ystate§W where we have §Ycore provinces§W;Prendre un §YÉtat§W ennemi où nous avons des §Yprovinces principales§W;Erobern Sie einen feindlichen §YStaat§W, in dem wir §YKernprovinzen§W haben.;;;;;;;;;;;
acquire_core_state_setup;Acquire core $STATE$ from $RECIPIENT$;Prendre État clé $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
acquire_core_state_native_setup;Acquire core $STATE$ from $RECIPIENT$;Prendre État clé $STATE$ de $RECIPIENT$;Kern-$STATE$ von $RECIPIENT$ erwerben;;;;;;;;;;;
unification_casus_belli;War of Unification;Guerre d'unification;Vereinigungskrieg;;;;;;;;;;;
unification_casus_belli_short;Liberate $STATE$ ;Libérer $STATE$ ;Befreien Sie $STATE$;;;;;;;;;;;
unification_casus_belli_desc;Liberate core territory of our §YCultural Union§W;Libérer un territoire clé de notre §Yunion culturelle§W;Befreien Sie das Kerngebiet unserer §YKulturunion§W;;;;;;;;;;;
unification_casus_belli_setup;Liberate core territory of our §YCultural Union§W.;Libérez un territoire clé de notre §Yunion culturelle§W.;Befreien Sie das Kerngebiet unserer §YKulturunion§W;;;;;;;;;;;
civil_war;Civil War;Guerre civile;Bürgerkrieg;;;;;;;;;;;
civil_war_short;Unite the nation;Unifier la nation;Einen Sie die Nation!;;;;;;;;;;;
civil_war_desc;Your nation is in a state of civil war;Votre nation est en guerre civile;Ihre Nation befindet sich in einem Bürgerkrieg.;;;;;;;;;;;
civil_war_setup;End the war by reuniting our nation under a common banner again.;Mettez fin à la guerre en réunifiant notre nation sous une même bannière.;Beenden Sie den Krieg durch die Wiedervereinigung unserer Nation unter einer gemeinsamen Flagge.;;;;;;;;;;;
unification_annex_casus_belli;War of Unification;Guerre d'unification;Vereinigungskrieg;;;;;;;;;;;
