Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
no_personality;No Personality: No Changes;;;;;;;;;;;;;
aggressive;Aggressive: §GAttack +1;;;;;;;;;;;;;
relentless;Relentless: §GAttack +2;;;;;;;;;;;;;
active_p;Active: No Changes;;;;;;;;;;;;;
earnest;Earnest: No Changes;;;;;;;;;;;;;
persisant;Persistant: No Changes;;;;;;;;;;;;;
balanced_p;Balanced: §GDefence +1;;;;;;;;;;;;;
cautious;Cautious: §GDefence +3;;;;;;;;;;;;;
coolminded;Coolminded: §GDefence +2;;;;;;;;;;;;;
inspiring;Inspiring: No Changes;;;;;;;;;;;;;
gallant;Gallant: No Changes;;;;;;;;;;;;;
arrogant;Arrogant: No Changes;;;;;;;;;;;;;
vainglorious;Vainglorious: No Changes;;;;;;;;;;;;;
brutish;Brutish: §GAttack +1;;;;;;;;;;;;;
bigoted;Bigoted: No Changes;;;;;;;;;;;;;
impetuous;Impetuous: §R Defence -2;;;;;;;;;;;;;
polite;Polite: No Changes;;;;;;;;;;;;;
tactful;Tactful: No Changes;;;;;;;;;;;;;
diplomatic;Diplomatic: No Changes;;;;;;;;;;;;;
glory_hound;Glory Hound: No Changes;;;;;;;;;;;;;
vicious;Vicious: §G Attack +2;;;;;;;;;;;;;
hellbent;Hellbent: No Changes;;;;;;;;;;;;;
deeply_religious;Deeply Religious: §R Attack -1, Defence -1;;;;;;;;;;;;;
imperious;Imperious: §GAttack +1, §RDefence -2;;;;;;;;;;;;;
choleric;Choleric: §GAttack +1;;;;;;;;;;;;;
fanatic;Fanatic: No Changes;;;;;;;;;;;;;
irate;Irate: §GAttack +1;;;;;;;;;;;;;
wrathful;Wrathful: §GAttack +2;;;;;;;;;;;;;
calm;Calm: §RAttack -1;;;;;;;;;;;;;
reserved;Reserved: §RAttack -1;;;;;;;;;;;;;
harsh;Harsh: §GAttack +1, Defence +1;;;;;;;;;;;;;
merciless;Merciless: §GAttack +2, Defence +2;;;;;;;;;;;;;
implacable;Implacable: §GAttack +3, Defence +3;;;;;;;;;;;;;
careful;Careful: No Changes;;;;;;;;;;;;;
meticulous;Meticulous: No Changes;;;;;;;;;;;;;
openminded;Openminded: No Changes;;;;;;;;;;;;;
charismatic;Charismatic: No Changes;;;;;;;;;;;;;
impulsive;Impulsive: No Changes;;;;;;;;;;;;;
intuitive;Intuitive: No Changes;;;;;;;;;;;;;
resourceful;Resourceful: §GDefence +1;;;;;;;;;;;;;
romantic;Romantic: No Changes;;;;;;;;;;;;;
brash;Brash: §GAttack +1;;;;;;;;;;;;;
daring;Daring: §GAttack +3;;;;;;;;;;;;;
soldierly;Soldierly: §GAttack +1;;;;;;;;;;;;;
disciplined;Disciplined: §GAttack +2;;;;;;;;;;;;;
unflinching;Unflinching: §GAttack +3;;;;;;;;;;;;;
bold;Bold: §GAttack +1;;;;;;;;;;;;;
audacious;Audacious: §GAttack +2, Defence +2;;;;;;;;;;;;;
heroic;Heroic: No Changes;;;;;;;;;;;;;
stout;Stout: §GDefence +1;;;;;;;;;;;;;
stalwart;Stalwart: §GAttack +1, Defence +1;;;;;;;;;;;;;
stouthearted;Stouthearted: §GAttack +1;;;;;;;;;;;;;
steadfast;Steadfast: §GAttack +2;;;;;;;;;;;;;
chivalrous;Chivalrous §GAttack +2;;;;;;;;;;;;;
ballsy;Ballsy: No Changes;;;;;;;;;;;;;
aweless;Aweless: No Changes;;;;;;;;;;;;;
dauntless;Dauntless: No Changes;;;;;;;;;;;;;
confident;Confident: No Changes;;;;;;;;;;;;;
manful;Manful: No Changes;;;;;;;;;;;;;
doughty;Doughty: No Changes;;;;;;;;;;;;;
gutsy;Gutsy: §GDefence +1;;;;;;;;;;;;;
spirited;Spirited: §GDefence +2;;;;;;;;;;;;;
resolute;Resolute: §GDefence +2;;;;;;;;;;;;;
defiant;Defiant: §GDefence +3;;;;;;;;;;;;;
able;Able: No Changes;;;;;;;;;;;;;
competent;Competent: No Changes;;;;;;;;;;;;;
expert;Expert: No Changes;;;;;;;;;;;;;
smart_p;Smart: No Changes;;;;;;;;;;;;;
intelligent;Intelligent: No Changes;;;;;;;;;;;;;
brillaint;Brilliant: No Changes;;;;;;;;;;;;;
sharp;Sharp: No Changes;;;;;;;;;;;;;
keen;Keen: No Changes;;;;;;;;;;;;;
clever;Clever: No Changes;;;;;;;;;;;;;
skilled;Skilled: §GAttack +1;;;;;;;;;;;;;
efficient;Efficient: §GAttack +2;;;;;;;;;;;;;
au_fait;Au fait: §GAttack +3;;;;;;;;;;;;;
indifferent;Indifferent: No Changes;;;;;;;;;;;;;
mediocre;Mediocre: No Changes;;;;;;;;;;;;;
lackluster;Lackluster: No Changes;;;;;;;;;;;;;
timid;Timid: §RAttack -1;;;;;;;;;;;;;
chickenhearted;Chickenhearted: §RAttack -2;;;;;;;;;;;;;
lilylivered;Lilylivered: §RAttack -2;;;;;;;;;;;;;
soft;Soft: §RAttack -2;;;;;;;;;;;;;
spineless;Spineless: §RAttack -2;;;;;;;;;;;;;
unmanly;Unmanly: §RAttack -3;;;;;;;;;;;;;
yellow;Yellow: §RAttack -4;;;;;;;;;;;;;
pusillanimous;Pusillanimous: No Changes;;;;;;;;;;;;;
coward;Coward: No Changes;;;;;;;;;;;;;
craven;Craven: No Changes;;;;;;;;;;;;;
bastard;Bastard: §RDefence -1;;;;;;;;;;;;;
shirker;Shirker: §RDefence -1;;;;;;;;;;;;;
scared;Scared: §RDefence -1;;;;;;;;;;;;;
maladriot;Maladriot: No Changes;;;;;;;;;;;;;
undisciplined;Undisciplined: No Changes;;;;;;;;;;;;;
incapable;Incapable: No Changes;;;;;;;;;;;;;
inept;Inept: §RAttack -1;;;;;;;;;;;;;
inefficient;Inefficient: §RAttack -2;;;;;;;;;;;;;
perverse;Perverse: No Changes;;;;;;;;;;;;;
unruly;Unruly: No Changes;;;;;;;;;;;;;
disorderly;Disorderly: No Changes;;;;;;;;;;;;;
careless;Careless: No Changes;;;;;;;;;;;;;
wretched;Wretched: §RAttack -1;;;;;;;;;;;;;
pisspoor;Pisspoor: §R Attack -2;;;;;;;;;;;;;
unsound;Unsound: No Changes;;;;;;;;;;;;;
strange;Strange: No Changes;;;;;;;;;;;;;
shrinking_violet;Shrinking Violet: No Changes;;;;;;;;;;;;;
no_background;No Background: §RAttack -2, Defence -2;;;;;;;;;;;;;
nationalist;Nationalist: §GAttack +1;;;;;;;;;;;;;
war_college;War College: §GAttack +1;;;;;;;;;;;;;
cavalry_school;Cavalry School: §GAttack +2;;;;;;;;;;;;;
armchair_general;Armchair General: No Changes;;;;;;;;;;;;;
bureaucrat_general;Bureaucrat General: No Changes;;;;;;;;;;;;;
generals_aide;General's Aide: §GDefence +1;;;;;;;;;;;;;
amateur;Amateur: §RDefence -1;;;;;;;;;;;;;
madman;Madman: No Changes;;;;;;;;;;;;;
aristocrat;Aristocrat: No Changes;;;;;;;;;;;;;
drillmaster;Drillmaster: No Changes;;;;;;;;;;;;;
butcher;Butcher: No Changes;;;;;;;;;;;;;
exranker;Exranker: No Changes;;;;;;;;;;;;;
adventurer;Adventurer: §GAttack +2;;;;;;;;;;;;;
debutante;Debutante: No Changes;;;;;;;;;;;;;
colonial_b:Colonist: §RDefence -2;;;;;;;;;;;;;;
disgraced;Disgraced: No Changes;;;;;;;;;;;;;
priest;Priest: No Changes;;;;;;;;;;;;;
rising_star;Rising Star: No Changes;;;;;;;;;;;;;
politician;Politician: No Changes;;;;;;;;;;;;;
poet;Poet: §RAttack -1;;;;;;;;;;;;;
cartographer;Cartographer: No Changes;;;;;;;;;;;;;
professor;Professor: §RAttack -1, Defence -1;;;;;;;;;;;;;
old_school;Old School: §GAttack +1, §RDefence -2;;;;;;;;;;;;;
eccentric_genious;Eccentric Genious: §RAttack +2;;;;;;;;;;;;;
gifted_administrator;Gifted Administrator: No Changes;;;;;;;;;;;;;
innovative_tactician;Innovative Tactician: §GAttack +1;;;;;;;;;;;;;
expert_raider;Expert Raider: §GAttack +2;;;;;;;;;;;;;
natural_born_leader;Natural Born Leader: §GAttack +1;;;;;;;;;;;;;
megalomaniac;Megalomaniac: §RAttack -2;;;;;;;;;;;;;
hated;Hated: §GAttack +1, Defence +1;;;;;;;;;;;;;
cursed_luck;Cursed Luck: §GAttack +2, Defence +2;;;;;;;;;;;;;
clueless;Clueless: §RAttack -1;;;;;;;;;;;;;
diplomat;Diplomat: No Changes;;;;;;;;;;;;;
powerful_friends;Powerful Friends: No Changes;;;;;;;;;;;;;
immoral;Immoral: No Changes;;;;;;;;;;;;;
womanizer;Womanizer: No Changes;;;;;;;;;;;;;
warmonger;Warmonger: No Changes;;;;;;;;;;;;;
corrupt;Corrupt: No Changes;;;;;;;;;;;;;
bootlicker;Bootlicker: §GDefence +1;;;;;;;;;;;;;
sycophant;Sycophant: No Changes;;;;;;;;;;;;;
toady;Toady: §GAttack +1;;;;;;;;;;;;;
yesman;Yesman: No Changes;;;;;;;;;;;;;
