Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
BGR;Bulgaria-Romania;;;;;;;;;;;;;
BGR_absolute_monarchy;The Bulgaria-Romania Kingdom;;;;;;;;;;;;;
BGR_hms_government;Bulgaria-Romania;;;;;;;;;;;;;
BGR_prussian_constitutionalism;Bulgaria-Romania;;;;;;;;;;;;;
BGR_ADJ;Bulgarian-Romanian;;;;;;;;;;;;;
BGR_fascist_dictatorship;Bulgarian-Romanian State;;;;;;;;;;;;;
BGR_proletarian_dictatorship;Bulgarian-Romanian Commune;;;;;;;;;;;;;
BGR_proletarian_dictatorship_ADJ;Bulgarian-Romanian;;;;;;;;;;;;;
BGR_democracy;The Bulgarian-Romanian Republic;;;;;;;;;;;;;
BGR_democracy_ADJ;Bulgarian-Romanian;;;;;;;;;;;;;
BGR_presidential_dictatorship;Republic of Bulgaria-Romania;;;;;;;;;;;;;
SZK;Szeklerland;;;;;;;;;;;;;
SZK_absolute_monarchy;Kingdom of Szeklerland;;;;;;;;;;;;;
SZK_hms_government;Szeklerland;;;;;;;;;;;;;
SZK_prussian_constitutionalism;Szeklerland;;;;;;;;;;;;;
SZK_ADJ;Székely;;;;;;;;;;;;;
SZK_fascist_dictatorship;Székely State;;;;;;;;;;;;;
SZK_proletarian_dictatorship;Székely People's Republic;;;;;;;;;;;;;
SZK_proletarian_dictatorship_ADJ;Székely;;;;;;;;;;;;;
SZK_democracy;Székely Republic;;;;;;;;;;;;;
SZK_democracy_ADJ;Székely;;;;;;;;;;;;;
SZK_presidential_dictatorship;Republic of Szeklerland;;;;;;;;;;;;;
SSS;Hsiao-tao Hui;;;;;;;;;;;;;
SSS_absolute_monarchy;Hsiao-tao Hui Heavenly Kingdom;;;;;;;;;;;;;
SSS_hms_government;Shanghai Heavenly Kingdom;;;;;;;;;;;;;
SSS_prussian_constitutionalism;Shanghai Heavenly Kingdom;;;;;;;;;;;;;
SSS_ADJ;Society;;;;;;;;;;;;;
SSS_fascist_dictatorship;Hsiao-tao Hui;;;;;;;;;;;;;
SSS_proletarian_dictatorship;Shanghai Commune;;;;;;;;;;;;;
SSS_proletarian_dictatorship_ADJ;Shanghainese;;;;;;;;;;;;;
SSS_democracy;Shanghai Republic;;;;;;;;;;;;;
SSS_democracy_ADJ;Shanghainese;;;;;;;;;;;;;
SSS_presidential_dictatorship;Heavenly Republic of Shanghai;;;;;;;;;;;;;
RIG_absolute_monarchy;Kingdom of Eastern Guiana;;;;;;;;;;;;;
RIG_hms_government;Republic of Independent Guiana;;;;;;;;;;;;;
RIG_prussian_constitutionalism;Republic of Independent Guiana;;;;;;;;;;;;;
RIG_fascist_dictatorship;Independent State of Guiana;;;;;;;;;;;;;
RIG_proletarian_dictatorship;Workers Republic of Guiana ;;;;;;;;;;;;;
RIG_proletarian_dictatorship_ADJ;Guianian;;;;;;;;;;;;;
RIG_democracy;Free State of Counani;;;;;;;;;;;;;
RIG_democracy_ADJ;Counani;;;;;;;;;;;;;
RIG_presidential_dictatorship;Republic of Counani;;;;;;;;;;;;;
