Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
PROV3474;Haifa;;;;;;;;;;;;;
PROV3475;Plummer;;;;;;;;;;;;;
PROV3476;Lapwai;;;;;;;;;;;;;
PROV3477;Orkney Islands;;;;;;;;;;;;;
PROV3478;Highlands;;;;;;;;;;;;;
PROV3479;Hebrides;;;;;;;;;;;;;
PROV3480;Isles of Scilly;;;;;;;;;;;;;
PROV3481;Mosbach;;;;;;;;;;;;;
PROV3482;Fernando de Noronha;;;;;;;;;;;;;
PROV3483;Praha;;;;;;;;;;;;;
PROV3484;Kolguyev and Novaya Zemlya Islands;;;;;;;;;;;;;
PROV3485;Baffin Island;;;;;;;;;;;;;
