Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
CLT_ADJ;Celtic;Celtic;Celtic;;;;;;;;;;;
CLT;Celtic Union;Celtic Union;Celtic Union;;;;;;;;;;;
CLT_conservative_92;Conservatives;Conservatives;Conservatives;;;;;;;;;;;
CLT_liberal_79;Liberals;Liberals;Liberals;;;;;;;;;;;
CLT_liberal_87;National Liberals;National Liberals;National Liberals;;;;;;;;;;;
CLT_socialist_85;Socialists;Socialists;Socialists;;;;;;;;;;;
CLT_socialist_99;National Socialists;National Socialists;National Socialists;;;;;;;;;;;
CLT_reactionary_84;Monarchy Leadership;Monarchy Leadership;Monarchy Leadership;;;;;;;;;;;
CLT_radical_93;Radical Liberals;Radical Liberals;Radical Liberals;;;;;;;;;;;
CLT_communist_86;Communists;Communists;Communists;;;;;;;;;;;
CLT_fascist_72;Fascists;Fascists;Fascists;;;;;;;;;;;
