Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
LIB_colonial_company;Liberia;;;;;;;;;;;;;
LIB_colonial_company_2;Liberia;;;;;;;;;;;;;
LIB_colonial_company_3;Liberien;;;;;;;;;;;;;
SXI_colonial_company;Shaan-Gan;;;;;;;;;;;;;
RGA_colonial_company;Algeria;;;;;;;;;;;;;
RGA_colonial_company_2;Algerie;;;;;;;;;;;;;
RGA_colonial_company_2_ADJ;French;;;;;;;;;;;;;
RGA_colonial_company_3;Algerien;;;;;;;;;;;;;
WES_colonial_company;Westfalen;;;;;;;;;;;;;
RHI_colonial_company;Rheinland;;;;;;;;;;;;;
MOR_colonial_company;Tangier International Zone;;;;;;;;;;;;;
TRE_colonial_company;Freistadt Triest;;;;;;;;;;;;;
YEM_colonial_company;The Aden Protectorate;;;;;;;;;;;;;
MRU_colonial_company;The Maritime Dominion;;;;;;;;;;;;;
BOS_colonial_company;Bosnien-Herzegowina;;;;;;;;;;;;;
MLI_colonial_company;French Soudan;;;;;;;;;;;;;
BUN_colonial_company;The Central India Agency;;;;;;;;;;;;;
BLC_colonial_company;The Baluchistan Agency;;;;;;;;;;;;;
RAJ_colonial_company;The Rajputana Agency;;;;;;;;;;;;;
SLS_colonial_company;Schlesien;;;;;;;;;;;;;
PML_colonial_company;Westpreußen;;;;;;;;;;;;;
POL_colonial_company;Generalgouvernement;;;;;;;;;;;;;
BOH_colonial_company;Protektorat Böhmen-Mähren;;;;;;;;;;;;;
SCH_colonial_company;Slesvig;;;;;;;;;;;;;
HOL_colonial_company;Holsten;;;;;;;;;;;;;
SWH_colonial_company;Slesvig-Holsten;;;;;;;;;;;;;
MLW_colonial_company;Nyasaland;;;;;;;;;;;;;
MLW_colonial_company_2;Nyassaland;;;;;;;;;;;;;
MLW_colonial_company_3;Njassaland;;;;;;;;;;;;;
MLW_colonial_company_4;Niassalandia;;;;;;;;;;;;;
NAL_colonial_company;Natal;;;;;;;;;;;;;
ZAM_colonial_company;Northern Rhodesia;;;;;;;;;;;;;
SGP_colonial_company;The Straits Settlement;;;;;;;;;;;;;
MLY_colonial_company;The Malayan Union;;;;;;;;;;;;;
MUG_colonial_company;The Dominion of India;;;;;;;;;;;;;
NEW_colonial_company;The Newfoundland Colony;;;;;;;;;;;;;
AST_colonial_company;Australia;;;;;;;;;;;;;
NZL_colonial_company;The New Zealand Colony;;;;;;;;;;;;;
CAN_colonial_company;The Dominion of Canada;;;;;;;;;;;;;
VTU_colonial_company;New Hebrides;;;;;;;;;;;;;
IOT_colonial_company;British Indian Ocean Territory;;;;;;;;;;;;;
BEL_colonial_company;Flandern-Wallonien;;;;;;;;;;;;;
MSK_colonial_company;Reserva Mosquitia;;;;;;;;;;;;;
BLZ_colonial_company;British Honduras;;;;;;;;;;;;;
MGL_colonial_company;Wai Menggu;;;;;;;;;;;;;
ALS_colonial_company;Elsass-Lothringen;;;;;;;;;;;;;
MCK_colonial_company;Dong Sansheng;;;;;;;;;;;;;
MCK_colonial_company_ADJ;Qing;;;;;;;;;;;;;
XIN_colonial_company_ADJ;Qing;;;;;;;;;;;;;
TST_colonial_company;Südtirol;;;;;;;;;;;;;
LOM_colonial_company;Lombardo-Venetien;;;;;;;;;;;;;
SYR_colonial_company;Grand Liban;;;;;;;;;;;;;
HDJ_colonial_company_2;Sharifate of Mecca;;;;;;;;;;;;;
BAN_colonial_company;Freistaat Banat;;;;;;;;;;;;;
SIE_colonial_company;Siebenburgen;;;;;;;;;;;;;
SIE_colonial_company_ADJ;Siebenbürger;;;;;;;;;;;;;
LBY_colonial_company;Libya;;;;;;;;;;;;;
LBY_colonial_company_2;Libye;;;;;;;;;;;;;
LBY_colonial_company_3;Libyen;;;;;;;;;;;;;
LBY_colonial_company_4;Libia;;;;;;;;;;;;;
ETH_colonial_company;Africa Orientale;;;;;;;;;;;;;
IVC_colonial_company;Ivory Coast;;;;;;;;;;;;;
IVC_colonial_company_2;Cote d'Ivoire;;;;;;;;;;;;;
IVC_colonial_company_3;Elfenbeinkuste;;;;;;;;;;;;;
CAR_colonial_company;Central Africa;;;;;;;;;;;;;
CAR_colonial_company_2;Centrafrique;;;;;;;;;;;;;
CAR_colonial_company_3;Zentralafrika;;;;;;;;;;;;;
VLK_colonial_company;Zuidafrika;;;;;;;;;;;;;
KOR_colonial_company;Chosen;;;;;;;;;;;;;
TAI_colonial_company;Takasago;;;;;;;;;;;;;
