Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
#theocracy_ruler;Pope;;;;;;;;;;;;;
PAP_theocracy_ADJ;Papal;;;;;;;;;;;;;
PAP_proletarian_dictatorship_ADJ;Roman;;;;;;;;;;;;;
PAP_presidential_dictatorship_ADJ;Roman;;;;;;;;;;;;;
PAP_parliamentary_republic_ADJ;Roman;;;;;;;;;;;;;
PAP_fascist_dictatorship_ADJ;Roman;;;;;;;;;;;;;
PAP_democracy_ADJ;Roman;;;;;;;;;;;;;
PAP_absolute_monarchy_ADJ;Roman;;;;;;;;;;;;;
PAP_prussian_constitutionalism_ADJ;Roman;;;;;;;;;;;;;
PAP_hms_government_ADJ;Roman;;;;;;;;;;;;;
