Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ECM;Ecuadorian Revolt;;;;;;;;;;;;;
ECM_absolute_monarchy;Ecuadorian Empire;;;;;;;;;;;;;
ECM_hms_government;Kingdom of Ecuador;;;;;;;;;;;;;
ECM_prussian_constitutionalism;Kingdom of Ecuador;;;;;;;;;;;;;
ECM_ADJ;Ecuadorian;;;;;;;;;;;;;
ECM_fascist_dictatorship;Ecuador;;;;;;;;;;;;;
ECM_proletarian_dictatorship;Ecuadorian Socialist Republic;;;;;;;;;;;;;
ECM_proletarian_dictatorship_ADJ;Ecuador;;;;;;;;;;;;;
ECM_democracy;Marcist Ecuador;;;;;;;;;;;;;
ECM_democracy_ADJ;Ecuadorian;;;;;;;;;;;;;
ECM_presidential_dictatorship;Marcist Ecuador;;;;;;;;;;;;;
ECM_prov_gov_liberal;Los Marcistas;;;;;;;;;;;;;
