Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Flavors Mod Modifiers;;;;;;;;;;;;;;
casino;Monte Carlo Casino;;;;;;;;;;;;;
pax_britannica;Pax Britannica;;;;;;;;;;;;;
notre_dame_afrique;Notre Dame d'Afrique;;;;;;;;;;;;;
kpm_shipping;Koninklijke Paketvaart Maatschappij;;;;;;;;;;;;;
bpm_oil;Bataafse Petroleum Maatschappij;;;;;;;;;;;;;
the_reichstag;The Reichstag;;;;;;;;;;;;;
russian_army_education;Dmitry Milyutin's Army Reform;;;;;;;;;;;;;
russian_army_education_desc;As part of Dmitry Milyutin's Army Reforms, the system of military education was reformed, and elementary education was made available to all draftees.;;;;;;;;;;;;;
qing_ai_boost;The Ever Victorious Army;;;;;;;;;;;;;
singapore_port;Free Port of Singapore;;;;;;;;;;;;;
gateway_to_australia;Australian Migrations;;;;;;;;;;;;;
military_aid;Foreign Military Aid;;;;;;;;;;;;;
military_aid_desc;We are being assisted indirectly by our Great Power ally through Military Advisors, Arms and Supplies. Onwards to victory!;;;;;;;;;;;;;
australia_migrations;Australian Gold Age;;;;;;;;;;;;;
australia_goldrush;Australian Gold Rush;;;;;;;;;;;;;
australia_migrations_vic;Australian Gold Age;;;;;;;;;;;;;
taiping_losing_boost;War Against the Manchu;;;;;;;;;;;;;
qing_substate_boost;Provincial Armies;;;;;;;;;;;;;
ever_victorious_army;The Ever Victorious Army;;;;;;;;;;;;;
ever_victorious_army_desc;The Ever Victorious Army consisted of Chinese soldiers trained and led by an American and European officer corps. It was the first Chinese army which was trained in European techniques, tactics, and strategy. As such, it became a model for later Chinese armies.;;;;;;;;;;;;;
war_graves;War Graves;;;;;;;;;;;;;
america_new_world;The New World;;;;;;;;;;;;;
america_new_world_desc;Many immigrants from the old world are arriving on our shores;;;;;;;;;;;;;
california_gold_rush;California Gold Rush;;;;;;;;;;;;;
silver_rush;Silver Rush;;;;;;;;;;;;;
lone_star;The Lone Star State;;;;;;;;;;;;;
manufacturing_belt_city;The Manufacturing Belt;;;;;;;;;;;;;
manufacturing_belt;The Manufacturing Belt;;;;;;;;;;;;;
immigration_boom_baltic;Ostland Migrations;;;;;;;;;;;;;
war_minister_boulanger;Georges Ernest Boulanger;;;;;;;;;;;;;
war_minister_boulanger_desc;Georges Ernest Jean-Marie Boulanger was a French general and politician. As War Minister, Boulanger gained a tremendous amount of popularity. He introduced reforms for the benefit of soldiers (such as allowing soldiers to grow beards) and appealed to the French desire for revenge against Imperial Germany—in doing so, he came to be regarded as the man destined to serve that revenge earning is nickname 'Général Revanche';;;;;;;;;;;;;
boulangisme;Revanche, Revision, Restoration - Boulangisme!;;;;;;;;;;;;;
boulangisme_desc;Support for the General Georges Boulanger has been rising in the aftermath of his dismissal as Minister of War.;;;;;;;;;;;;;
hundred_days_reforms;The Hundred Days Reforms;;;;;;;;;;;;;
hundred_days_reforms_desc;The Hundred Days Reforms was a series of reforms undertaken by the young Guangxu Emperor and his reform-minded supporters.;;;;;;;;;;;;;
boxer_attacked;Boxer Rebellion;;;;;;;;;;;;;
boxer_attacked_desc;The Righteous Harmony Society is agitating for war against the Foreign Powers, something must be done soon.;;;;;;;;;;;;;
maritime_customs_service;The Maritime Customs Service;;;;;;;;;;;;;
maritime_customs_service_desc;The Chinese Maritime Customs Service was a governmental tax collection agency and information service.;;;;;;;;;;;;;
french_colonial_integration;Colonial Policies;;;;;;;;;;;;;
french_colonial_integration_desc;Encouraging French people to migrate to our new colonies is vital to consolidating our control of the region.;;;;;;;;;;;;;
royal_irish_constabulary;The Royal Irish Constabulary;;;;;;;;;;;;;
microstate;Microstate;;;;;;;;;;;;;
india_civil_service;Imperial Civil Service;;;;;;;;;;;;;
the_eight_banners;The Eight Banners;;;;;;;;;;;;;
the_eight_banners_desc;The Eight Banners were administrative/military divisions under the Qing dynasty into which all Manchu households were placed. In war, the Eight Banners functioned as armies, but the banner system was also the basic organizational framework of all of Manchu society. \n\nThe banner armies were considered the elite forces of the Qing military, while the remainder of imperial troops were incorporated into the vast Green Standard Army. Membership in the banners became hereditary, and bannermen were granted land and income.;;;;;;;;;;;;;
the_xiang_army;The Xiang Army;;;;;;;;;;;;;
the_xiang_army_desc;The Xiang Army was a standing army organized by Zeng Guofan from existing regional and village militia forces called tuanlian to contain the Taiping rebellion. The Army was financed through local nobles and gentry, as opposed to the centralized Manchu-led Qing dynasty. \n\nAlthough it was raised specifically to address problems in Hunan, the Army formed the core of the new Qing military establishment, and as such, forever weakened the Manchu influence within the military. This devolution of centralized command is commonly pointed to as a major reason for the eventual downfall of the Qing and the emergence of regional warlordism in China during the first half of the twentieth century.;;;;;;;;;;;;;
centralization;Centralization;;;;;;;;;;;;;
centralization_desc;A centralized government is one in which power or legal authority is exerted or coordinated by a de facto political executive to which federal states, local authorities, and smaller units are considered subject. On the opposite, decentralization is the process of redistributing or dispersing functions, powers, people or things away from a central location or authority.;;;;;;;;;;;;;
totalitarianism_l;Totalitarianism;;;;;;;;;;;;;
movement_totalitarianism;Totalitarian;;;;;;;;;;;;;
unitary;Unitary;;;;;;;;;;;;;
unitary_l;Unitary;;;;;;;;;;;;;
unitary_desc;A unitary state is a state governed as one single power in which the central government is ultimately supreme. Subnational units are created and abolished, and their powers may be broadened and narrowed by the central authority. What we lose in flexibility and adaptability, we gain in simplicity and efficiency.;;;;;;;;;;;;;
movement_unitary;Unitarian;;;;;;;;;;;;;
federalism;Federalism;;;;;;;;;;;;;
federalism_l;Federalism;;;;;;;;;;;;;
federalism_desc;A federation is a political entity characterized by a union of partially self-governing states or regions under a central government. Sovereign power is formally divided between a central authority and a number of constituent regions so that each region retains some degree of control over its internal affairs.. What we lose in simplicity and efficiency, we gain in flexibility and adaptability.;;;;;;;;;;;;;
movement_federalism;Federalist;;;;;;;;;;;;;
confederalism_l;Confederalism;;;;;;;;;;;;;
confederalism_desc;A confederation (also known as a confederacy or league) is a union of sovereign states, united for purposes of common action often in relation to other states. Since the member states of a confederation retain their sovereignty, they have an implicit right of secession, in contrast with a federal one, the central authority of a Confederation is relatively weak and makes for a slow and inefficient government.;;;;;;;;;;;;;
regionalism_l;Regionalism;;;;;;;;;;;;;
regionalism_desc;Regionalism occurs when a government has a weak central authority and parts of the country generally have strong levels of autonomy by the local leaders, while these regions do technically answer to the state, the level of control over these regions is usually limited and ineffective.;;;;;;;;;;;;;
movement_regionalism;Regionalist;;;;;;;;;;;;;
movement_confederalism;Confederalist;;;;;;;;;;;;;
no_controls;No Controls;No Controls;No Controls;;No Controls;;;;;;;;;
no_controls_l;No Controls;No Controls;No Controls;;No Controls;;;;;;;;;
no_controls_desc;There are no pollution controls whatsoever.;No Controls;No Controls;;No Controls;;;;;;;;;
trinket_envir;Few Standards;Little Regulation;Little Regulation;;Little Regulation;;;;;;;;;
trinket_envir_l;Few Standards;Little Regulation;Little Regulation;;Little Regulation;;;;;;;;;
trinket_envir_desc;Toxic waste can't be dumped straight into food.;Little Regulation;Little Regulation;;Little Regulation;;;;;;;;;
low_envir;Some Standards;Some Standards;Some Standards;;Some Standards;;;;;;;;;
low_envir_l;Some Standards;Some Standards;Some Standards;;Some Standards;;;;;;;;;
low_envir_desc;Air emissions and toxic waste dumping are regulated.;Some Standards;Some Standards;;Some Standards;;;;;;;;;
acceptable_envir;Good Standards;Good Standards;Good Standards;;Good Standards;;;;;;;;;
acceptable_envir_l;Good Standards;Good Standards;Good Standards;;Good Standards;;;;;;;;;
acceptable_envir_desc;Most pollutants that could cause a threat to public health are heavily regulated.;Good Standards;Good Standards;;Good Standards;;;;;;;;;
good_envir;Strict Standards;Strict Standards;Strict Standards;;Strict Standards;;;;;;;;;
good_envir_l;Strict Standards;Strict Standards;Strict Standards;;Strict Standards;;;;;;;;;
good_envir_desc;The dumping or emissions of all dangerous substances are strictly controlled, and violation of pollution laws carries hefty penalties.;Strict Standards;Strict Standards;;Strict Standards;;;;;;;;;
pollution;Pollution Control;;;;;;;;;;;;;
colonial_policy;Colonial Policy;;;;;;;;;;;;;
