Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
NORMAL_WAR_CONQUEST_ANY_NAME_FRA_ALD;The $FIRST$ $ORDER$Pacification of Algeria;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_FRA_ALD;The $FIRST$ $ORDER$Pacification of Algeria;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_FRA_ABA;The $ORDER$Kabylie Revolt;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_FRA_ALD;The $FIRST$ $ORDER$Conquest of Algeria;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_FRA_LBY;The $ORDER$Siege of Constantine;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_FRA_ABA;The $ORDER$ Kabylie Revolt;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_FRA_ALD;The $FIRST$ $ORDER$Conquest of Algeria;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_FRA_LBY;The $ORDER$Siege of Constantine;;;;;;;;;;;;;
test_end_war_setup;Negotiate a Treaty;;;;;;;;;;;;;
test_end_war_short;Negotiate a Treaty;;;;;;;;;;;;;
NORMAL_WAR_TREATY_SIGNING;$FIRST$-$SECOND$ Treaty Negotiations;;;;;;;;;;;;;
AGRESSION_WAR_TREATY_SIGNING;$FIRST$-$SECOND$ Treaty Negotiations;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME_TOU_SEG;The $ORDER$Tukulor Conquest of Segu;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_TOU_SEG;The $ORDER$Tukulor Conquest of Segu;;;;;;;;;;;;;
NORMAL_WAR_CONCESSION_NAME_RUS_XIN;The$ORDER$ Expedition to Kashgaria;;;;;;;;;;;;;
AGRESSION_WAR_CONCESSION_NAME_RUS_XIN;The$ORDER$ Expedition to Kashgaria;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_NET_SLW;The Sulawesi Expedition;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_NET_SLW;The Sulawesi Expedition;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_PER_TKM;The $ORDER$Persian Invasion of Turkmenia;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_PER_TKM;The $ORDER$Persian Invasion of Turkmenia;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_NET_DJA;The $ORDER$Jambi War;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_NET_DJA;The $ORDER$Jambi War;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_NET_KLM;The $ORDER$Banjarmasin War;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_NET_KLM;The $ORDER$Banjarmasin War;;;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME_ENG_JAM;The Morant Bay Rebellion;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_ENG_JAM;The Morant Bay Rebellion;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_MEE_MEX;José de Urrea's Revolt;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_MEE_MEX;José de Urrea's Revolt;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_ENG_SIN;The Conquest of Sindh;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_ENG_SIN;The Conquest of Sindh;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_BOR_BEL;The French Intervention in Belgium;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_BOR_BEL;The French Intervention in Belgium;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_ANY_NAME_QNG_TAI;The Tai Chao-chuen incident;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_ANY_NAME_QNG_TAI;The Tai Chao-chuen incident;;;;;;;;;;;;;
AGRESSION_WAR_CONQUEST_NAME_TUR_CRE;The $ORDER$Cretan Revolt;;;;;;;;;;;;;
NORMAL_WAR_CONQUEST_NAME_TUR_CRE;The $ORDER$Cretan Revolt;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_ENG_SOKThe $ORDER$Northern Nigeria Expedition;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_ENG_SOK;The $ORDER$Northern Nigeria Expedition;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_ENG_BEN;The $ORDER$Benin Expedition;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_ENG_BEN;The $ORDER$Benin Expedition;;;;;;;;;;;;;
AGRESSION_WAR_PROTECTORATE_NAME_FRA_TOO;The French Conquest of Senegal;;;;;;;;;;;;;
NORMAL_WAR_PROTECTORATE_NAME_FRA_TOO;The French Conquest of Senegal;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_WOL_FRA;The French Conquest of Senegal;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_WOL_BOR;The French Conquest of Senegal;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_BAM_FRA;The French Conquest of Soudan;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_BAM_BOR;The French Conquest of Soudan;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_MAS_FRA;The French Conquest of Soudan;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_MAS_BOR;The French Conquest of Soudan;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_TOU_FRA;The French Conquest of Soudan;;;;;;;;;;;;;
NORMAL_WAR_HUMILIATE_NAME_TOU_BOR;The French Conquest of Soudan;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_TUR_KDS;The $ORDER$Ottoman Intervention in Kurdistan;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_TUR_KDS;The $ORDER$Ottoman Intervention in Kurdistan;;;;;;;;;;;;;
AGRESSION_WAR_RESTORE_ORDER_NAME_SAR_GEN;The $ORDER$Genoese Revolt;;;;;;;;;;;;;
NORMAL_WAR_RESTORE_ORDER_NAME_SAR_GEN;The $ORDER$Genoese Revolt;;;;;;;;;;;;;
