Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
bessarabia_rename_rus_title;Rename Bessarabia!;;;;;;;;;;;;;
bessarabia_rename_rus_desc;Bessarabia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
bessarabia_rename_rom_title;Rename Bessarabia!;;;;;;;;;;;;;
bessarabia_rename_rom_desc;Bessarabia is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
bukovina_rename_rus_title;Rename Bukovina!;;;;;;;;;;;;;
bukovina_rename_rus_desc;Bukovina is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
bukovina_rename_rom_title;Rename Bukovina!;;;;;;;;;;;;;
bukovina_rename_rom_desc;Bukovina is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
bukovina_rename_aus_title;Rename Bukovina!;;;;;;;;;;;;;
bukovina_rename_aus_desc;Bukovina is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
rename_sicily_title;Rename Sicily!;;;;;;;;;;;;;
rename_sicily_desc;Sicily is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
rename_provence_title;Rename Provence!;;;;;;;;;;;;;
rename_provence_desc;Provence is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
rename_rhone_title;Rename Rhône!;;;;;;;;;;;;;
rename_rhone_desc;Rhône is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
FRA_451;Rhône;;;;;;;;;;;;;
burgenland_rename_title;Rename the Burgenland;;;;;;;;;;;;;
burgenland_rename_desc;The Burgenland is rightfully $COUNTRY_ADJ$, and should use $COUNTRY_ADJ$ names.;;;;;;;;;;;;;
qingdao_treaty_port_ger_title;The Kiautschou Bay Concession;;;;;;;;;;;;;
qingdao_treaty_port_ger_desc;November, 1897. The Big Sword Society brutally murdered two German Roman Catholic priests of the Steyler Mission in Juye County in southern Shantung. This event was known as the "Juye Incident." Admiral von Diederichs, commander of the German East Asia Cruiser Squadron, wired on 7 November 1897 to the admiralty: "May incidents be exploited in pursuit of further goals?" Upon receipt of the Diederichs cable, chancellor Chlodwig von Hohenlohe counseled caution, preferring a diplomatic resolution. However, Kaiser Wilhelm II intervened and the admiralty sent a message for Diederichs to "proceed immediately to Kiautschou with entire squadron ..." to which the admiral replied "will proceed ... with greatest energy.";;;;;;;;;;;;;
tianjin_treaty_port_title;The Tientsin Concession;;;;;;;;;;;;;
tianjin_treaty_port_desc;,Tientsin - meaning "the Heavenly Ford", is a major port bounded to the east by the Bohai Gulf portion of the Yellow Sea. It is an important grain hub and would be an excellent port to gain a foothold in Northern China;;;;;;;;;;;;;
kwangchowan_treaty_port_fra_title;The Kwangchow Wan Concession;;;;;;;;;;;;;
kwangchowan_treaty_port_fra_desc;Kwangchowan - meaning "Guangzhou Bay" - is situated in Canton Province (Canton Province) on the east side of the Leizhou Peninsula, north of Hainan. Right now the cities are commercially unimportant but is strategically located, we will need it in order to counter the growing rival commercial powers in the region.;;;;;;;;;;;;;
begin_pax_britannica_title;Pax Britannica;;;;;;;;;;;;;
begin_pax_britannica_desc;The Napoleonic Wars left Great Britain as the most powerful naval country in the world, with no meaningful rivals. The country's economic and strategic strength was buttressed by the fleet, localized military action was a staple of the not-entirely-peaceful 'Pax Britannica'. In addition, the threat of naval force was a significant factor in diplomacy.\nDuring the late 19th century, Britain's primary goal in foreign policy was to maintain the balance of power in Europe and to intervene if that balance was upset. Its secondary goal was to protect its overseas interest in the colonies and dominions, as free trade kept the Empire alive. The sea routes to the colonies, especially those linking Britain to India were vital.\n§RNOTE: This will cause Britain to reject all alliances with great powers unless it is threatened by another rising great power or Belgium gets annexed.§W;;;;;;;;;;;;;
pax_britannica_desc;With the strength of the Royal Navy protecting our shores, we will focus our attention instead to our Empire and our Colonies!;;;;;;;;;;;;;
claim_wallonia_title;Claim Wallonia;;;;;;;;;;;;;
claim_wallonia_desc;§RGain 6 infamy§! With our natural borders at the Rhine secured, to accomplish the goal of Francophone unity, the French-Speaking Wallonians must be brought into the fold. However, there is no doubt that this would cause an uproar among other Great Powers, if we were to proclaim Wallonia as French, we will cause another crisis in Europe.;;;;;;;;;;;;;
annex_united_baltic_duchy_title;Vereinigtes Baltisches Herzogtum;;;;;;;;;;;;;
annex_united_baltic_duchy_desc;§RGain 4 infamy§! The time has come to incorporate the Baltics as a imperial state of the German Empire, his Highness Adolf Friedrich the First, Duke of Mecklenburg-Schwerin and of the United Baltic Duchy, has requested from the Reichstag and the Deutsche Kaiser the recognition of his Baltic domains as a Constituent State of the German Empire.;;;;;;;;;;;;;
ober_ost_title;Ober Ost Litauen;;;;;;;;;;;;;
ober_ost_desc;§RGain 1 infamy§! In our military successes against the Russians in the east, many more eastern lands are now under our rule, while the local German Nobility can be left in charge of Estonia and Latvia, Lithuania will require a much more direct method of control. Ober Ost, 'Supreme Command of All German Forces in the East', will be assigned to the region to both pacify the native population and civilize them with German ideals and culture.;;;;;;;;;;;;;
demand_russian_latvia_title;Demand Russian Latvia;;;;;;;;;;;;;
demand_russian_latvia_desc;Although we have successfully taken control of the Baltics from the Russians, there are still some disputed lands in Latvia which have not yet been ceded to us after the Russian defeat. Whilst the Russians are still licking their wounds, we must demand for the complete transfer of the Baltics!;;;;;;;;;;;;;
