Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME190451;Accusations of Fraud;;;;;;;;;;;;;
EVTDESC190451;\n\nSome of the jewelry our excavators have discovered have been found to be of questionable validity...;;;;;;;;;;;;;
EVTOPTA190451;Blast!;;;;;;;;;;;;;
EVTOPTA190461;Overwhelming...!;;;;;;;;;;;;;
EVTNAME1904012;Minoan Excavations;;;;;;;;;;;;;
EVTDESC1904012;\n\n$FROMCOUNTRY$ has come to us asking for our permission to launch an expedition to excavate ancient Cretan ruins.\n\nWhat action shall we take?;;;;;;;;;;;;;
EVTOPTA1904012;Grant the $FROMCOUNTRY_ADJ$ a excavation permit;;;;;;;;;;;;;
EVTOPTB1904012;Never!;;;;;;;;;;;;;
EVTNAME1904112;$FROMCOUNTRY$ Grants Excavation Permit;;;;;;;;;;;;;
EVTDESC1904112;\n\nThe government of $FROMCOUNTRY$ has granted us the exclusive right to excavate and investigate ancient ruins in Knossos. The potential discoveries there will prove an enormous opportunity for us to increase our scientific renown in the world.;;;;;;;;;;;;;
EVTNAME1904212;$FROMCOUNTRY$ Refuses Excavation Permit;;;;;;;;;;;;;
EVTDESC1904212;\n\nThe government of $FROMCOUNTRY$ has refused to allow us excavation rights in Knossos. Our international prestige has been lowered as a result, and relations with $FROMCOUNTRY$ have soured.;;;;;;;;;;;;;
EVTNAME1904312;Legal Issues;;;;;;;;;;;;;
EVTDESC1904312;\n\nOur excavation team has been involved in some unfortunate legal allegations in Crete...;;;;;;;;;;;;;
EVTOPTA1904312;A little money may help?;;;;;;;;;;;;;
EVTOPTB1904312;Bring them home;;;;;;;;;;;;;
EVTNAME190441;Grave Circle A, Mycenae;;;;;;;;;;;;;
EVTDESC190441;\n\nGrave Circle A is a 16th-century BC royal cemetery situated to the south of the Lion Gate, the main entrance of the Bronze Age citadel of Mycenae in southern Greece. This burial complex was initially constructed outside the fortification walls of Mycenae, but was ultimately enclosed in the acropolis when the fortifications were extended during the 13th century BC. The grave site represents one of the major characteristics of the early phase of the Mycenaean civilization;;;;;;;;;;;;;
EVTNAME190442;The Palace of Knossos;;;;;;;;;;;;;
