Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
goldentitle;The Golden Law;;;;;;;;;;;;;
goldendesc;The Lei Áurea (Golden Law) was sanctioned by Isabel, Imperial Princess of Brazil, who was regent at the time while her father, Emperor Dom Pedro II, was in Europe. It was signed in $YEAR$ and was the law that abolished slavery in Brazil. It had only two articles. The succinctness of the law was intended to make clear that there were no conditions of any kind to the freeing of all slaves. Aside from the activities of abolitionists, there were a number of reasons for the signing of the law: slavery was no longer profitable, as the wages of European immigrants, whose working conditions were poor, cost less than the upkeep of slaves, and the decline in the arrival of new slaves - Brazil was the last country in the Western world to abolish slavery. The Brazilian government was also under pressure from Britain, who sought to end the slave trade in order to expand production in its own colonies.;;;;;;;;;;;;;
goldenopt2;Free slaves?! In *my* country? Revoke this useless law!;;;;;;;;;;;;;
goldenopt1;Article 1: From this date, slavery is declared abolished in Brazil.;;;;;;;;;;;;;
frajulytitle;Downfall of the July Monarchy!;;;;;;;;;;;;;
frajulydesc;The republicans had never forgiven Louis-Philippe for 'confiscating' their revolution in 1830. The urban workers, moved by their misery and by the powerful social myths engendered by the Revolution of 1789, remained unreconciled. Beginning in 1847, the leaders of the opposition set out to take advantage of this restless mood and to force the regime to grant liberal reforms. Since public political meetings were illegal, they undertook a series of political 'banquets' to mobilize the forces of discontent. This campaign was to be climaxed by a mammoth banquet in Paris on February 22, 1848. But the government, fearing violence, ordered the affair canceled. On the 22nd, crowds of protesting students and workers gathered in the streets and began to clash with the police and by the morning of February 24, the angry crowd was threatening the royal palace. Louis-Philippe, confronted by the prospect of civil war, hesitated and then retreated once more. What will the king do?;;;;;;;;;;;;;
frajulyopt1;It is distasteful, but I will abdicate for the good of France.;;;;;;;;;;;;;
frajulyopt2;The House of Orleans shall ever rule France!;;;;;;;;;;;;;
f2empiretitle;Establishment of the Second French Empire;;;;;;;;;;;;;
f2empiredesc;In 1848, the voters of the second French Republic choose Louis-Napoléon Bonaparte, who had returned from British exile in September, as their president. During the next two years, President Bonaparte played his cards carefully, trying to win the hearts of the the Roman catholics and the population. During his mandate, his efforts to please the assembly probably derived from his hope that the assembly would reciprocate: he wanted funds from the treasury to pay his personal debts and run his household, along with a constitutional amendment that would allow him to run for a second term. By 1851 it was clear that the majority of the assembly was not ready to give the president what he wanted. Louis-Napoléon didn't want to step down and proceeded with a plebiscite to emend the constitution. At the same time, officially inspired petitions for a restoration of the empire began to flow to Paris. The Senate responded to what it described as the nation's desires, and on December 2, 1852...;;;;;;;;;;;;;
nappy3deptitle;Napoleon III Deposed!;;;;;;;;;;;;;
nappy3depdesc;After the start of the Franco-Prussian war on July 19, 1870, few French or foreign observers anticipated the military disaster that followed. The French armies, sunk in routine and slow to mobilize, were not yet ready to fight when the Prussian forces under Helmuth von Moltke crossed into France. One French army, under Achille-François Bazaine, was bottled up in Metz. Another, under Patrice de Mac-Mahon, was cornered at Sedan. There, on September 1, the Prussians won a clear-cut victory: Napoleon III himself was taken prisoner. The regime could not survive such a humiliation. When the news reached Paris on September 4, crowds filled the streets and converged on the Corps Législatif, demanding the proclamation of a republic. The imperial officials...;;;;;;;;;;;;;
nappy3opt1;put up no serious resistance: the revolution was the most bloodless in French history.;;;;;;;;;;;;;
nappy3opt2;...suppressed the mob, guaranteeing the permanence of the monarchy.;;;;;;;;;;;;;
argsectitle;The 1853 Constituent Assembly;;;;;;;;;;;;;
argsecdesc;Argentinian dictator, Juan Manuel de Rosas, stayed in power for more than twenty years. This fact was partly because of the weakness of Argentina's natural rival in the Río de la Plata area, Brazil, which had been involved in a civil war (1835-45) in Rio Grande do Sul. Once the rebellion was put down, it was only a question of time until Brazil again influenced the Río de la Plata region. This influence opposed Rosas, and it worked in support of a rebellion by General Justo José de Urquiza, governor of the province of Entre Ríos. In 1851 Urquiza formed an alliance with Brazil and Uruguay. The allies defeated his main army in the Battle of Caseros, just outside Buenos Aires. Thus the Platine War came to an end. Rosas, escaped to England, where he died in 1877. General Urquiza called a constitutional convention in 1852 and the convention adopted a constitution that went into effect on May 25, 1853. The first elected president was Urquiza and the first capital was Paraná.;;;;;;;;;;;;;
argsecopt1;Viva Urquiza! Viva la democracia!;;;;;;;;;;;;;
argsecopt2;pressure the new constitution to be dropped.;;;;;;;;;;;;;
EVTNAME55560;The Weimar Republic;;;;;;;;;;;;;
EVTDESC55560;After the loss of Alsace-Lorraine, the republic that was proclaimed early in the afternoon of Saturday, November 9, 1918, is often called the 'accidental republic'. When Friedrich Ebert, the leader of the so-called Majority Socialists, accepted the imperial chancellorship from Max von Baden, it was with the understanding that he would do his utmost to save the imperial system from revolution. Ebert believed that the only way to accomplish this would be by transforming Germany into a constitutional monarchy. Elections would have to be held for a constituent assembly, whose task it would be to draw up a new constitution...;;;;;;;;;;;;;
EVTNAME50004;The Shift to Liberalism!;;;;;;;;;;;;;
EVTDESC50004;García Moreno's death in 1875, as he himself might have forecast, brought a period of near anarchy. Conservatives and liberals struggled for power. But Ecuador had become part of the world market: the importance of the coast slowly increased, and the liberals of that area increasingly dominated the economy. A new liberal hero emerged from the lower classes as the leader of the coastal reaction to Sierra conservatism and clericalism. A man of great personal magnetism, Gen. Eloy Alfaro led a march against the Sierra in $YEAR$ and after a year...;;;;;;;;;;;;;
EVTNAME50005;The Liberal Constitution;;;;;;;;;;;;;
EVTDESC50005;\n\nSolano López died in combat. Paraguay lay ruins, with more than half of its former population dead. This brought the end of the War of the Triple Alliance in $YEAR$ and under a liberal constitution promulgated in $YEAR$, Paraguay began a painful reconstruction. The constitution...;;;;;;;;;;;;;
EVTNAME50006;The Democratic Stability;;;;;;;;;;;;;
EVTDESC50006;After the War of the Pacific, a vigorous debate among civilian elites spawned the development of new political parties. Mining entrepreneurs, who had become the most important economic group in the country, created the Conservative Party. Conservatives favored reaching a quick peace settlement with Chile that would include indemnification for lost territories and enable Bolivia to construct a railroad for mining exports. The Liberal Party denounced the pacifism of the Conservatives. Despite these differences, both parties were primarily interested in political and economic modernization, and their ideological outlooks were similar. The governments in power elected by a small, literate electorate brought Bolivia its first relative political stability and prosperity.;;;;;;;;;;;;;
EVTNAME50007;Capital moves to La Paz;;;;;;;;;;;;;
EVTDESC50007;In 1898, La Paz was made the de facto seat of the national government, with Sucre remaining the nominal historical as well as judiciary capital. This change reflected the shift of the Bolivian economy away from the largely exhausted silver mines of Potosí to the exploitation of tin near Oruro, and resulting shifts in the distribution of economic and political power among various national elites. This changed marked the end of the Conservative Party dominance and the era of the Liberal Party that ruled until 1920.;;;;;;;;;;;;;
EVTNAME50008;The Aristocratic Republic;;;;;;;;;;;;;
EVTDESC50008;In $YEAR$, Nicolás de Piérola, after allying his party with the Civil Party of Peru to organize guerrillas with fighters to occupy Lima, ousted Andrés Avelino Cáceres and once again became president of Peru. After a brief period in which the military once again controlled the country, civilian rule was permanently established with Pierola's election. His second term was marked by his reconstruction of a devastated Peru by initiating fiscal, military, religious, and civil reforms. Until the 1920s, this period was called the "Aristocratic Republic", since most of the presidents that ruled the country were from the social elite.;;;;;;;;;;;;;
EVTNAME50011;The September 11th Revolution;;;;;;;;;;;;;
EVTDESC50011;Urquiza called the San Nicolás Agreement, so that all provinces agreed to convene the 1853 Constituent Assembly. This was resisted in Buenos Aires, and the unitarians took advantage of a temporary absence of Urquiza from the city to do the September 11 revolution and secede Buenos Aires from the confederation. It was now the State of Buenos Aires.;;;;;;;;;;;;;
EVTNAME50012;Buenos Aires enforces peace;;;;;;;;;;;;;
EVTDESC50012;Buenos Aires attempted military actions against the Confederation, to prevent the work of the Assembly, but failed. The Argentine Constitution of 1853 was sanctioned on May 1, 1853, inviting Buenos Aires to return. Buenos Aires wrote their own constitution in 1854. Both countries, the Confederation and the State of Buenos Aires, accepted the status quo, with a serious danger of becoming a definitive secession.;;;;;;;;;;;;;
EVTNAME50013;War on Buenos Aires!;;;;;;;;;;;;;
EVTDESC50013;After a series of aggressions by both sides, the Argentine-Buenos Aires war started again.;;;;;;;;;;;;;
EVTNAME50014;National Unification;;;;;;;;;;;;;
EVTDESC50014;Various hostilities between the Argentine Confederation and the State of Buenos Aires culminated in the 1861 Battle of Pavón, and to victory on the part of Mitre and Buenos Aires over Urquiza's national forces. President Santiago Derqui, who had been backed by Urquiza, resigned, and the Argentine Confederation was replaced by the Argentine Republic on December 17, 1861. Mitre, who despite victory reaffirmed his commitment to the 1860 constitutional amendments, was elected the republic's first president in 1862.;;;;;;;;;;;;;
EVTDESC599998;The outbreak of War with the Germans brought an upsurge of patriotic fervor centered on the tsar. The Germanic form of the city's name was changed to its Russian version. The city was renamed Petrograd, meaning "Peter's City", to remove the German word "burg.";;;;;;;;;;;;;
EVTDESC599999;For the sake of stability, tsarism insisted on rigid autocracy that effectively shut out the population from participation in government. At the same time, to maintain its status as a great power, it promoted industrial development and higher education, which were inherently dynamic. The result was perpetual tension between government and society, especially its educated element, known as the intelligentsia. This tension and the intelligentsia publishing works criticizing the government, the hardships of war and the technological backwardness of Russia that was demonstrated during the defeat at the Crimean War are contributing to a increase in militancy and consciousness among our people. Socialist and Communists ideals are spreading among the urban workers.;;;;;;;;;;;;;
EVTDESC600000;The February Revolution of 1917 was the first of two revolutions in Russia in 1917. Centered on the then capital Petrograd (modern day St. Petersburg) in March (late February in the Julian calendar). This revolution appeared to break out spontaneously, without any real leadership or formal planning. Russia had been suffering from a number of economic and social problems, which were compounded by the impact of World War I. Bread rioters and industrial strikers were joined on the streets by disaffected soldiers from the city's garrison. As more and more troops deserted, and with loyal troops away at the Front, the city fell into a state of chaos, leading...;;;;;;;;;;;;;
EVTDESC600001;Lenin arrived in Petrograd on April 16, 1917, one month after the Tsar had been forced to abdicate.On his return to Russia, Lenin electrified his own comrades, most of whom accepted the authority of the Provisional Government. Lenin called this government, despite its democratic pretensions, thoroughly imperialist and undeserving of support by Socialists. It was incapable of satisfying the most profound desires of the workers, soldiers, and peasants for immediate peace and division of landed estates among the peasants. Only a soviet government - that is, direct rule by workers, soldiers, and peasants - could fulfill these demands. Therefore, he raised the battle cry, 'All power to the Soviets!'. He began publishing papers and stirring up the communists and socialists! What should the provisional government do?;;;;;;;;;;;;;
EVTDESC600002;The Milyukov note was an incident on the 20th of April 1917, one which resulted in the bolstering of support for the Bolsheviks in Russia, and a widespread mistrust of the Russian Provisional Government. Foreign Minister Pavel Milyukov sent the Allied Powers a telegram, one which would prove to be a turning point of 1917. The telegram contained the statement that the Provisional Government would continue the war with the Tsarist war aims. The telegram was leaked to the Bolsheviks by an insider, and they began protests against the Provisional Government, which had previously promised the people that the terror of Tsardom had ended. The consequences were...;;;;;;;;;;;;;
EVTDESC600003;The July Days refers to events in 1917 that took place in Petrograd, Russia, between 3 July and 7 July (Julian calendar), when soldiers and industrial workers engaged in spontaneous demonstrations against the Russian Provisional Government. The Bolsheviks tried to provide leadership to the demonstrations. The military attacked the peaceful demonstration and engaged in repression against the Bolsheviks. Lenin went into hiding, while other leaders were arrested. The outcome of the July Days represented a temporary decline in the growth of Bolshevik power and influence in the period before the October Revolution.;;;;;;;;;;;;;
