Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
ITS;Italy;;;;;;;;;;;;;
ITS_democracy;The Italian Federation;;;;;;;;;;;;;
ITS_ADJ;Italian;;;;;;;;;;;;;
ITS_proletarian_dictatorship;The People's Union of Italy;;;;;;;;;;;;;
ITS_fascist_dictatorship;The Italian State;;;;;;;;;;;;;
ITS_absolute_monarchy;The Italian Empire;;;;;;;;;;;;;
ITS_prussian_constitutionalism;The Italian Empire;;;;;;;;;;;;;
ITS_hms_government;The Italian Empire;;;;;;;;;;;;;
ITS_theocracy;The Italian Federation;;;;;;;;;;;;;
ITS_reactionary;Fazione Monarchica;Restorationiste;Ristorazionista;;Restauracionistas;;;;;;;;;
ITS_conservative;La Destra;;;;;;;;;;;;;
ITS_conservative_2;Partito Liberale Italiano;;;;;;;;;;;;;
ITS_conservative_3;Sinistra Dissidente;;;;;;;;;;;;;
ITS_liberal;La Sinistra;;;;;;;;;;;;;
ITS_liberal_2;Partito Repubblicano Italiano;;;;;;;;;;;;;
ITS_socialist;L'Estrema;;;;;;;;;;;;;
ITS_socialist_2;Partito Socialista Italiano;;;;;;;;;;;;;
ITS_radical;L'Estrema Liberale;;;;;;;;;;;;;
ITS_communist;Partito Comunista d'Italia;;;;;;;;;;;;;
ITS_fascist;Partito Nazionale Fascista;;;;;;;;;;;;;
form_ITS_title;Southern Italian Virtues;;;;;;;;;;;;;
form_ITS_desc;The people of southern Italy have their own culture and history that is unique from those near the Alpine Mountains. As the unifiers of the peninsula, we must ensure our superior values spread across Italy and are represented in how Italy presents itself on the world stage.;;;;;;;;;;;;;
