Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
ALANDISLANDS;\n\nThe Åland Islands are an archipelago located at the mouth of the Gulf of Bothnia. It comprises Fasta Åland, the largest island, on which 90% of the population resides, and about 6,500 skerries and islands to its east, of which less than a hundred are inhabited. The islands occupy a position of strategic importance, as they command one of the entrances to the port of Stockholm, as well as the approaches to the Gulf of Bothnia, in addition to being situated near the Gulf of Finland. The islands were part of the Kingdom of Sweden until they were transferred to the Tsardom of Russia in the 1807 Treaty of Fredrikshamn alongside all of Finland.;;;;;;;;;;;;;
GOTLANDISLAND;\n\nThe island of Gotland lies east of Sweden and is fully encompassed by the Baltic Sea. With a length of 125km, a width of 52km and a size of nearly three thousand square kilometers, its mainstay is not fishing but agriculture. The island was once covered in many marshes and bogs, but after Sweden took control over the island in the 1645 Treaty of Brömsebro, these were gradually drained to make way for farmland and pastures. Gotland commands a strategic position in the center of the Baltic Sea, and its largest city, Visby, possesses a large natural harbor that serves as an ideal naval base. The island also shows promise as a tourist destination: Socialites are increasingly visiting the island on holiday to go bathing at its many calm beaches.;;;;;;;;;;;;;
OLANDISLAND;\n\nSeparated from the Swedish mainland by the Kalmar Strait, which is only 6km wide at its narrowest point, Öland is Sweden's second largest island with an area of 1342 square kilometers, though it is remarkably sparsely populated. While not enjoying the central position that Gotland has, Öland's location may be even more valuable than that of the former, as it still offers us a strong position in the Baltic Sea, while also allowing us to easily threaten Sweden. The island itself has historically always been a part of Sweden, being used as a royal hunting ground until very recently. When the its status changed, the administration of the isle's forests underwent a series of reforms to the dismay of the locals that relied on them to make a living. If we were to appease the local inhabitants, governing the island may prove easy, lest we risk turning the already disgruntled population against us.;;;;;;;;;;;;;;;;;;;;;;;;;;
BORNHOLMISLAND;\n\nStrategically located in the southern Baltic Sea, Bornholm has been fought over for centuries. It has usually been ruled by Denmark, but also by Sweden and by Lübeck. The ruin of Hammershus, at the northwestern tip of the island, is the largest medieval fortress in northern Europe, testament to the importance of its location. The island is just under six hundred square kilometers in size, and its geology consists of granite, which is mined in numerous quarries. Bornholm's largest town, Rønne, is located at a natural harbor on its southeastern shore. It was fairly important during the Middle Ages, but has lost significance due to the general decline in Baltic trade.;;;;;;;;;;;;;
RUGENISLAND;\n\nLocated just off the coast of Hither Pomerania, Rügen is an island 52km wide and 41 km long, measuring nearly one thousand square kilometers in size. The 2km-wide Strelasund, a sound of the Baltic Sea, separates it from the mainland. It had been part of the Holy Roman Empire until its transfer to Sweden in the Peace of Westphalia after the 30 Years' War, returning to German hands with the end of the Napoleonic Wars. The island's beaches have been home to resorts since the 18th century, attracting increasing numbers of tourists. Rügen's many narrow peninsulas and seaside cliffs make it quite defensible. Its highest point, the 161m Piekberg, is crowned by the old Granitz hunting lodge, a residence of the local nobles, that has a tower from which the entire island and its surrounding waters can be observed.;;;;;;;;;;;;;
HELIGOLANDISLAND;\n\nHeligoland is a small archipelago in the North Sea located 46km off the coast of Germany.It consists of the namesake main island of Heligoland itself, where all of the inhabitants live, and the Düne, a small, desolate and uninhabited island to the east. Naturally, Heligoland's location offers a strategic but slightly exposed position in the North Sea, allowing it to be used as a launching point of hypothetical invasions of Germany, Scandinavia or even the Lowlands. Of course, some investments in infrastructure would need to be made. Heligoland was part of Denmark or Schleswig for most of its history, and was annexed by Great Britain during the Napoleonic Wars to prevent further French naval aggression in the region. With Napoleon permanently subdued, the island became nothing more than a tourist destination and refuge for revolutionaries from Germany and Austria.;;;;;;;;;;;;;
WESTFRISIANISLANDS;\n\nThe West Frisian Islands, also known as the Dutch Wadden Islands, are a series of 14 small stable barrier islands off the Dutch coast. Of the 14, only 5 are currently inhabited, with some of the uninhabited ones disappearing from time to time. The archipelago would grant us total control over half of the Dutch coast, while also being a useful naval base for any operation in the North Sea. As with the rest of the Wadden Archipelago, the West Frisian Islands will need quite a lot of investment if we want to make the most out of them. Considering the importance of the Dutch in European trade, effectively taking control of their coast could prove very worthwhile.;;;;;;;;;;;;;
EASTFRISIANISLANDS;\n\nA part of the Wadden Archipelago, the East Frisian Islands are an island chain located about 3.5km to 10km off the coast of Germany. They are 12 islands in total, of which more than half are currently inhabited. It must be noted, however, that they are not entirely stable, with locals affirming that some of the islands are still subject to movement and change caused by the ever-present tides and frequent storms. By acquiring the East Frisian Islands we would not only gain a strong position controlling the western German coast, but also a useful port in the North Sea, which we could use as a base of operations for our navy. The islands have historically been somewhat insignificant, never catching the attention of the great powers. Some of them only became inhabited by the 13th century, with many being used as havens for smugglers and pirates from the Middle Ages all the way to the Napoleonic Wars.;;;;;;;;;;;;;
NORTHFRISIANISLANDS;\n\nLocated to the west of the North Sea coast of Schleswig, the North Frisian Islands are a small archipelago in the Wadden Sea made up of somewhere between thirteen and twenty isles depending on who you ask. The largest islands, Sylt, Föhr and Amrum, have non-marine sediments that make them less vulnerable to erosion, while Pellworm and Nordstrand are reclaimed marshlands protected by dikes. The other dozen or so islets are the so-called Halligen, which are unprotected from the elements and frequently flooded. The North Frisian Islands differ from the other Wadden Islands in that they aren't barrier islands, making them less susceptible to storms and high tides. Due to these more favorable conditions, the North Frisian Island could be easily used as a safe harbor and base of operations for our navy in the North Sea. The islands were first settled by Frisians and Danes around the 8th century, remaining under Copenhagen's control for over a millennia, albeit with more autonomy after being incorporated into the Duchy of Schleswig.;;;;;;;;;;;;;
MALTAISLAND;\n\nThe Maltese islands are strategically located between Sicily and North Africa in the central Mediterranean Sea. They consist of an archipelago made up of 3 large inhabited islands, namely Malta, Gozo and Comino, and numerous smaller outlying islets and skerries. Malta's strategic importance is immediately apparent, and controlling it would grant us an excellent naval base in the middle of the Mediterranean. Its central location paired with its size and defensibility would make it a valuable asset, especially considering the extensive port infrastructure and fortifications already built by the British, who took control of the islands in 1800. The archipelago's tumultuous history speaks to its significance and value: Over the centuries, Malta was controlled intermittently by the Byzantines, the Arabs, the Normans, Sicily, Spain, the Knights Hospitaller and Napoleonic France.;;;;;;;;;;;;;
