Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
Explanation_Banner;* The following cores & dates are approximate. Cores from integration are not included. *;;;;;;;;;;;;;
Explanation_Banner_2;§Y* Following resources can be developed in this province: *§!;;;;;;;;;;;;;
LSK_RELEASEABLE_CORE_STARTING;@LSK Possible Alaskan Core (Starting);;;;;;;;;;;;;
RUS_EVENT_CORE_1867;@RUS Possible Russian Core (Event, 1867);;;;;;;;;;;;;
USA_EVENT_CORE_1867;@USA Possible American Core (Event, 1867, Historic);;;;;;;;;;;;;
ENG_EVENT_CORE_1867;@ENG Possible British Core (Event, 1867);;;;;;;;;;;;;
CAN_EVENT_CORE_1867;@CAN Possible Canadian Core (Event, 1867);;;;;;;;;;;;;
PAC_DISMANTLEMENT_CORE;@PAC Possible Pacific States Core (Dismantlement);;;;;;;;;;;;;
OIL_STATE_1;@D01 Oil;;;;;;;;;;;;;
GEMS_STATE_1;@D02 Gems;;;;;;;;;;;;;
GOLD_STATE_1;@D03 Gold;;;;;;;;;;;;;
RUBBER_STATE_1;@D04 Rubber;;;;;;;;;;;;;
PEARLS_STATE_1;@D05 Pearls;;;;;;;;;;;;;
SUGAR_STATE_1;@UTI Sugar;;;;;;;;;;;;;
