Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
declare_heavenly_china_title;Declare Heavenly China;;;;;;;;;;;;;
declare_heavenly_china_desc;We have defeated the Manchu overlords with the help of our lord and savior, Jesus Christ. It is now time to declare China a holy kingdom, which follows his teachings to their fullest extent.;;;;;;;;;;;;;
invite_christian_missionaries_title;Invite Christian Missionaries;;;;;;;;;;;;;
invite_christian_missionaries_desc;We are a christian nation without a christian people, this is unacceptable. We must invite missionaries to help sway our population to the true faith. If we're lucky, they might even bring with them western advancements.;;;;;;;;;;;;;
christianity_with_chinese_characteristics_title;Christianity with Chinese Characteristics;;;;;;;;;;;;;
christianity_with_chinese_characteristics_desc;We are the most christian of all nations, the westerners have the right idea but their minds are clouded. Our ancestors, while not christians, were wise men who some, one must concluded, must have been even holier than several western theologians. We must follow the lord and his word, but without losing our most holy and noble heritage.;;;;;;;;;;;;;
claim_mandate_of_heaven_title;Claim the Mandate of Heaven;;;;;;;;;;;;;
claim_mandate_of_heaven_desc;While we'd rather distance ourselves from old traditions it's now become more and more clear that we can never fully claim the right to China without also following one of the oldest of Chinese monarchial principals; The Mandate of Heaven, a title, supposedly, bestowed from heaven itself. To fully legitimize our rule over all of China we must use this justification, however to do this we must prove that heaven truly is with us.;;;;;;;;;;;;
heavenly_china;The Heavenly Kingdom;;;;;;;;;;;;;
heavenly_china_desc;China is now a christian nation with strict moral laws.;;;;;;;;;;;;;
chinese_christianity;Christianity with Chinese Characteristics;;;;;;;;;;;;;
chinese_christianity_desc;China is a christian nation with strict moral laws, but that has not forgotten the wise and holy words of our ancestors.;;;;;;;;;;;;;
EVTNAME160028;Missionaries move to China;;;;;;;;;;;;;
EVTDESC160028;After, the now christian nation that is China, requested help in converting the population, several of our clergymen have moved to help the Chinese cause.;;;;;;;;;;;;;
